source,bin,count,mean,std,min,max,unsafe_label_rate,severe_rate,mean_dPSNR
trained_mid,stats,480,0.18230288481960694,0.0005361655443990916,0.18154431879520416,0.1827045977115631,,,
trained_mid,"[0.0,0.1]",0,,,,,nan,nan,nan
trained_mid,"[0.1,0.2]",480,,,,,0.15208333333333332,0.14791666666666667,0.036710139247624
trained_mid,"[0.2,0.3]",0,,,,,nan,nan,nan
trained_mid,"[0.3,0.4]",0,,,,,nan,nan,nan
trained_mid,"[0.4,0.5]",0,,,,,nan,nan,nan
trained_mid,"[0.5,0.6]",0,,,,,nan,nan,nan
trained_mid,"[0.6,0.7]",0,,,,,nan,nan,nan
trained_mid,"[0.7,0.8]",0,,,,,nan,nan,nan
trained_mid,"[0.8,0.9]",0,,,,,nan,nan,nan
trained_mid,"[0.9,1.0]",0,,,,,nan,nan,nan
trained_final,stats,480,0.18209894765168427,0.0005178532435096892,0.18137627840042114,0.18256357312202454,,,
trained_final,"[0.0,0.1]",0,,,,,nan,nan,nan
trained_final,"[0.1,0.2]",480,,,,,0.15208333333333332,0.14791666666666667,0.036710139247624
trained_final,"[0.2,0.3]",0,,,,,nan,nan,nan
trained_final,"[0.3,0.4]",0,,,,,nan,nan,nan
trained_final,"[0.4,0.5]",0,,,,,nan,nan,nan
trained_final,"[0.5,0.6]",0,,,,,nan,nan,nan
trained_final,"[0.6,0.7]",0,,,,,nan,nan,nan
trained_final,"[0.7,0.8]",0,,,,,nan,nan,nan
trained_final,"[0.8,0.9]",0,,,,,nan,nan,nan
trained_final,"[0.9,1.0]",0,,,,,nan,nan,nan
trained_mean,stats,480,0.1822009162356456,0.0005259115609354282,0.18146029859781265,0.18263406306505203,,,
trained_mean,"[0.0,0.1]",0,,,,,nan,nan,nan
trained_mean,"[0.1,0.2]",480,,,,,0.15208333333333332,0.14791666666666667,0.036710139247624
trained_mean,"[0.2,0.3]",0,,,,,nan,nan,nan
trained_mean,"[0.3,0.4]",0,,,,,nan,nan,nan
trained_mean,"[0.4,0.5]",0,,,,,nan,nan,nan
trained_mean,"[0.5,0.6]",0,,,,,nan,nan,nan
trained_mean,"[0.6,0.7]",0,,,,,nan,nan,nan
trained_mean,"[0.7,0.8]",0,,,,,nan,nan,nan
trained_mean,"[0.8,0.9]",0,,,,,nan,nan,nan
trained_mean,"[0.9,1.0]",0,,,,,nan,nan,nan
v221_reference,stats,480,0.30790602215744606,0.3293543570233211,0.00012912687088828534,0.9996517896652222,,,
v221_reference,"[0.0,0.1]",202,,,,,0.0049504950495049506,0.13861386138613863,0.039151847457987075
v221_reference,"[0.1,0.2]",60,,,,,0.016666666666666666,0.21666666666666667,-0.007660436405471908
v221_reference,"[0.2,0.3]",31,,,,,0.16129032258064516,0.0967741935483871,0.11048946281675005
v221_reference,"[0.3,0.4]",38,,,,,0.10526315789473684,0.21052631578947367,-0.02228945993109589
v221_reference,"[0.4,0.5]",14,,,,,0.07142857142857142,0.07142857142857142,0.07366176913020743
v221_reference,"[0.5,0.6]",18,,,,,0.2222222222222222,0.05555555555555555,0.046892890703048806
v221_reference,"[0.6,0.7]",25,,,,,0.24,0.12,0.04667136931595536
v221_reference,"[0.7,0.8]",28,,,,,0.25,0.10714285714285714,0.09852997141259426
v221_reference,"[0.8,0.9]",21,,,,,0.47619047619047616,0.09523809523809523,0.026600745257897733
v221_reference,"[0.9,1.0]",43,,,,,0.7906976744186046,0.20930232558139536,0.028699304264922756
