fold,scope,count,unsafe_positive_count,unsafe_positive_rate,v221_probability_mean,v221_probability_std
0,train_selected,384,56,0.14583333333333334,0.29781420656350593,0.320102994930155
0,eval_selected,160,23,0.14375,0.3207990187237556,0.3268041621579953
1,train_selected,384,47,0.12239583333333333,0.29801109265834685,0.3215437833597847
1,eval_selected,160,24,0.15,0.27534019861050185,0.3219525817822507
2,train_selected,384,56,0.14583333333333334,0.3022347624744839,0.3197502944990217
2,eval_selected,160,26,0.1625,0.32757884913808083,0.33668185250400723
