scope,bucket_pair,overlap,jaccard,mean_dPSNR_a,mean_dPSNR_b
all,crop_hard_vs_full_hard,40,0.2,0.022662353529030514,0.015386883762259865
all,crop_easy_vs_full_easy,62,0.34831460674157305,0.01648346556890233,0.04436813957221772
fold0,crop_hard_vs_full_hard,15,0.23076923076923078,0.03533689495170798,0.023935715555434278
fold0,crop_easy_vs_full_easy,25,0.45454545454545453,0.0387325951586698,0.05624709196540341
fold1,crop_hard_vs_full_hard,13,0.19402985074626866,-0.0009406983419067317,-0.004290309311640072
fold1,crop_easy_vs_full_easy,16,0.25,-0.011903515336434722,-0.01715274993874143
fold2,crop_hard_vs_full_hard,12,0.17647058823529413,0.026315653129174343,0.012563471237336366
fold2,crop_easy_vs_full_easy,21,0.3559322033898305,0.05807617153866875,0.08812556402239409
