component,module_group,count,mean_grad_norm,std_grad_norm
action_l1,action_head,36,2.772300690325993e-05,9.212302379912213e-10
action_l1,context_head,36,1.0452305882976854e-08,4.5145936731239403e-10
action_l1,policy_all,36,2.7757600043322713e-05,7.352474487022311e-10
action_l1,risk_head,36,2.4140834179810987e-08,2.427966740804462e-13
content_l1,action_head,36,0.10521100635580499,0.07020829794356917
content_l1,context_head,36,0.00020372861623416965,0.00014337646959468718
content_l1,policy_all,36,0.10543517094191274,0.07036275497463622
content_l1,risk_head,36,2.0435969873578896e-05,1.5377046759158525e-05
gate_mean_regularizer,action_head,36,2.0317090375870532e-11,3.795807145684721e-12
gate_mean_regularizer,context_head,36,8.98395989831248e-07,3.1366965292737145e-08
gate_mean_regularizer,policy_all,36,0.0001806591342189457,3.1624589273797694e-08
gate_mean_regularizer,risk_head,36,0.00017976071791202407,7.581372187784462e-10
risk_bce,action_head,36,4.640711807505113e-09,3.813501002215958e-09
risk_bce,context_head,36,0.00020701787983005827,0.00016968619993548812
risk_bce,policy_all,36,0.04130819323473189,0.03326611088571841
risk_bce,risk_head,36,0.041101170714190026,0.033096849349889566
