component,count,mean_unweighted_value,mean_weighted_value
action_l1,36,0.0021958702450825106,2.195870191851807e-07
content_l1,36,0.01864555448345426,0.01864555448345426
gate_mean_regularizer,36,0.36526791999737424,0.00018263396608138768
risk_bce,36,1.1526380446222093,0.057631903483221926
