fold,name,crop_A0_PSNR,full_A0_PSNR,crop_minus_full_A0_PSNR,dPSNR,crop_strong_reference,full_strong_reference,crop_strong_regression,full_strong_regression,v221_full_row_present
0,1449_0.94_0.78.png,45.66017007428361,39.55110549926758,6.109064575016035,0.18814143798697103,1,1,0,0,1
0,1880_0.85_1.19.png,46.00688274357609,42.03572082519531,3.97116191838078,-0.029716097771405714,1,1,0,0,1
0,2762_0.59_1.16.png,44.35179118579357,43.4447135925293,0.9070775932642761,-0.13642927680341188,1,1,1,1,1
0,1673_0.63_1.48.png,41.88670160281977,41.3979377746582,0.4887638281615665,0.1659555241004469,1,1,0,0,1
0,1411_0.54_0.56.png,38.03695578839643,41.199893951416016,-3.1629381630195823,0.05175197414512667,1,1,0,0,1
0,908_0.69_1.35.png,41.319265016318916,32.32642364501953,8.992841371299384,-0.22077209890444038,1,1,1,1,1
0,529_0.86_1.04.png,44.34427084826653,36.10756301879883,8.236707829467704,0.004458603472109246,1,1,0,0,1
0,70_0.78_1.4.png,43.63490151621046,39.891056060791016,3.7438454554194465,-0.1660273716406664,1,1,1,1,1
0,1784_0.94_1.15.png,42.38493979617816,41.398284912109375,0.9866548840687841,0.04898426581969062,1,1,0,0,1
0,2577_0.96_0.78.png,43.38331080648143,43.1306037902832,0.25270701619822944,0.13010731713798407,1,1,0,0,1
0,1890_0.83_1.44.png,40.14517089137715,42.84574890136719,-2.700578009990039,0.04772958567024688,1,1,0,0,1
0,2886_0.56_1.65.png,41.506063315239395,42.221923828125,-0.7158605128856053,-0.2640682589808776,1,1,1,1,1
0,1240_0.64_0.5.png,44.15514536413281,43.87199020385742,0.2831551602753848,0.40398809718502804,1,1,0,0,1
0,1286_0.98_0.99.png,42.042615995628985,36.507442474365234,5.535173521263751,-0.08973340330935997,1,1,1,1,1
0,2910_0.56_1.62.png,40.07535056268709,43.44860076904297,-3.373250206355877,-0.03801696840544366,1,1,0,0,1
0,2238_0.81_1.38.png,41.714190363317634,44.299072265625,-2.584881902307366,-0.035254860289775536,1,1,0,0,1
0,2610_0.81_1.15.png,42.91387755620818,44.644046783447266,-1.730169227239088,0.3147954904851247,1,1,0,0,1
0,177_0.65_1.21.png,44.477921741050245,40.41093444824219,4.066987292808058,-0.0682664143876579,1,1,1,1,1
0,2773_0.7_0.71.png,44.350147553092114,44.0755500793457,0.27459747374641097,-0.1405295284471606,1,1,1,1,1
0,2552_0.55_0.61.png,48.23164757156342,47.370418548583984,0.8612290229794368,-0.30481632764078626,1,1,1,1,1
0,2562_0.81_1.38.png,41.10095800797497,43.985984802246094,-2.885026794271127,0.10015842668958896,1,1,0,0,1
0,392_0.54_0.67.png,46.28251026998642,41.11046600341797,5.172044266568449,0.5399193539409026,1,1,0,0,1
0,2153_0.61_1.16.png,45.7609614364159,43.73505401611328,2.025907420302616,-0.022971844265917696,1,1,0,0,1
0,1163_0.95_1.89.png,41.38496316420031,34.35691452026367,7.028048643936636,0.0657658616535386,1,1,0,0,1
0,50_0.82_1.93.png,42.09598463956038,32.35988998413086,9.736094655429518,-0.019427973405463206,1,1,0,0,1
0,2688_0.87_1.2.png,42.838697973200354,38.758541107177734,4.0801568660226195,0.08718461496600582,1,1,0,0,1
0,614_0.95_0.72.png,45.78587819145673,40.076385498046875,5.709492693409857,-0.02337850832812194,1,1,0,0,1
0,2406_0.59_0.76.png,45.23980062869187,46.66022491455078,-1.420424285858914,0.2548244153379642,1,1,0,0,1
0,2532_0.74_1.32.png,46.15217490225394,44.97404479980469,1.178130102449252,-0.0584487828207898,1,1,1,1,1
0,356_0.65_0.6.png,48.32066864267286,38.159423828125,10.161244814547857,-0.3129626435763271,1,1,1,1,1
0,1960_0.8_0.62.png,44.655960897548,42.955238342285156,1.7007225552628427,0.09857894893987407,1,1,0,0,1
0,740_0.94_0.76.png,42.42787673566072,35.328636169433594,7.099240566227124,-0.04901020714285664,1,1,0,0,1
0,278_0.98_0.65.png,42.38465989798535,38.066017150878906,4.318642747106445,-0.03859931244792136,1,1,0,0,1
0,2802_0.94_1.89.png,34.37421348949926,33.540771484375,0.8334420051242617,0.03646859447474782,1,1,0,0,1
0,13_0.94_1.35.png,39.37539179614844,37.34942626953125,2.025965526617192,0.04556722912810329,1,1,0,0,1
0,779_0.72_1.2.png,43.36468258960171,38.17824935913086,5.186433230470854,0.05428048963396748,1,1,0,0,1
0,1643_0.77_0.66.png,46.885196412984804,44.405357360839844,2.4798390521449605,0.04020319625190183,1,1,0,0,1
0,2502_0.94_1.08.png,42.92274187715795,40.54914855957031,2.373593317587634,-0.0531854545659769,1,1,1,1,1
0,1319_0.88_1.19.png,44.44970068481767,37.0650749206543,7.384625764163374,-0.11871571791233038,1,1,1,1,1
0,1529_0.84_0.56.png,44.486762164141254,44.19054412841797,0.2962180357232853,-0.03387396248798069,1,1,0,0,1
0,2542_0.7_1.52.png,47.2838470352565,45.68150329589844,1.6023437393580622,-0.04629737301213055,1,1,0,0,1
0,2959_0.85_0.71.png,44.15853045049492,39.498565673828125,4.659964776666797,0.1268174706550198,1,1,0,0,1
0,945_0.99_1.73.png,37.192914821545465,33.9586296081543,3.2342852133911677,-0.04482840478240746,1,1,0,0,1
0,2000_0.86_0.62.png,41.207935076537616,40.884185791015625,0.3237492855219912,-0.006968638369848179,1,1,0,0,1
0,2469_0.52_1.22.png,50.07768430773619,49.7347412109375,0.3429430967986917,0.15304844435554799,1,1,0,0,1
0,2711_0.69_1.62.png,46.82555906304606,44.793392181396484,2.032166881649573,0.06178681620478699,1,1,0,0,1
0,1669_0.52_1.31.png,43.38382664427924,41.87787628173828,1.5059503625409576,0.14590252435259288,1,1,0,0,1
0,2943_0.94_1.06.png,41.29605989674222,41.66084671020508,-0.3647868134628567,-0.049606668323711745,1,1,0,0,1
0,2117_0.76_1.14.png,42.808187538827426,39.73193359375,3.0762539450774256,-0.25902961829990545,1,1,1,1,1
0,58_0.53_0.53.png,45.4410326997749,40.94138717651367,4.499645523261229,0.29526629158732476,1,1,0,0,1
0,2143_0.57_0.65.png,45.66961469406209,45.38148498535156,0.2881297087105281,0.1351008764804078,1,1,0,0,1
0,404_0.82_1.92.png,44.856209320835426,32.500244140625,12.355965180210426,0.2554782237921458,1,1,0,0,1
0,2833_0.66_0.5.png,44.39951943008673,45.85014343261719,-1.4506240025304606,0.007243613117751124,1,1,0,0,1
0,62_0.93_1.08.png,42.35610949431552,37.94215774536133,4.41395174895419,0.05999927133511562,1,1,0,0,1
0,374_0.93_1.43.png,45.003000109196805,38.09733581542969,6.905664293767117,0.11136988809091264,1,1,0,0,1
0,37_0.68_1.27.png,44.52280221190104,39.113765716552734,5.409036495348303,-0.02582728000416523,1,1,0,0,1
0,2178_0.88_1.13.png,41.20579934668537,41.218772888183594,-0.012973541498226382,-0.05839942457696168,1,1,1,1,1
0,2865_0.65_0.7.png,49.59572766221359,46.32204055786133,3.2736871043522626,-0.06613813637935806,1,1,1,1,1
0,1124_0.74_1.17.png,43.25256620170002,39.13054656982422,4.122019631875801,0.20614890944924014,1,1,0,0,1
0,2016_0.66_1.25.png,48.48978748268138,46.211875915527344,2.2779115671540353,0.015681770519734073,1,1,0,0,1
0,1971_0.99_1.02.png,40.51756452161764,37.78076171875,2.7368028028676434,0.013720998408331297,1,1,0,0,1
0,2384_0.57_0.86.png,46.78640037684887,48.63125228881836,-1.8448519119694922,-0.24646990047327222,1,1,1,1,1
0,2400_0.58_0.53.png,47.86675434491901,44.22076416015625,3.645990184762759,0.346594985290416,1,1,0,0,1
0,576_0.84_1.69.png,42.86735286745885,35.84866714477539,7.018685722683458,0.0559498835044252,1,1,0,0,1
0,2731_0.92_1.46.png,38.34282936257472,41.450965881347656,-3.1081365187729375,0.11857827012659072,1,1,0,0,1
