fold,source,count,positive_labels,prob_mean,prob_std,roc_auc,pr_auc_average_precision,median_threshold,top20_threshold
0,trained_mean,160,23,0.18263396131806076,4.742286410921959e-08,0.6602665820374485,0.3494420222314094,0.18263396620750427,0.18263400346040726
0,v221_reference,160,23,0.3207990187237556,0.3268041621579953,0.9527134243097429,0.7351308150505106,0.1644498035311699,0.6596020340919495
1,trained_mean,160,24,0.18146072546951472,1.2055673953356394e-07,0.6184129901960784,0.23335402227676247,0.18146074563264847,0.18146082758903503
1,v221_reference,160,24,0.27534019861050185,0.3219525817822507,0.9016544117647058,0.655485171080368,0.1121436208486557,0.6368006706237793
2,trained_mean,160,26,0.18250806191936136,9.109986822829011e-08,0.4395809414466131,0.17873602242335113,0.18250805139541626,0.18250812590122223
2,v221_reference,160,26,0.32757884913808083,0.33668185250400723,0.9001148105625718,0.7396338204974939,0.15941216796636581,0.7206748366355896
