fold,gt_keep_fraction,gt_spatial_minus_keep_color_bias,gt_spatial_minus_keep_psnr_db,gt_spatial_minus_keep_ssim,gt_spatial_minus_shuffled_psnr_db,gt_spatial_minus_uniform_psnr_db,gt_strengthen_fraction,gt_weaken_fraction,model,p00_keep_fraction,p00_minus_p11_psnr_db,p00_spatial_minus_keep_color_bias,p00_spatial_minus_keep_psnr_db,p00_spatial_minus_keep_ssim,p00_spatial_minus_shuffled_psnr_db,p00_spatial_minus_uniform_psnr_db,p00_strengthen_fraction,p00_weaken_fraction,p01_keep_fraction,p01_spatial_minus_keep_color_bias,p01_spatial_minus_keep_psnr_db,p01_spatial_minus_keep_ssim,p01_spatial_minus_shuffled_psnr_db,p01_spatial_minus_uniform_psnr_db,p01_strengthen_fraction,p01_weaken_fraction,p10_keep_fraction,p10_spatial_minus_keep_color_bias,p10_spatial_minus_keep_psnr_db,p10_spatial_minus_keep_ssim,p10_spatial_minus_shuffled_psnr_db,p10_spatial_minus_uniform_psnr_db,p10_strengthen_fraction,p10_weaken_fraction,p11_keep_fraction,p11_spatial_minus_keep_color_bias,p11_spatial_minus_keep_psnr_db,p11_spatial_minus_keep_ssim,p11_spatial_minus_shuffled_psnr_db,p11_spatial_minus_uniform_psnr_db,p11_strengthen_fraction,p11_weaken_fraction,population,scene
frozen_candidate,0.21319999999999995,-0.006856311514038588,3.0695806148537184,0.0016549229621887207,3.357831899485281,3.0695806148537184,0.41279999999999983,0.3739999999999999,frozen_test_development_candidate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,0208e589ca4f40fb4e97c6ca2732afcd5c744601580355533ca985aa828c5b07
frozen_candidate,0.7008333333333332,-0.0030471802962024537,4.838218012172213,-0.0017083585262298584,6.810889822192486,4.838218012172211,0.23499999999999993,0.06416666666666666,frozen_test_development_candidate,1.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,043da5cd0e426396cf04dda6a0ca822e6c56f582c0819f2107bb05be182455d5
frozen_candidate,0.8916666666666665,-0.0006838209427067137,0.7132125857002318,-0.00023899972438812256,4.730454796273699,0.7132125857002318,0.09166666666666663,0.016666666666666663,frozen_test_development_candidate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,0758a0e91205d51bb43bc575f9e13ee8ed64b4943b95d9620241b537f0dc7bbe
frozen_candidate,0.37833333333333324,-0.0037792687900883946,3.370519325466967,-0.00020228326320648193,4.68910420569829,3.3705193254669688,0.3533333333333332,0.26833333333333326,frozen_test_development_candidate,1.0,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,0781becc78de058b5be20549283e56b50790eee66384d051aaa36a6dfd4a0d03
frozen_candidate,0.7703999999999998,-0.001221049575255833,1.5213001667970385,-0.0013594627380371094,3.6098184150020742,1.5213001667970385,0.05119999999999999,0.17839999999999992,frozen_test_development_candidate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,0862c9ec230261e2e3aef9cb33ffee43b3073bac18c3a723a33f00ad07c55222
frozen_candidate,0.7349999999999999,-0.0005380386387511473,2.5188320416688974,6.720423698425293e-05,5.881007113179731,2.5188320416688974,0.06666666666666665,0.19833333333333325,frozen_test_development_candidate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,09a597670ca2e7104556cfc7fab55899eb2884de81002f51c8b4033ab2b31c06
frozen_candidate,0.6608333333333333,-0.00012410450628428125,2.5677491371687164,-0.00054892897605896,5.122279470710401,2.5677491371687164,0.2641666666666666,0.07499999999999998,frozen_test_development_candidate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,0c64f33f28eafe61d6473cff48e36d08f57da96baa0d7363bacbabc4e2805d3c
frozen_candidate,0.13199999999999995,-0.014624342264123463,0.8345720794636531,-0.005217403173446655,0.9441894500186123,0.834572079463654,0.2887999999999999,0.5791999999999998,frozen_test_development_candidate,1.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,1149cee41aa787f52188e916a42d00c0d7838339ef31c4bb209dfa7d0ff54ca2
frozen_candidate,0.4924999999999999,-0.0013024388144281804,2.066636780484645,-0.0004995018243789673,3.8168482942775377,2.0666367804846466,0.23333333333333328,0.2741666666666666,frozen_test_development_candidate,1.0,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,13592328073ae000524eb075dc9a74d58ace170b8b06eac9ac8e73f376f8fd7a
frozen_candidate,0.3367999999999999,-0.00955546752238794,4.196717451748747,0.004673287272453308,3.7102014831560295,4.196717451748748,0.5551999999999998,0.10799999999999996,frozen_test_development_candidate,0.9952,0.06011783726957187,-0.00012198881944641433,0.060117837269570984,-0.00021405518054962158,0.05171356908433289,0.06011783726957187,0.004799999999999999,0.0,1.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.9952,-0.00012198881944641433,0.060117837269570984,-0.00021405518054962158,0.05269030501271654,0.06011783726957187,0.004799999999999999,0.0,1.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,1423731b01a21c92ddb7b79f300cc85e623f28672afed86eeac7e77d04b53766
frozen_candidate,0.2311999999999999,-0.013167244165973892,3.353629001015877,-0.0003076791763305664,3.8450162934974337,3.353629001015876,0.19839999999999994,0.5703999999999998,frozen_test_development_candidate,1.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,165f433bceb4a460c90e0b6ee43d5c04520a6da61cb4c20dba7d4d640e9dc910
frozen_candidate,0.5167999999999998,-0.0018617005486187134,2.8942732520454904,-0.0032137781381607056,6.169579132057368,2.8942732520454912,0.2039999999999999,0.2791999999999999,frozen_test_development_candidate,1.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,195ad3517180939a4a7637e14da6ebec3bbfd2527652058fad275b9d89c04eb1
frozen_candidate,0.28199999999999986,-0.019771810332787996,4.85314254753701,-0.002523556351661682,5.696903120665871,4.853142547537008,0.16239999999999996,0.5555999999999999,frozen_test_development_candidate,1.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,1b3fb5dbf526d1640ad23af7eac7ff69141625a8ee38e9be183329de0df7edc2
