color_harm_lower,color_harm_prevalence,color_harm_upper,formal_gain_lower,formal_gain_upper,keep_fraction,material_scene_prevalence,material_scene_prevalence_lower,material_scene_prevalence_upper,oracle_uniform_lower,oracle_uniform_upper,policy,population,psnr_harm_lower,psnr_harm_prevalence,psnr_harm_upper,scene_count,spatial_minus_keep_psnr_db,spatial_minus_shuffled_psnr_db,spatial_minus_uniform_psnr_db,ssim_harm_lower,ssim_harm_prevalence,ssim_harm_upper,strengthen_fraction,weaken_fraction
0.0,0.0,0.015545562976907418,-0.0038525914723217276,0.00787372996605947,0.9997157777777779,0.0033333333333333335,0.0006510448404100349,0.016879922567842605,,,P00,haze4k_train_oof,0.0001463862111433685,0.0016666666666666668,0.018680691555841025,600,0.0014063680284741053,0.007209577253517043,0.0014063680284741053,0.0,0.0,0.015545562976907418,0.0002842222222222221,0.0
0.0,0.0,0.015545562976907418,-0.0038525914723217276,0.00787372996605947,0.9997157777777779,0.0033333333333333335,0.0006510448404100349,0.016879922567842605,,,P10,haze4k_train_oof,0.0001463862111433685,0.0016666666666666668,0.018680691555841025,600,0.0014063680284741053,0.006092910218323606,0.0014063680284741053,0.0,0.0,0.015545562976907418,0.0002842222222222221,0.0
0.0,0.0,0.015545562976907418,0.0,0.0,1.0,0.0,0.0,0.010937215511663727,,,P01,haze4k_train_oof,0.0,0.0,0.015545562976907418,600,0.0,0.0,0.0,0.0,0.0,0.015545562976907418,0.0,0.0
0.0,0.0,0.015545562976907418,,,1.0,0.0,0.0,0.010937215511663727,,,P11,haze4k_train_oof,0.0,0.0,0.015545562976907418,600,0.0,0.0,0.0,0.0,0.0,0.015545562976907418,0.0,0.0
,,,,,0.7140186666666665,0.985,0.9659209956844219,0.9934699052692644,1.52837756326455,1.7748010716416767,GT,haze4k_train_oof,,,,600,1.649833357282101,4.979422617005419,1.649833357282101,,,,0.19073488888888884,0.09524644444444441
0.0,0.0,0.08654632141180972,,,0.998352,0.03,0.007612169301778604,0.11087527715109498,,,P00,haze4k_test_development_stress,0.0,0.0,0.08654632141180972,100,0.007572976494161558,0.005059557589967554,0.007572976494161523,0.0,0.0,0.08654632141180972,0.0016479999999999995,0.0
0.0,0.0,0.08654632141180972,,,0.998352,0.03,0.007612169301778604,0.11087527715109498,,,P10,haze4k_test_development_stress,0.0,0.0,0.08654632141180972,100,0.007572976494161558,0.00570333189916429,0.007572976494161523,0.0,0.0,0.08654632141180972,0.0016479999999999995,0.0
0.0,0.0,0.08654632141180972,,,1.0,0.0,0.0,0.06222068771582295,,,P01,haze4k_test_development_stress,0.0,0.0,0.08654632141180972,100,3.552713678800501e-17,0.0,0.0,0.0,0.0,0.08654632141180972,0.0,0.0
0.0,0.0,0.08654632141180972,,,1.0,0.0,0.0,0.06222068771582295,,,P11,haze4k_test_development_stress,0.0,0.0,0.08654632141180972,100,3.552713678800501e-17,0.0,0.0,0.0,0.0,0.08654632141180972,0.0,0.0
,,,,,0.49472266666666664,0.99,0.9201988714650057,0.9988248545734876,,,GT,haze4k_test_development_stress,,,,100,2.5590103067937138,4.284728856438548,2.4415692406737883,,,,0.27961166666666665,0.2256656666666666
