action,critical_value,estimate,family_size,lower,max_half_width,metric,population,scene_count,upper
weaken,3.1969502291312533,1.31000173289316,36,0.9825037184551052,0.3274980144380547,utility_mae,haze4k_test_development_stress,100,1.6374997473312147
weaken,3.1969502291312533,1.5807685157185936,36,1.3149659861381038,0.2658025295804897,constant_utility_mae,haze4k_test_development_stress,100,1.8465710452990833
weaken,3.1969502291312533,0.2707667828254335,36,0.19632154165189641,0.07444524117353706,utility_mae_improvement,haze4k_test_development_stress,100,0.34521202399897055
weaken,3.1969502291312533,0.27358202367829454,36,0.2000148204604976,0.07356720321779694,utility_rank_correlation,haze4k_test_development_stress,100,0.3471492268960915
weaken,3.1969502291312533,0.7075390674396232,36,0.6563526638935416,0.05118640354608161,beneficial_auc,haze4k_test_development_stress,99,0.7587254709857049
weaken,3.1969502291312533,1.1904692936616166,36,0.8720416762350026,0.31842761742661396,top_fraction_utility_lift,haze4k_test_development_stress,100,1.5088969110882307
weaken,3.1969502291312533,0.20009250054066746,36,0.1435836775714861,0.056508822969181347,risk_brier,haze4k_test_development_stress,100,0.2566013235098488
weaken,3.1969502291312533,0.19648241444967895,36,0.1459692542019763,0.05051316024770267,constant_risk_brier,haze4k_test_development_stress,100,0.24699557469738162
weaken,3.1969502291312533,-0.0036100860909885828,36,-0.01155085025543787,0.007940764164449287,risk_brier_improvement,haze4k_test_development_stress,100,0.004330678073460704
weaken,3.1969502291312533,0.7481787603149153,36,0.6947554073994598,0.053423352915455455,risk_auc,haze4k_test_development_stress,99,0.8016021132303707
weaken,3.1969502291312533,0.2256656666666666,36,0.16446803282678343,0.06119763383988317,beneficial_area_prevalence,haze4k_test_development_stress,100,0.2868633005065498
weaken,3.1969502291312533,0.7673223333333331,36,0.7043816986154741,0.0629406347178591,harm_area_prevalence,haze4k_test_development_stress,100,0.8302629680511922
weaken,3.1969502291312533,0.11433007433037595,36,0.047215583378823506,0.06711449095155245,permuted_utility_mae_improvement,haze4k_test_development_stress,100,0.1814445652819284
weaken,3.1969502291312533,0.5027350293816703,36,0.4880189361609104,0.014716093220759851,permuted_beneficial_auc,haze4k_test_development_stress,99,0.5174511226024301
weaken,3.1969502291312533,-0.009928942621387769,36,-0.07217750365151492,0.06224856103012715,permuted_top_fraction_utility_lift,haze4k_test_development_stress,100,0.05231961840873938
weaken,3.1969502291312533,1.2003982362830043,36,0.8734357030056208,0.3269625332773835,observed_minus_permuted_top_lift,haze4k_test_development_stress,100,1.527360769560388
weaken,3.1969502291312533,-0.017531664793155443,36,-0.023487144612725705,0.005955479819570264,permuted_risk_brier_improvement,haze4k_test_development_stress,100,-0.01157618497358518
weaken,3.1969502291312533,0.5013858437979789,36,0.48203594826785967,0.019349895530119204,permuted_risk_auc,haze4k_test_development_stress,99,0.5207357393280981
strengthen,3.1969502291312533,1.5782788250559394,36,1.2346261548072923,0.343652670248647,utility_mae,haze4k_test_development_stress,100,1.9219314953045865
strengthen,3.1969502291312533,1.956780479893184,36,1.7215640234452148,0.2352164564479692,constant_utility_mae,haze4k_test_development_stress,100,2.191996936341153
