action,combined_correction_exclusion_area,corrected_risk_pass_area,corrected_utility_pass_area,effective_raw_risk_maximum,effective_raw_utility_threshold,eligibility_interaction,model,p00_joint_pass_area,p00_joint_rejection_area,p01_joint_pass_area,p10_joint_pass_area,p11_joint_pass_area,population,raw_risk_pass_area,raw_risk_rejection_area,raw_utility_pass_area,raw_utility_rejection_area,risk_correction,risk_correction_exclusion_area,risk_correction_shapley,risk_structurally_unselectable,scene_count,selected_area_p00,selected_area_p01,selected_area_p10,selected_area_p11,utility_correction,utility_correction_exclusion_area,utility_correction_shapley
strengthen,0.0016479999999999995,0.0,0.03998033333333332,-0.005211587333679213,0.719956146577001,0.0,frozen_test_development_candidate,0.0016479999999999995,0.998352,0.0,0.0016479999999999995,0.0,haze4k_test_development_stress,0.0016479999999999995,0.998352,0.060323999999999975,0.939676,0.1052115873336792,0.0016479999999999995,0.0016479999999999995,True,100,0.0016479999999999995,0.0,0.0016479999999999995,0.0,0.6699561465770008,0.0,0.0
weaken,0.0,0.0,0.0049166666666666655,0.06938413739204406,0.12104129638671879,0.0,frozen_test_development_candidate,0.0,1.0,0.0,0.0,0.0,haze4k_test_development_stress,0.0,1.0,0.0059743333333333315,0.9940256666666667,0.030615862607955933,0.0,0.0,False,100,0.0,0.0,0.0,0.0,0.07104129638671876,0.0,0.0
strengthen,0.00026666666666666657,0.0,0.05836111111111109,-0.02747088518142702,0.7930357133865354,0.0,oof_fold_0,0.00026666666666666657,0.9997333333333334,0.0,0.00026666666666666657,0.0,haze4k_train_oof,0.00026666666666666657,0.9997333333333334,0.09072999999999998,0.9092699999999998,0.12747088518142702,0.00026666666666666657,0.00026666666666666657,True,120,0.00026666666666666657,0.0,0.00026666666666666657,0.0,0.7430357133865358,0.0,0.0
weaken,0.0,0.0,0.008994444444444442,0.06516352300643923,0.1722937029600144,0.0,oof_fold_0,0.0,1.0,0.0,0.0,0.0,haze4k_train_oof,0.0,1.0,0.011006666666666665,0.9889933333333332,0.0348364769935608,0.0,0.0,False,120,0.0,0.0,0.0,0.0,0.12229370296001439,0.0,0.0
strengthen,0.0004799999999999998,0.0,0.054166666666666655,-0.0018561925888061492,0.6873911393851042,0.0,oof_fold_1,0.0004799999999999998,0.9995200000000001,0.0,0.0004799999999999998,0.0,haze4k_train_oof,0.0004799999999999998,0.9995200000000001,0.0744922222222222,0.9255077777777778,0.10185619258880617,0.0004799999999999998,0.0004799999999999998,True,120,0.0004799999999999998,0.0,0.0004799999999999998,0.0,0.6373911393851042,0.0,0.0
weaken,0.0,0.0,0.004605555555555555,0.0652843547821045,0.12173976383209227,0.0,oof_fold_1,0.0,1.0,0.0,0.0,0.0,haze4k_train_oof,0.0,1.0,0.005336666666666666,0.9946633333333333,0.034715645217895504,0.0,0.0,False,120,0.0,0.0,0.0,0.0,0.07173976383209225,0.0,0.0
strengthen,0.00010666666666666663,0.0,0.05149111111111109,-0.012435346174240108,0.5813719963669775,0.0,oof_fold_2,0.00010666666666666663,0.9998933333333333,0.0,0.00010666666666666663,0.0,haze4k_train_oof,0.00010666666666666663,0.9998933333333333,0.07006777777777777,0.929932222222222,0.11243534617424006,0.00010666666666666663,0.00010666666666666663,True,120,0.00010666666666666663,0.0,0.00010666666666666663,0.0,0.5313719963669775,0.0,0.0
weaken,0.0,0.0,0.00888222222222222,0.03543806285858153,0.16085084066390995,0.0,oof_fold_2,0.0,1.0,0.0,0.0,0.0,haze4k_train_oof,0.0,1.0,0.010641111111111108,0.9893588888888888,0.06456193714141846,0.0,0.0,False,120,0.0,0.0,0.0,0.0,0.11085084066390995,0.0,0.0
strengthen,0.0005677777777777776,0.0,0.05563333333333332,0.03931896696090698,0.29328948716322584,0.0,oof_fold_3,0.0005677777777777776,0.9994322222222222,0.0,0.0005677777777777776,0.0,haze4k_train_oof,0.0005677777777777776,0.9994322222222222,0.06411333333333331,0.9358866666666666,0.06068103303909301,0.0005677777777777776,0.0005677777777777776,False,120,0.0005677777777777776,0.0,0.0005677777777777776,0.0,0.24328948716322596,0.0,0.0
weaken,0.0,0.0,0.009527777777777776,0.056461639881134056,0.22633528995513916,0.0,oof_fold_3,0.0,1.0,0.0,0.0,0.0,haze4k_train_oof,0.0,1.0,0.012708888888888884,0.987291111111111,0.04353836011886596,0.0,0.0,False,120,0.0,0.0,0.0,0.0,0.17633528995513909,0.0,0.0
strengthen,0.0,0.0,0.02531555555555555,0.026042557859420782,0.2692022415161132,0.0,oof_fold_4,0.0,1.0,0.0,0.0,0.0,haze4k_train_oof,0.0,1.0,0.030261111111111103,0.9697388888888888,0.07395744214057923,0.0,0.0,False,120,0.0,0.0,0.0,0.0,0.21920224151611334,0.0,0.0
weaken,0.0,0.0,0.006649999999999999,0.0717392053604126,0.06729783306121827,0.0,oof_fold_4,0.0,1.0,0.0,0.0,0.0,haze4k_train_oof,0.0,1.0,0.006816666666666665,0.9931833333333333,0.028260794639587413,0.0,0.0,False,120,0.0,0.0,0.0,0.0,0.01729783306121827,0.0,0.0
