cell,cvar5_delta_db,cvar5_delta_lcb95_db,cvar5_delta_ucb95_db,gain_delta_db,gain_delta_lcb95_db,gain_delta_ucb95_db,regret_recovery,regret_recovery_lcb95,regret_recovery_ucb95,safety_attributable,safety_decisively_excluded,scope,selected_hard_groups,selected_severe_groups,utility_attributable,utility_decisively_excluded
P100,0.22494726181030272,0.10626050233840943,0.3541079163551331,0.015320564309755962,0.008676786720752715,0.02312748432159424,0.22924071279301536,0.13795433924409112,0.3404110533848294,True,False,single,0,0,False,False
P010,0.24120454788208007,0.12161887168884278,0.37008118867874146,0.06056350966294606,0.0446635061254104,0.07721876191596191,0.9062082729902772,0.7640446109821991,1.0829199868721289,True,False,single,0,0,True,False
P001,0.19013757705688475,0.07126364469528199,0.31602296590805057,0.012758101026217144,0.006207172572612761,0.020463941618800163,0.19089872370255434,0.10011444402143999,0.2958672850011661,True,False,single,0,0,False,False
P110,0.24120454788208007,0.12161887168884278,0.37008118867874146,0.06683177749315897,0.04760682806372642,0.0873010693738858,1.0,1.0,1.0,True,False,pair,0,0,True,False
P101,0.22494726181030272,0.10626050233840943,0.3541079163551331,0.015320564309755962,0.008676786720752715,0.02312748432159424,0.22924071279301536,0.13795433924409112,0.3404110533848294,True,False,pair,0,0,False,False
P011,0.24120454788208007,0.12161887168884278,0.37008118867874146,0.06056350966294606,0.0446635061254104,0.07721876191596191,0.9062082729902772,0.7640446109821991,1.0829199868721289,True,False,pair,0,0,True,False
