action_oracle,cell,coverage_oracle,cvar5_gain_db,d_ref_gain_db,d_rep_gain_db,fold0_selected_groups,fold1_selected_groups,negative_selected_groups,retention,risk_oracle,selected_groups,selected_hard_groups,selected_severe_groups,worse_operator_gain_db
0,P000,0,-0.24120454788208007,0.02670895556608836,0.025940994421641033,39,39,9,0.17238735606707134,0,78,3,10,0.025940994421641033
0,P001,0,-0.05106697082519531,0.03943557540575663,0.03869909544785818,39,39,11,0.25716958409574664,1,78,0,0,0.03869909544785818
0,P010,1,0.0,0.08696234226226807,0.0865045040845871,39,39,4,0.574853936000029,0,78,0,0,0.0865045040845871
0,P011,1,0.0,0.08696234226226807,0.0865045040845871,39,39,4,0.574853936000029,1,78,0,0,0.0865045040845871
1,P100,0,-0.016257286071777344,0.04185326894124349,0.041261558731396995,39,39,13,0.2741980859059813,0,78,0,0,0.041261558731396995
1,P101,0,-0.016257286071777344,0.04185326894124349,0.041261558731396995,39,39,13,0.2741980859059813,1,78,0,0,0.041261558731396995
1,P110,1,0.0,0.09318105379740398,0.0927727719148,39,39,10,0.6165088587376564,0,78,0,0,0.0927727719148
1,P111,1,0.0,0.09318105379740398,0.0927727719148,39,39,10,0.6165088587376564,1,78,0,0,0.0927727719148
