beta,independent_scenes,global_improvement_rate,variant_mismatch_rate,input_psnr_median,output_psnr_median,output_ssim_median,low_correction_median,high_correction_median,true_imbalance_median,rotated_imbalance_median,alignment_separation_median,low_excess_harm_median
0.04,625,0.7824,0.1456,25.134124239133016,29.42666377333795,0.9831449389457703,0.47183930317090933,0.7967351037192137,-0.2081879330104096,0.0763753297819364,-0.27892777699733806,0.13412082399028277
0.10,625,0.9744,0.0752,17.938091148087562,28.552024886175925,0.9789735674858093,0.8539327835980757,0.9566234759753243,-0.06808134589832093,0.011516688758699933,-0.0816525023426341,0.00370610241021401
0.20,625,0.9952,0.0432,13.12694458566921,26.77446872591757,0.970040500164032,0.9317407968407108,0.9769561598200779,-0.03427406189935833,0.005403351024949599,-0.03885098749068183,0.000153678441994724
