checkpoint_label,present,score,pass_count,check_count,all_checks_pass,decision,regular_mean_psnr_delta,regular_hard_bottom25_psnr_delta,regular_easy_top25_psnr_delta,regular_mean_ssim_delta,regular_positive_ratio,regular_worst_count_delta_le_-0p20,regular_strong_regression_ratio,hard_mean_psnr_delta,hard_hard_bottom25_psnr_delta,hard_easy_top25_psnr_delta,hard_mean_ssim_delta,hard_positive_ratio,hard_worst_count_delta_le_-0p20,hard_strong_regression_ratio
model_5,True,-17.39051819165548,0,9,False,DIAGNOSTIC_ONLY,-1.0513568305969239,-0.8465845998128255,-1.0709845987955728,-0.0012692874670028687,0.12333333333333334,243.0,0.8933333333333333,-0.6769741439819336,-0.739034907023112,-0.6437634785970052,-0.001397717595100403,0.23,212.0,0.72
model_10,True,-23.551493808945022,0,9,False,DIAGNOSTIC_ONLY,-2.5783411931991576,-1.7110992940266927,-2.929939422607422,-0.00608104333281517,0.04666666666666667,280.0,0.9866666666666667,-1.4843568356831869,-1.4178009287516276,-1.7072649129231772,-0.0034011252721150714,0.14,249.0,0.84
model_15,True,-27.630067377567293,0,9,False,DIAGNOSTIC_ONLY,-3.6163982200622558,-2.4054376729329427,-4.37740717569987,-0.004739007353782654,0.03,289.0,1.0,-2.3315527216593424,-2.1808440907796225,-2.740161870320638,-0.0052031409740448,0.08666666666666667,269.0,0.9066666666666666
model_20,True,-30.980337639967605,0,9,False,DIAGNOSTIC_ONLY,-4.6961274909973145,-3.0705005900065103,-5.9567332967122395,-0.006539867122968038,0.023333333333333334,291.0,1.0,-3.072275021870931,-2.688317896525065,-3.7375103505452474,-0.007479691902796427,0.056666666666666664,279.0,0.9466666666666667
Final,True,-30.980337617715204,0,9,False,DIAGNOSTIC_ONLY,-4.696127440134684,-3.0705006408691404,-5.956733194986979,-0.006539870301882426,0.023333333333333334,291.0,1.0,-3.072275021870931,-2.688317896525065,-3.7375104014078775,-0.007479692697525024,0.056666666666666664,279.0,0.9466666666666667
