pair_role,haze4k_source,haze4k_id,ots_scene_id,global_rank,candidate_hamming_distance,global_correlation_score,left_keypoints,right_keypoints,forward_ratio_matches,reverse_ratio_matches,reciprocal_matches,homography_inliers,homography_inlier_ratio,accepted
positive_control,HAZE4K_TRAIN,101,0870,,,,1040,1277,431,441,379,373,0.9841688654353562,True
positive_control,HAZE4K_TRAIN,133,7267,,,,1987,1928,514,511,433,427,0.9861431870669746,True
positive_control,HAZE4K_TEST,417,6360,,,,944,1372,386,400,351,348,0.9914529914529915,True
negative_control,HAZE4K_TRAIN,101,7267,,,,1040,1928,4,3,0,0,0.0,False
negative_control,HAZE4K_TRAIN,133,6360,,,,1987,1372,10,3,0,0,0.0,False
negative_control,HAZE4K_TEST,417,0870,,,,944,1277,0,7,0,0,0.0,False
target_69,HAZE4K_TEST,69,0354,,,,1414,1821,682,696,652,649,0.995398773006135,True
target_977,HAZE4K_TRAIN,977,1964,,,,1290,2458,687,721,655,652,0.9954198473282443,True
target_937_candidate,HAZE4K_TRAIN,937,0230,1,0,0.9999794363975525,1426,1645,587,582,517,512,0.9903288201160542,True
target_937_candidate,HAZE4K_TRAIN,937,0160,2,3,0.9991795420646667,1426,1676,331,353,265,257,0.969811320754717,True
target_937_candidate,HAZE4K_TRAIN,937,0653,3,7,0.9952431917190552,1426,2055,305,324,251,247,0.9840637450199203,True
target_937_candidate,HAZE4K_TRAIN,937,0015,4,9,0.9944729804992676,1426,1922,267,297,217,207,0.9539170506912442,True
target_937_candidate,HAZE4K_TRAIN,937,0281,5,8,0.9893532991409302,1426,1976,318,325,254,246,0.968503937007874,True
target_937_candidate,HAZE4K_TRAIN,937,0159,6,6,0.9877297878265381,1426,2101,247,270,198,190,0.9595959595959596,True
target_937_candidate,HAZE4K_TRAIN,937,0478,7,9,0.9866636395454407,1426,2032,278,287,218,215,0.9862385321100917,True
target_937_candidate,HAZE4K_TRAIN,937,0766,8,15,0.9677903652191162,1426,2374,82,68,44,38,0.8636363636363636,True
