3411	0	invert	1
3411	0	normal	2
3411	0	shuffle	3
3411	0	zero	4
3411	1	invert	5
3411	1	normal	6
3411	1	shuffle	7
3411	1	zero	1
3411	2	invert	2
3411	2	normal	3
3411	2	shuffle	4
3411	2	zero	5
3411	3	invert	6
3411	3	normal	7
3411	3	shuffle	1
3411	3	zero	2
3411	4	invert	3
3411	4	normal	4
3411	4	shuffle	5
3411	4	zero	6
3413	0	invert	7
3413	0	normal	1
3413	0	shuffle	2
3413	0	zero	3
3413	1	invert	4
3413	1	normal	5
3413	1	shuffle	6
3413	1	zero	7
3413	2	invert	1
3413	2	normal	2
3413	2	shuffle	3
3413	2	zero	4
3413	3	invert	5
3413	3	normal	6
3413	3	shuffle	7
3413	3	zero	1
3413	4	invert	2
3413	4	normal	3
3413	4	shuffle	4
3413	4	zero	5
