variant,name,low_haze_pixels,false_strong_pixels,false_strong_rate
d1_dual,1002_0.73_1.47.png,76,0,0.0
d1_dual,1007_0.68_1.25.png,39,0,0.0
d1_dual,1012_0.85_1.28.png,0,0,nan
d1_dual,1016_0.8_1.72.png,127,0,0.0
d1_dual,1022_0.66_1.05.png,916,0,0.0
d1_dual,1023_0.5_1.87.png,277,0,0.0
d1_dual,1029_0.71_0.56.png,680,0,0.0
d1_dual,103_0.75_1.59.png,0,0,nan
d1_dual,1042_0.91_0.56.png,283,0,0.0
d1_dual,1045_0.58_1.58.png,3,0,0.0
d1_dual,1060_0.94_1.09.png,1111,0,0.0
d1_dual,1064_0.54_0.97.png,103,0,0.0
d1_dual,1072_0.58_0.58.png,317,0,0.0
d1_dual,1073_0.51_0.98.png,374,0,0.0
d1_dual,1075_0.76_1.99.png,14,0,0.0
d1_dual,1080_0.59_1.22.png,39,0,0.0
d1_dual,1083_0.67_0.81.png,2,0,0.0
d1_dual,1090_0.54_0.58.png,368,0,0.0
d1_dual,1096_0.72_0.86.png,38,0,0.0
d1_dual,1098_0.8_0.51.png,860,0,0.0
d1_dual,1099_0.54_1.76.png,116,0,0.0
d1_dual,1102_0.65_0.94.png,31,0,0.0
d1_dual,110_0.55_1.08.png,0,0,nan
d1_dual,1113_0.9_0.52.png,716,0,0.0
d1_dual,1122_0.94_0.53.png,574,0,0.0
d1_dual,1124_0.74_1.17.png,121,0,0.0
d1_dual,1134_0.69_1.2.png,1,0,0.0
d1_dual,1140_0.67_1.42.png,183,0,0.0
d1_dual,1143_0.73_1.33.png,45,0,0.0
d1_dual,1145_0.9_1.2.png,205,0,0.0
d1_dual,1146_0.89_0.87.png,371,0,0.0
d1_dual,114_0.75_1.45.png,28,0,0.0
d1_dual,1150_0.8_1.27.png,7,0,0.0
d1_dual,1155_0.63_1.27.png,642,0,0.0
d1_dual,1162_0.65_1.7.png,1,0,0.0
d1_dual,1164_0.79_1.96.png,0,0,nan
d1_dual,1168_0.56_0.69.png,682,0,0.0
d1_dual,116_0.64_1.08.png,313,0,0.0
d1_dual,1170_0.71_1.78.png,281,0,0.0
d1_dual,1179_0.56_1.96.png,27,0,0.0
d1_dual,1187_0.82_1.57.png,6,0,0.0
d1_dual,119_0.6_1.7.png,98,0,0.0
d1_dual,1200_0.97_0.52.png,93,0,0.0
d1_dual,1205_0.78_1.01.png,22,0,0.0
d1_dual,1208_0.63_0.83.png,288,0,0.0
d1_dual,1211_0.88_1.93.png,22,0,0.0
d1_dual,1231_0.98_1.26.png,221,0,0.0
d1_dual,123_0.94_1.22.png,45,0,0.0
d1_dual,1240_0.64_0.5.png,1435,0,0.0
d1_dual,1246_0.62_2.0.png,66,0,0.0
d1_dual,1250_0.57_0.61.png,13,0,0.0
d1_dual,1254_0.97_1.31.png,11,0,0.0
d1_dual,1263_0.9_1.41.png,300,0,0.0
d1_dual,1266_0.96_1.34.png,27,0,0.0
d1_dual,126_0.75_1.47.png,345,0,0.0
d1_dual,1271_0.65_1.66.png,83,0,0.0
d1_dual,1281_0.89_0.85.png,417,0,0.0
d1_dual,1282_0.62_0.6.png,428,0,0.0
d1_dual,1292_0.66_1.45.png,297,0,0.0
d1_dual,1297_0.99_0.69.png,730,0,0.0
d1_dual,129_0.95_1.3.png,72,0,0.0
d1_dual,1305_1.0_1.54.png,23,0,0.0
d1_dual,1306_0.6_0.6.png,502,0,0.0
d1_dual,1308_0.84_1.04.png,198,0,0.0
d1_dual,1322_0.64_1.06.png,378,0,0.0
d1_dual,1323_0.89_0.88.png,355,0,0.0
d1_dual,1324_0.55_1.43.png,388,0,0.0
d1_dual,1326_0.77_0.97.png,364,0,0.0
d1_dual,1341_0.94_0.51.png,282,0,0.0
d1_dual,1347_0.75_1.79.png,50,0,0.0
d1_dual,136_0.6_1.01.png,327,0,0.0
d1_dual,1376_0.65_1.6.png,13,0,0.0
d1_dual,1377_0.5_0.79.png,676,0,0.0
d1_dual,1380_0.67_1.78.png,121,0,0.0
d1_dual,1386_0.99_1.78.png,6,0,0.0
d1_dual,1397_0.94_0.79.png,397,0,0.0
d1_dual,139_0.87_1.52.png,202,0,0.0
d1_dual,1403_0.73_1.26.png,0,0,nan
d1_dual,1407_0.6_1.92.png,0,0,nan
d1_dual,1410_0.76_1.08.png,575,0,0.0
d1_dual,141_0.71_1.48.png,38,0,0.0
d1_dual,1425_0.84_1.75.png,4,0,0.0
d1_dual,1432_0.91_1.29.png,414,0,0.0
d1_dual,1433_0.9_1.85.png,23,0,0.0
d1_dual,1435_0.87_0.57.png,546,0,0.0
d1_dual,1436_0.66_1.76.png,5,0,0.0
d1_dual,1440_0.65_1.26.png,31,0,0.0
d1_dual,1442_0.62_0.81.png,292,0,0.0
d1_dual,1443_0.76_1.22.png,183,0,0.0
d1_dual,1446_0.85_0.59.png,421,0,0.0
d1_dual,1449_0.94_0.78.png,173,0,0.0
d1_dual,1452_0.81_1.88.png,225,0,0.0
d1_dual,1454_0.62_1.48.png,119,0,0.0
d1_dual,1456_0.66_1.83.png,105,0,0.0
d1_dual,1457_0.88_0.58.png,518,0,0.0
d1_dual,145_0.5_1.08.png,405,0,0.0
d1_dual,1461_0.59_0.54.png,232,0,0.0
d1_dual,1464_0.64_1.56.png,209,0,0.0
d1_dual,1470_0.63_1.26.png,43,0,0.0
d1_dual,1471_0.82_1.95.png,20,0,0.0
d1_dual,1474_0.92_0.89.png,146,0,0.0
d1_dual,1481_0.7_0.89.png,487,0,0.0
d1_dual,1482_0.59_1.05.png,285,0,0.0
d1_dual,1485_0.6_1.5.png,272,0,0.0
d1_dual,1493_0.84_0.8.png,41,0,0.0
d1_dual,1497_0.99_1.09.png,0,0,nan
d1_dual,1500_0.87_1.88.png,0,0,nan
d1_dual,1511_0.63_1.09.png,1158,0,0.0
d1_dual,1512_0.89_1.11.png,322,0,0.0
d1_dual,1517_0.72_1.25.png,2333,0,0.0
d1_dual,1518_0.62_1.44.png,2018,0,0.0
d1_dual,1528_0.91_1.9.png,185,0,0.0
d1_dual,152_0.8_1.99.png,8,0,0.0
d1_dual,1531_0.52_1.01.png,1569,0,0.0
d1_dual,1537_0.52_1.24.png,616,0,0.0
d1_dual,1538_0.61_0.54.png,2175,0,0.0
d1_dual,1539_0.58_0.79.png,1502,0,0.0
d1_dual,1543_0.92_1.98.png,873,0,0.0
d1_dual,1544_0.87_1.52.png,1333,0,0.0
d1_dual,1547_0.77_1.84.png,222,0,0.0
d1_dual,1548_0.85_1.55.png,254,0,0.0
d1_dual,1549_0.91_1.37.png,1086,0,0.0
d1_dual,154_0.97_0.91.png,0,0,nan
d1_dual,1568_0.8_1.8.png,317,0,0.0
d1_dual,1573_0.61_1.06.png,2341,0,0.0
d1_dual,1575_0.51_1.39.png,919,0,0.0
d1_dual,1578_0.57_1.99.png,169,0,0.0
d1_dual,1580_0.7_1.59.png,280,0,0.0
d1_dual,1586_0.74_1.29.png,356,0,0.0
d1_dual,158_0.56_1.42.png,0,0,nan
d1_dual,1592_0.54_1.46.png,1433,0,0.0
d1_dual,1599_0.71_1.3.png,377,0,0.0
d1_dual,1602_0.92_0.57.png,1378,0,0.0
d1_dual,1605_1.0_1.37.png,404,0,0.0
d1_dual,1612_0.77_1.4.png,613,0,0.0
d1_dual,161_0.83_1.56.png,0,0,nan
d1_dual,1621_0.5_0.72.png,1730,0,0.0
