bin_index,target_lo,target_hi,count,target_mean,pred_mean,variant
0,0.0,0.0650055781006813,479908,0.030615415424108505,0.5215704441070557,d0_handcrafted
1,0.0650055781006813,0.11554951980710029,309576,0.08973947167396545,0.5278286933898926,d0_handcrafted
2,0.11554951980710029,0.29922645330429076,817007,0.19909045100212097,0.5086662173271179,d0_handcrafted
3,0.29922645330429076,0.43458505868911745,361293,0.3611336350440979,0.499839723110199,d0_handcrafted
4,0.43458505868911745,1.000001,489816,0.6342395544052124,0.529875636100769,d0_handcrafted
0,0.0,0.0650055781006813,479908,0.030615415424108505,0.18341177701950073,d1_dual
1,0.0650055781006813,0.11554951980710029,309576,0.08973947167396545,0.21800144016742706,d1_dual
2,0.11554951980710029,0.29922645330429076,817007,0.19909045100212097,0.29248422384262085,d1_dual
3,0.29922645330429076,0.43458505868911745,361293,0.3611336350440979,0.42295515537261963,d1_dual
4,0.43458505868911745,1.000001,489816,0.6342395544052124,0.6033033728599548,d1_dual
0,0.0,0.0650055781006813,479908,0.030615415424108505,0.15662497282028198,d3_density_only
1,0.0650055781006813,0.11554951980710029,309576,0.08973947167396545,0.19436416029930115,d3_density_only
2,0.11554951980710029,0.29922645330429076,817007,0.19909045100212097,0.2717667818069458,d3_density_only
3,0.29922645330429076,0.43458505868911745,361293,0.3611336350440979,0.41525235772132874,d3_density_only
4,0.43458505868911745,1.000001,489816,0.6342395544052124,0.5963009595870972,d3_density_only
0,0.0,0.0650055781006813,479908,0.030615415424108505,0.35891273617744446,d5_shuffled_dual
1,0.0650055781006813,0.11554951980710029,309576,0.08973947167396545,0.3558175265789032,d5_shuffled_dual
2,0.11554951980710029,0.29922645330429076,817007,0.19909045100212097,0.3553105294704437,d5_shuffled_dual
3,0.29922645330429076,0.43458505868911745,361293,0.3611336350440979,0.35519570112228394,d5_shuffled_dual
4,0.43458505868911745,1.000001,489816,0.6342395544052124,0.3525671064853668,d5_shuffled_dual
