bin_index,target_lo,target_hi,count,target_mean,pred_mean,variant
0,0.0,0.03385526612401009,482932,0.018307385966181755,0.10755684226751328,d1_dual
1,0.03385526612401009,0.05686571326106787,320275,0.04497264698147774,0.12404143810272217,d1_dual
2,0.05686571326106787,0.15856870532035827,806286,0.09996586292982101,0.13480547070503235,d1_dual
3,0.15856870532035827,0.2536024510860443,338422,0.20073236525058746,0.14107125997543335,d1_dual
4,0.2536024510860443,1.000001,509685,0.4730762243270874,0.1393965482711792,d1_dual
0,0.0,0.03385526612401009,482932,0.018307385966181755,0.09983263164758682,d4_need_only
1,0.03385526612401009,0.05686571326106787,320275,0.04497264698147774,0.11608706414699554,d4_need_only
2,0.05686571326106787,0.15856870532035827,806286,0.09996586292982101,0.12738749384880066,d4_need_only
3,0.15856870532035827,0.2536024510860443,338422,0.20073236525058746,0.13453656435012817,d4_need_only
4,0.2536024510860443,1.000001,509685,0.4730762243270874,0.13567909598350525,d4_need_only
0,0.0,0.03385526612401009,482932,0.018307385966181755,0.14883460104465485,d5_shuffled_dual
1,0.03385526612401009,0.05686571326106787,320275,0.04497264698147774,0.14487327635288239,d5_shuffled_dual
2,0.05686571326106787,0.15856870532035827,806286,0.09996586292982101,0.14276988804340363,d5_shuffled_dual
3,0.15856870532035827,0.2536024510860443,338422,0.20073236525058746,0.13938482105731964,d5_shuffled_dual
4,0.2536024510860443,1.000001,509685,0.4730762243270874,0.13666236400604248,d5_shuffled_dual
