coverage,mean_tile_utility_db,population,risk_threshold,scene_count,selected_harm_fraction,utility_threshold_db
6.78925035360679e-05,0.00020797067260742188,haze4k_test_development_stress,0.025,100,0.0,0.05
0.0010183875530410183,0.002847333023071289,haze4k_test_development_stress,0.05,100,0.0,0.05
0.0034512022630834513,0.007732539640903472,haze4k_test_development_stress,0.1,100,0.13114754098360656,0.05
0.010183875530410185,0.015554551052570342,haze4k_test_development_stress,0.2,100,0.2127777777777778,0.05
0.05147100424328147,0.018306424710084996,haze4k_test_development_stress,0.5,100,0.39334982137949986,0.05
4.333498848914368e-05,6.11128641764323e-05,haze4k_train_oof,0.025,600,0.3333333333333333,0.05
0.00018778495011962263,0.00028615893300374344,haze4k_train_oof,0.05,600,0.2692307692307692,0.05
0.0021270256850088026,0.003971696638743082,haze4k_train_oof,0.1,600,0.2495755517826825,0.05
0.012996885297702343,0.021435826311508813,haze4k_train_oof,0.2,600,0.2796610169491525,0.05
0.05564754209362163,0.039631910589131215,haze4k_train_oof,0.5,600,0.3848599889678445,0.05
