variant,gate_kind,threshold,high_prob_count,raw_high_prob_severe_rate,gated_high_prob_severe_rate,high_prob_severe_reduction,noop_bin_count,noop_bin_mean_dPSNR
V221_noop_control,control_noop,0.8,298,0.5503355704697986,0.0,0.5503355704697986,298,0.0
V221_oracle_risk_zero_upper_bound,oracle_risk_gate_upper_bound,0.8,298,0.5503355704697986,0.0,0.5503355704697986,298,0.18970621352227743
V221_oracle_safe_action_upper_bound,oracle_action_upper_bound,0.8,298,0.5503355704697986,0.0,0.5503355704697986,298,5.171306245278992
V221_raw_v220_action,raw_v220_action,0.8,298,0.5503355704697986,0.5503355704697986,0.0,298,-0.3813949815378893
V221_risk_piecewise_t0p30_0p70,predicted_risk_piecewise,0.7,298,0.5503355704697986,0.0,0.5503355704697986,413,0.0
V221_risk_piecewise_t0p40_0p80,predicted_risk_piecewise,0.8,298,0.5503355704697986,0.0,0.5503355704697986,298,0.0
V221_risk_piecewise_t0p50_0p90,predicted_risk_piecewise,0.9,298,0.5503355704697986,0.0,0.5503355704697986,186,0.0
V221_risk_soft_t0p50_tau0p10,predicted_risk_soft,0.5,298,0.5503355704697986,0.0,0.5503355704697986,618,0.1791184125980513
V221_risk_soft_t0p50_tau0p20,predicted_risk_soft,0.5,298,0.5503355704697986,0.003355704697986577,0.546979865771812,618,0.2999001938162498
V221_risk_soft_t0p70_tau0p10,predicted_risk_soft,0.7,298,0.5503355704697986,0.0,0.5503355704697986,413,0.21569327753912163
V221_risk_soft_t0p70_tau0p20,predicted_risk_soft,0.7,298,0.5503355704697986,0.06040268456375839,0.4899328859060402,413,0.2850146259003055
V221_risk_temperature_gamma0p50,predicted_risk_temperature,0.8,298,0.5503355704697986,0.020134228187919462,0.5302013422818792,298,0.23659139671581703
V221_risk_temperature_gamma1p00,predicted_risk_temperature,0.8,298,0.5503355704697986,0.0,0.5503355704697986,298,0.10345085195246959
V221_risk_temperature_gamma2p00,predicted_risk_temperature,0.8,298,0.5503355704697986,0.0,0.5503355704697986,298,0.015005572530247221
V221_risk_temperature_gamma4p00,predicted_risk_temperature,0.8,298,0.5503355704697986,0.0,0.5503355704697986,298,0.0003609305260165426
V221_risk_zero_t0p20,predicted_risk_zero,0.2,298,0.5503355704697986,0.0,0.5503355704697986,1073,0.0
V221_risk_zero_t0p30,predicted_risk_zero,0.3,298,0.5503355704697986,0.0,0.5503355704697986,879,0.0
V221_risk_zero_t0p40,predicted_risk_zero,0.4,298,0.5503355704697986,0.0,0.5503355704697986,733,0.0
V221_risk_zero_t0p50,predicted_risk_zero,0.5,298,0.5503355704697986,0.0,0.5503355704697986,618,0.0
V221_risk_zero_t0p60,predicted_risk_zero,0.6,298,0.5503355704697986,0.0,0.5503355704697986,514,0.0
V221_risk_zero_t0p70,predicted_risk_zero,0.7,298,0.5503355704697986,0.0,0.5503355704697986,413,0.0
V221_risk_zero_t0p80,predicted_risk_zero,0.8,298,0.5503355704697986,0.0,0.5503355704697986,298,0.0
V221_shuffled_risk_zero_t0p50,shuffled_risk_control,0.5,298,0.5503355704697986,0.42953020134228187,0.12080536912751677,618,-0.017987118569778394
