threshold,count,positive_labels,tp,fp,tn,fn,precision,recall,specificity,accuracy,fold,variant,train_count,test_count
0.2,480,59,58,163,258,1,0.26244343891402716,0.9830508474576272,0.6128266033254157,0.6583333333333333,0,P1_final_mid_global_context_predictor,1920,480
0.3,480,59,56,129,292,3,0.3027027027027027,0.9491525423728814,0.6935866983372921,0.725,0,P1_final_mid_global_context_predictor,1920,480
0.4,480,59,53,97,324,6,0.35333333333333333,0.8983050847457628,0.7695961995249406,0.7854166666666667,0,P1_final_mid_global_context_predictor,1920,480
0.5,480,59,49,75,346,10,0.3951612903225806,0.8305084745762712,0.8218527315914489,0.8229166666666666,0,P1_final_mid_global_context_predictor,1920,480
0.6,480,59,47,52,369,12,0.47474747474747475,0.7966101694915254,0.8764845605700713,0.8666666666666667,0,P1_final_mid_global_context_predictor,1920,480
0.7,480,59,44,34,387,15,0.5641025641025641,0.7457627118644068,0.9192399049881235,0.8979166666666667,0,P1_final_mid_global_context_predictor,1920,480
0.8,480,59,34,23,398,25,0.5964912280701754,0.576271186440678,0.9453681710213777,0.9,0,P1_final_mid_global_context_predictor,1920,480
0.2,480,66,64,148,266,2,0.3018867924528302,0.9696969696969697,0.642512077294686,0.6875,1,P1_final_mid_global_context_predictor,1920,480
0.3,480,66,61,111,303,5,0.3546511627906977,0.9242424242424242,0.7318840579710145,0.7583333333333333,1,P1_final_mid_global_context_predictor,1920,480
0.4,480,66,59,81,333,7,0.42142857142857143,0.8939393939393939,0.8043478260869565,0.8166666666666667,1,P1_final_mid_global_context_predictor,1920,480
0.5,480,66,56,60,354,10,0.4827586206896552,0.8484848484848485,0.855072463768116,0.8541666666666666,1,P1_final_mid_global_context_predictor,1920,480
0.6,480,66,50,43,371,16,0.5376344086021505,0.7575757575757576,0.8961352657004831,0.8770833333333333,1,P1_final_mid_global_context_predictor,1920,480
0.7,480,66,47,32,382,19,0.5949367088607594,0.7121212121212122,0.9227053140096618,0.89375,1,P1_final_mid_global_context_predictor,1920,480
0.8,480,66,38,19,395,28,0.6666666666666666,0.5757575757575758,0.9541062801932367,0.9020833333333333,1,P1_final_mid_global_context_predictor,1920,480
0.2,480,65,64,149,266,1,0.3004694835680751,0.9846153846153847,0.6409638554216868,0.6875,2,P1_final_mid_global_context_predictor,1920,480
0.3,480,65,60,113,302,5,0.3468208092485549,0.9230769230769231,0.727710843373494,0.7541666666666667,2,P1_final_mid_global_context_predictor,1920,480
0.4,480,65,60,88,327,5,0.40540540540540543,0.9230769230769231,0.7879518072289157,0.80625,2,P1_final_mid_global_context_predictor,1920,480
0.5,480,65,60,70,345,5,0.46153846153846156,0.9230769230769231,0.8313253012048193,0.84375,2,P1_final_mid_global_context_predictor,1920,480
0.6,480,65,56,57,358,9,0.49557522123893805,0.8615384615384616,0.8626506024096385,0.8625,2,P1_final_mid_global_context_predictor,1920,480
0.7,480,65,51,38,377,14,0.5730337078651685,0.7846153846153846,0.908433734939759,0.8916666666666667,2,P1_final_mid_global_context_predictor,1920,480
0.8,480,65,46,23,392,19,0.6666666666666666,0.7076923076923077,0.944578313253012,0.9125,2,P1_final_mid_global_context_predictor,1920,480
0.2,480,65,61,146,269,4,0.2946859903381642,0.9384615384615385,0.6481927710843374,0.6875,3,P1_final_mid_global_context_predictor,1920,480
0.3,480,65,59,116,299,6,0.33714285714285713,0.9076923076923077,0.7204819277108434,0.7458333333333333,3,P1_final_mid_global_context_predictor,1920,480
0.4,480,65,58,98,317,7,0.3717948717948718,0.8923076923076924,0.763855421686747,0.78125,3,P1_final_mid_global_context_predictor,1920,480
0.5,480,65,55,76,339,10,0.4198473282442748,0.8461538461538461,0.8168674698795181,0.8208333333333333,3,P1_final_mid_global_context_predictor,1920,480
0.6,480,65,48,59,356,17,0.4485981308411215,0.7384615384615385,0.8578313253012049,0.8416666666666667,3,P1_final_mid_global_context_predictor,1920,480
0.7,480,65,44,40,375,21,0.5238095238095238,0.676923076923077,0.9036144578313253,0.8729166666666667,3,P1_final_mid_global_context_predictor,1920,480
0.8,480,65,34,23,392,31,0.5964912280701754,0.5230769230769231,0.944578313253012,0.8875,3,P1_final_mid_global_context_predictor,1920,480
0.2,480,70,69,151,259,1,0.31363636363636366,0.9857142857142858,0.6317073170731707,0.6833333333333333,4,P1_final_mid_global_context_predictor,1920,480
0.3,480,70,65,109,301,5,0.3735632183908046,0.9285714285714286,0.7341463414634146,0.7625,4,P1_final_mid_global_context_predictor,1920,480
0.4,480,70,60,79,331,10,0.4316546762589928,0.8571428571428571,0.8073170731707318,0.8145833333333333,4,P1_final_mid_global_context_predictor,1920,480
0.5,480,70,57,60,350,13,0.48717948717948717,0.8142857142857143,0.8536585365853658,0.8479166666666667,4,P1_final_mid_global_context_predictor,1920,480
0.6,480,70,55,47,363,15,0.5392156862745098,0.7857142857142857,0.8853658536585366,0.8708333333333333,4,P1_final_mid_global_context_predictor,1920,480
0.7,480,70,49,34,376,21,0.5903614457831325,0.7,0.9170731707317074,0.8854166666666666,4,P1_final_mid_global_context_predictor,1920,480
0.8,480,70,38,20,390,32,0.6551724137931034,0.5428571428571428,0.9512195121951219,0.8916666666666667,4,P1_final_mid_global_context_predictor,1920,480
