variant,scope,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions,strong_reference_regression_rate,strong_easy_mean_dPSNR,strong_easy_p05_dPSNR,gate_kind,threshold,training_authorization_pass,failed_check_count,fold_tail_pass_count,mean_dPSNR_ge_1p00,hard_bottom25_ge_2p00,easy_top25_ge_0p00,positive_ratio_ge_0p75,p05_ge_neg0p15,CVaR5_ge_neg0p35,severe_rate_le_0p035,strong_reference_regression_rate_le_0p075,fold_tail_pass_ge_4_of_5,strong_easy_p05_ge_neg0p15,noop_bin_mean_ge_neg0p03,high_prob_severe_rate_clearly_reduced,calibration_high_prob_count,calibration_raw_high_prob_severe_rate,calibration_gated_high_prob_severe_rate,calibration_high_prob_severe_reduction,calibration_noop_bin_count,calibration_noop_bin_mean_dPSNR
V221_factor_A_pred_action_pred_gate,all,2400,2.2270253642400104,1.5382061004638672,-0.3091048049926758,-0.0025074005126953123,-0.20886227289835613,4.303077551523844,0.7403017361958821,0.9479166666666666,43,0.017916666666666668,600,29,0.04833333333333333,0.7403017361958821,-0.04753551483154297,,,,,,,,,,,,,,,,,,,,,,,
V221_factor_B_pred_action_oracle_gate,all,2400,2.191464299360911,1.5192031860351562,-0.007920837402343752,0.0,-0.006638272603352865,4.286090911229452,0.6925379435221354,0.85125,0,0.0,600,0,0.0,0.6925379435221354,0.0,,,,,,,,,,,,,,,,,,,,,,,
V221_factor_C_oracle_action_pred_gate,all,2400,6.387218384742737,5.806924819946289,0.43771366119384764,1.1332359313964844,0.6658938884735107,10.156394392649332,3.2386239624023436,0.9995833333333334,0,0.0,600,0,0.0,3.2386239624023436,0.54217529296875,,,,,,,,,,,,,,,,,,,,,,,
V221_factor_D_oracle_action_oracle_gate,all,2400,7.110747826894125,6.649005889892578,1.6168899154663086,2.4659072875976564,1.9291780789693196,10.609973258972168,4.213607177734375,1.0,0,0.0,600,0,0.0,4.213607177734375,1.8517372131347656,,,,,,,,,,,,,,,,,,,,,,,
V221_factor_A_pred_action_pred_gate,,,,,,,,,,,,,,,,,,factor_A_pred_action_pred_gate,,True,0,5,True,True,True,True,True,True,True,True,True,True,True,True,298,0.5503355704697986,0.020134228187919462,0.5302013422818792,298,0.23659139671581703
V221_factor_B_pred_action_oracle_gate,,,,,,,,,,,,,,,,,,factor_B_pred_action_oracle_gate,,True,0,5,True,True,True,True,True,True,True,True,True,True,True,True,298,0.5503355704697986,0.0,0.5503355704697986,298,0.18970621352227743
V221_factor_C_oracle_action_pred_gate,,,,,,,,,,,,,,,,,,factor_C_oracle_action_pred_gate,,True,0,5,True,True,True,True,True,True,True,True,True,True,True,True,298,0.5503355704697986,0.0,0.5503355704697986,298,1.5432724216640397
V221_factor_D_oracle_action_oracle_gate,,,,,,,,,,,,,,,,,,factor_D_oracle_action_oracle_gate,,True,0,5,True,True,True,True,True,True,True,True,True,True,True,True,298,0.5503355704697986,0.0,0.5503355704697986,298,5.171306245278992
