variant,scope,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions,strong_reference_regression_rate,strong_easy_mean_dPSNR,strong_easy_p05_dPSNR
V221_noop_control,all,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,600,0,0.0,0.0,0.0
V221_oracle_risk_zero_upper_bound,all,2400,2.191464299360911,1.5192031860351562,-0.007920837402343752,0.0,-0.006638272603352865,4.286090911229452,0.6925379435221354,0.85125,0,0.0,600,0,0.0,0.6925379435221354,0.0
V221_oracle_safe_action_upper_bound,all,2400,7.110747826894125,6.649005889892578,1.6168899154663086,2.4659072875976564,1.9291780789693196,10.609973258972168,4.213607177734375,1.0,0,0.0,600,0,0.0,4.213607177734375,1.8517372131347656
V221_raw_v220_action,all,2400,2.09111962556839,1.5192031860351562,-1.8882592391967774,-0.7040210723876953,-1.4500590960184734,4.2276796499888105,0.5341034189860026,0.85125,264,0.11,600,151,0.25166666666666665,0.5341034189860026,-0.8696020126342774
V221_risk_piecewise_t0p30_0p70,all,2400,2.1312224729855855,1.4752922058105469,-0.17360809326171875,0.0,-0.1264176368713379,4.247812210718791,0.6046099217732748,0.8058333333333333,21,0.00875,600,14,0.023333333333333334,0.6046099217732748,0.0
V221_risk_piecewise_t0p40_0p80,all,2400,2.155085477034251,1.5002021789550781,-0.37193458557128906,0.0,-0.19512615203857422,4.260190312067667,0.6387943522135416,0.8416666666666667,36,0.015,600,22,0.03666666666666667,0.6387943522135416,-0.008005714416503908
V221_risk_piecewise_t0p50_0p90,all,2400,2.174565149148305,1.5102081298828125,-0.46312602996826174,0.0,-0.28517271677652994,4.274437061945597,0.66793883005778,0.8795833333333334,50,0.020833333333333332,600,33,0.055,0.66793883005778,-0.07463150024414063
V221_risk_soft_t0p50_tau0p10,all,2400,2.1513719820976256,1.4928092956542969,-0.12309436798095706,0.004260444641113282,-0.09903028806050619,4.253114938735962,0.633884760538737,0.9645833333333333,21,0.00875,600,12,0.02,0.633884760538737,-0.0019386291503906252
V221_risk_soft_t0p50_tau0p20,all,2400,2.151967645486196,1.4821739196777344,-0.13756359100341797,0.02184429168701172,-0.08958614667256673,4.161007140477499,0.68353271484375,0.9616666666666667,13,0.005416666666666667,600,14,0.023333333333333334,0.68353271484375,-0.009794998168945314
V221_risk_soft_t0p70_tau0p10,all,2400,2.190421954790751,1.519021987915039,-0.42357521057128905,-0.010541534423828118,-0.2690098444620768,4.281334508260091,0.6920819918314616,0.9466666666666667,44,0.018333333333333333,600,33,0.055,0.6920819918314616,-0.0728912353515625
V221_risk_soft_t0p70_tau0p20,all,2400,2.209422305425008,1.5249862670898438,-0.3424319839477539,-0.005540084838867183,-0.24270976384480794,4.261434669494629,0.7309716860453288,0.9458333333333333,55,0.022916666666666665,600,37,0.06166666666666667,0.7309716860453288,-0.09654827117919923
V221_risk_temperature_gamma0p50,all,2400,2.2270253642400104,1.5382061004638672,-0.3091048049926758,-0.0025074005126953123,-0.20886227289835613,4.303077551523844,0.7403017361958821,0.9479166666666666,43,0.017916666666666668,600,29,0.04833333333333333,0.7403017361958821,-0.04753551483154297
V221_risk_temperature_gamma1p00,all,2400,2.1887345051765443,1.4765644073486328,-0.0924761962890625,0.006084442138671875,-0.07582030296325684,4.279196914037069,0.6841380755106609,0.9625,14,0.005833333333333334,600,9,0.015,0.6841380755106609,-0.0003004074096679689
V221_risk_temperature_gamma2p00,all,2400,2.092569468021393,1.36199951171875,-0.0029752349853515644,0.0006061553955078125,-0.023398637771606445,4.2152945359547935,0.5638471349080404,0.9733333333333334,4,0.0016666666666666668,600,1,0.0016666666666666668,0.5638471349080404,1.1444091796875e-05
