scope,count,positive_labels,roc_auc,pr_auc_average_precision
all,2400,325,0.9238524559777572,0.6976156445469944
fold0,480,59,0.9242320544305326,0.6495107106358831
fold1,480,66,0.9239130434782609,0.6934274627958243
fold2,480,65,0.9394253938832252,0.7722301887339414
fold3,480,65,0.906209453197405,0.6399213453860062
fold4,480,70,0.9272822299651567,0.7378317902277308
