stage,epoch,sample_count,loss,mean_dPSNR_vs_A0,p05_dPSNR_vs_A0,CVaR5_dPSNR_vs_A0,severe_rate,mean_unsafe_probability,mean_action_rms_proxy,grad_clip_norm
microfit256,1,256,0.046913124788261484,0.007510327031165248,-0.19988356873773583,-0.2970116789554348,0.05078125,0.18124737177276984,0.033029694204742555,0.001
microfit256,2,256,0.04712290877796477,0.01241257051995992,-0.35064236662686277,-0.470742530197552,0.125,0.1802716514794156,0.046572644932894036,0.001
microfit256,3,256,0.04667928747221595,0.008591759252499026,-0.2680990800411429,-0.4443333112191965,0.09765625,0.180152885382995,0.05178619851358235,0.001
microfit256,4,256,0.04722657197271474,0.0035278014147944736,-0.2587034959700887,-0.31762012020973557,0.0859375,0.18038462608819827,0.04949835115985479,0.001
microfit256,5,256,0.047164245224848855,0.0049332287320079105,-0.16259825537731665,-0.24439277475236693,0.04296875,0.18099634756799787,0.0473700973961968,0.001
microfit256,6,256,0.04700254520139424,0.004375097890986418,-0.2205161426260034,-0.29381195933610427,0.0625,0.18154798599425703,0.04645835385599639,0.001
