family,alpha,group,bin,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,worst_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
expert,0.0,airlight_proxy_q4,q2,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02388436822314625
expert,0.0,airlight_proxy_q4,q3,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02616152370990237
expert,0.0,airlight_proxy_q4,q4,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,depth_q4,q1,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,depth_q4,q2,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,depth_q4,q3,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,depth_q4,q4,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,dark_channel_q4,q1,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,dark_channel_q4,q2,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,dark_channel_q4,q3,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,dark_channel_q4,q4,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,low_texture_q4,q1,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,low_texture_q4,q2,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,low_texture_q4,q3,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,low_texture_q4,q4,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,edge_density_q4,q1,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,edge_density_q4,q2,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,edge_density_q4,q3,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,edge_density_q4,q4,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,sky_highlight_proxy_q4,q1,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,sky_highlight_proxy_q4,q2,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,sky_highlight_proxy_q4,q3,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,sky_highlight_proxy_q4,q4,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.02497113914571871
expert,0.0,split,val_hard,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.012643429997735661
expert,0.0,split,val_regular,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.012643429997735661
expert,0.125,A0-PSNR_q4,q1,150,0.5225772857666016,0.48761373074849446,0.5189225995862806,0.44886600133535026,0.5279431729703337,-0.12112045288085938,0.0008270776271820068,0.9733333333333334,0.9334450938998244,0.9733333333333334,0,0.0,0.02497113914571871
expert,0.125,A0-PSNR_q4,q2,150,0.5302733357747396,0.494433775583903,0.4758556469066723,0.4101591574179159,0.5148233980745882,-0.10304641723632812,0.0005430042743682862,0.98,0.9428523341357584,0.98,0,0.0,0.02497113914571871
expert,0.125,A0-PSNR_q4,q3,150,0.5827616119384765,0.5403857765197754,0.5721836605587521,0.5037257065644135,0.6545729766020904,-0.3823966979980469,0.0005528541405995686,0.9733333333333334,0.9334450938998244,0.9733333333333334,1,4.0,0.036793752933975674
expert,0.125,A0-PSNR_q4,q4,150,0.6102801767985025,0.5769508806864421,0.5832752537082981,0.500516314119906,0.5901750100625528,-0.08167266845703125,0.00029740015665690107,0.9866666666666667,0.9526921436197237,0.9866666666666667,0,0.0,0.02497113914571871
expert,0.125,Expert-A0_diff_signed_q4,q1,150,0.6998196156819662,0.6569662342071533,0.6786960911106419,0.6248759914088894,0.7024240236024599,-0.3823966979980469,0.000867611567179362,0.9866666666666667,0.9526921436197237,0.9866666666666667,1,4.0,0.036793752933975674
expert,0.125,Expert-A0_diff_signed_q4,q2,150,0.5278685887654623,0.49533638827006027,0.38872316721323374,0.3168237815032134,0.6760496191076331,-0.12112045288085938,0.000582962433497111,0.9733333333333334,0.9334450938998244,0.9733333333333334,0,0.0,0.02497113914571871
expert,0.125,Expert-A0_diff_signed_q4,q3,150,0.5131276067097982,0.4810651410420736,0.3881684896108267,0.32714592959429767,0.6485274031355575,-0.15317535400390625,0.0004148542881011963,0.9866666666666667,0.9526921436197237,0.9866666666666667,0,0.0,0.02497113914571871
expert,0.125,Expert-A0_diff_signed_q4,q4,150,0.5050765991210937,0.4687042973836263,0.37494669733820735,0.3172409547341836,0.6006756344357053,-0.10304641723632812,0.00035490791002909343,0.9666666666666667,0.9243471574929044,0.9666666666666667,0,0.0,0.02497113914571871
expert,0.125,Expert-A0_diff_abs_q4,q1,150,0.48715826670328777,0.45489557075500486,0.20198889036436338,0.1632107399605416,0.6084872065363703,-0.08167266845703125,0.000254281759262085,0.98,0.9428523341357584,0.98,0,0.0,0.02497113914571871
expert,0.125,Expert-A0_diff_abs_q4,q2,150,0.4751840337117513,0.4416265341440837,0.3005188091381176,0.2525079237448203,0.6667455724767737,-0.15317535400390625,0.0004553810755411784,0.9666666666666667,0.9243471574929044,0.9666666666666667,0,0.0,0.02497113914571871
expert,0.125,Expert-A0_diff_abs_q4,q3,150,0.5704151916503907,0.5366753470102946,0.37159161954312714,0.32252762510969835,0.7744702519597234,-0.06299018859863281,0.0006079546610514323,0.9866666666666667,0.9526921436197237,0.9866666666666667,0,0.0,0.02497113914571871
expert,0.125,Expert-A0_diff_abs_q4,q4,150,0.7131349182128907,0.6764513842264812,0.6343261615650074,0.5651536786878432,0.6955445779336465,-0.3823966979980469,0.000902718702952067,0.98,0.9428523341357584,0.98,1,4.0,0.036793752933975674
expert,0.125,expert_fulludp_disagreement_q4,q1,150,0.5669449106852213,0.5309001108805339,0.37973104940878377,0.306517776283058,0.592544040164432,-0.15317535400390625,0.00029917796452840167,0.98,0.9428523341357584,0.98,0,0.0,0.02497113914571871
expert,0.125,expert_fulludp_disagreement_q4,q2,150,0.4963908004760742,0.4624770704905192,0.3669457822232633,0.30856622231973185,0.6063367482778188,-0.12112045288085938,0.0004321372509002686,0.98,0.9428523341357584,0.98,0,0.0,0.02497113914571871
expert,0.125,expert_fulludp_disagreement_q4,q3,150,0.520080540974935,0.4842256126403809,0.4096527099609375,0.33599044438954945,0.5811163412558066,-0.13965606689453125,0.0005218565464019775,0.9666666666666667,0.9243471574929044,0.9666666666666667,0,0.0,0.02497113914571871
expert,0.125,expert_fulludp_disagreement_q4,q4,150,0.6624761581420898,0.6291738980611166,0.6660995998898068,0.611714319280676,0.6561963880384291,-0.3823966979980469,0.0009671644369761149,0.9866666666666667,0.9526921436197237,0.9866666666666667,1,4.0,0.036793752933975674
expert,0.125,residual_cosine_q4,q1,150,0.5353190739949544,0.4980967171986898,0.5069086744978621,0.43428300651344093,0.5261228406751478,-0.3823966979980469,0.0006763358910878499,0.9666666666666667,0.9243471574929044,0.9666666666666667,1,4.0,0.036793752933975674
expert,0.125,residual_cosine_q4,q2,150,0.5172550201416015,0.48734741401672366,0.527623666299356,0.45622009844393346,0.5525072458628062,-0.05777740478515625,0.000515589714050293,0.9933333333333333,0.9632062470660242,0.9933333333333333,0,0.0,0.02497113914571871
