label,fold_id,test_count,test_positive_rate,auroc,auprc
wdmamba_anti_aligned,0,120,0.0,nan,nan
wdmamba_anti_aligned,1,120,0.0,nan,nan
wdmamba_anti_aligned,2,120,0.008333333333333333,0.19327731092436976,0.010309278350515464
wdmamba_anti_aligned,3,120,0.0,nan,nan
wdmamba_anti_aligned,4,120,0.008333333333333333,0.08403361344537816,0.00909090909090909
convirl_anti_aligned,0,120,0.06666666666666667,0.7756696428571429,0.16227004304253878
convirl_anti_aligned,1,120,0.058333333333333334,0.6308470290771175,0.12762134366132463
convirl_anti_aligned,2,120,0.10833333333333334,0.7419122933141624,0.221520594320249
convirl_anti_aligned,3,120,0.125,0.6819047619047619,0.28473268372517396
convirl_anti_aligned,4,120,0.15833333333333333,0.7305888483585201,0.39389383408123213
wdmamba_alpha_safe_upper_lt_0p02,0,120,0.008333333333333333,0.7478991596638656,0.03225806451612903
wdmamba_alpha_safe_upper_lt_0p02,1,120,0.0,nan,nan
wdmamba_alpha_safe_upper_lt_0p02,2,120,0.008333333333333333,0.5042016806722689,0.016666666666666666
wdmamba_alpha_safe_upper_lt_0p02,3,120,0.0,nan,nan
wdmamba_alpha_safe_upper_lt_0p02,4,120,0.008333333333333333,0.14285714285714285,0.009708737864077669
convirl_alpha_safe_upper_lt_0p02,0,120,0.06666666666666667,0.7321428571428571,0.13388159503316993
convirl_alpha_safe_upper_lt_0p02,1,120,0.08333333333333333,0.6090909090909091,0.17032521009173468
convirl_alpha_safe_upper_lt_0p02,2,120,0.10833333333333334,0.7411933860531992,0.2152731295269633
convirl_alpha_safe_upper_lt_0p02,3,120,0.125,0.6793650793650794,0.34044320029520286
convirl_alpha_safe_upper_lt_0p02,4,120,0.15833333333333333,0.7675872850442939,0.42502986514796265
