image_id,image_name,crop_id,sample_index,table_split,context_contract,teacher_alpha,A0_same_context_psnr,teacher_same_context_psnr,teacher_delta_vs_A0,hardness_bucket,easy_bucket,strong_reference_bucket,strong_reference_cut_psnr,fold_id,eligible,mask_reason,input_sha256,gt_sha256,A0_full_output_sha256,blend_output_sha256,locked_test_touched
1002_0.73_1.47,1002_0.73_1.47.png,full_image,2,val_hard,full_image_same_context_a0p5,0.5,33.58782196044922,39.57618713378906,5.988365173339844,hard,not_easy_top25,not_strong_reference,40.01145362854004,0,True,positive_same_contract_teacher_delta,1f32212e67ba579e403801f606eeefd560e860d551072befa92310f4bd50b48d,e7096391caf9e6b46f72082391270c7f5bbabee25ac9dbf39f234f6b8c356973,f1f778f707317c2ef0bc24ce552b16080a7c67f9cdf2c75692f4777ec35db137,73e39d4d0e14adcd6bf77c11c531675876a8f347ff035dcdf3f8c468b108aa15,False
1012_0.85_1.28,1012_0.85_1.28.png,full_image,13,val_regular,full_image_same_context_a0p5,0.5,38.416282653808594,42.54071044921875,4.124427795410156,mid,not_easy_top25,not_strong_reference,40.01145362854004,1,True,positive_same_contract_teacher_delta,38504c3095c0700e876e42975c3d21c9035827f86b22bfce00f10cdd27be47df,de748918ebf83988c5a9acf2dd072da4c247f914d9c2b7a61a9111518bee2132,0e46b332baa51286f6f1c9e6ef633f582bbcb944a3c65a14ad95d4c87778dbae,40dd0d636fe5998b7a95d50101b38f25d2c83b354fbaa46305210d527c30fe49,False
1016_0.8_1.72,1016_0.8_1.72.png,full_image,17,val_regular,full_image_same_context_a0p5,0.5,39.61763381958008,41.6109619140625,1.9933280944824219,mid,not_easy_top25,not_strong_reference,40.01145362854004,2,True,positive_same_contract_teacher_delta,ceddc950ebb36d5d419213b44b0636a0dcb74ff04de52268d0c2191cf72562bf,a613c5c8b500206ac9fd22b4679d1979ea2023f1fa22d433126aacab34211ae8,c8170ef4bb860cc3a5700e7ca002b7e09c3eb8f2af301f4007326710459d06f1,fd3254f136182edd4e8946e1bc33d638858c3b21f8cdf134ce1bd5bd06d0dd28,False
101_0.78_1.87,101_0.78_1.87.png,full_image,21,val_hard,full_image_same_context_a0p5,0.5,31.260887145996094,35.81635665893555,4.555469512939453,hard,not_easy_top25,not_strong_reference,40.01145362854004,3,True,positive_same_contract_teacher_delta,523653e3ff64266adf4a60614985aaf7ac8f9bbe87a9b926ea955c21e2990364,d39ab157ffd356dc6f154082fbfdc623b227c70e432f9705d4ae0355dc0a2e1f,aa4c72e9f74c3e0aa85967d8a4709cdbc9206311458883b1673dcfeb6434249d,5d4c7537a8247f914919a6ddccf4a40455baee39b43e61740364a96f641a635e,False
1023_0.5_1.87,1023_0.5_1.87.png,full_image,25,val_regular,full_image_same_context_a0p5,0.5,37.465614318847656,37.55197525024414,0.08636093139648438,mid,not_easy_top25,not_strong_reference,40.01145362854004,4,True,positive_same_contract_teacher_delta,dc243511649a4f980b368007c9a6aab9864213f55a756930eb775039df6613a0,e58ad28a11766a9dd275a4337b2bbe91e026cc1d4e62d84fbb4c199a3c378223,4aa6affbe79daba1b4c9057a9ec9fdabf564c4b391474b47586f3964633b1a05,db2cb8f4c49c03dba4a7f0446e8b512223954fa2e5a1bc0a8853301db58de7f8,False
1024_0.69_1.66,1024_0.69_1.66.png,full_image,26,val_hard,full_image_same_context_a0p5,0.5,35.46369171142578,40.41606140136719,4.952369689941406,mid,not_easy_top25,not_strong_reference,40.01145362854004,0,True,positive_same_contract_teacher_delta,b7d7521cb25565b5eae7565ee663fd29a04220ede6f466d8056440acd61c2761,e58ad28a11766a9dd275a4337b2bbe91e026cc1d4e62d84fbb4c199a3c378223,3f7a7453ebfb564da10526ed9527af9a8c4e278e5226a6d665bbf04c6744c0e2,102b5f523a8f4433a686c53d23fb27912311588ded825b8580a5618cebdc6d5a,False
1028_0.97_1.41,1028_0.97_1.41.png,full_image,30,val_hard,full_image_same_context_a0p5,0.5,36.6344108581543,38.889930725097656,2.2555198669433594,mid,not_easy_top25,not_strong_reference,40.01145362854004,1,True,positive_same_contract_teacher_delta,8dc4622d25c3bd66ec400f273f0a8bf719c8906d25ea2f938ef25fbd8d001e9b,628daed877ac27e1eb0326582492fff784ba00cae95f5b3c1d23904d7aa8b5f2,3f7de164234bff0f5f7ebc5c56930f60979ff3dd56729af824cedba59ab728ba,405665ede271a0d10de2ebcd8cce80dd567a469d5e95d3897e660586242689b7,False
102_0.94_1.18,102_0.94_1.18.png,full_image,32,val_hard,full_image_same_context_a0p5,0.5,32.18922424316406,35.759788513183594,3.5705642700195312,hard,not_easy_top25,not_strong_reference,40.01145362854004,2,True,positive_same_contract_teacher_delta,e013f75ac2f4f5a01e68122a408397223ecfc2680df247b2e0fdffb73acdd7ec,d39ab157ffd356dc6f154082fbfdc623b227c70e432f9705d4ae0355dc0a2e1f,3df5bc1dde17a9c0648728d1b2459a3e3c6fb094f082f669eacd14472be41e21,17cf7dff4e4a1c0850d5e50235e50ea72be78e01cfa18ff176ec9536ae66567f,False
1031_0.76_0.7,1031_0.76_0.7.png,full_image,34,val_regular,full_image_same_context_a0p5,0.5,42.84375762939453,45.039886474609375,2.1961288452148438,easy,easy_top25,strong_reference,40.01145362854004,3,True,positive_same_contract_teacher_delta,ec9baa98032ba6e1ae311e8d1a4abe326d03021287fca9e04b3628b7a38f1772,5e519d8c9062fed840170baae1bf45cbff0d92595c15a1b94d717f65fef5edc3,171974dfb5f712b20602f49c40583e1020c5361e52385098abdacb2f51c179ed,bc652f4ade6ec1eddd428153636c1c01aeebdc01407c469e7cd95311c003cdfa,False
1033_0.52_1.2,1033_0.52_1.2.png,full_image,36,val_hard,full_image_same_context_a0p5,0.5,34.245323181152344,39.53803634643555,5.292713165283203,mid,not_easy_top25,not_strong_reference,40.01145362854004,4,True,positive_same_contract_teacher_delta,a15c5ce023e4047e2cb5a2b41aba9e9944597da3743f0b08ae68774113fbb134,61fff66a9253d2d404d4d27617dc636c8cf64a2c53d1d0ed9fb9dfe9601ee853,744d3fefee0a7bfdd653622a99a978673b24c98d03aaebff2a2d8d7129b46549,270520d3e5b3cab36949ea90a79147d640a578e75de842dc527963cd7cf7705f,False
1035_0.76_1.14,1035_0.76_1.14.png,full_image,38,val_regular,full_image_same_context_a0p5,0.5,33.747764587402344,39.12635040283203,5.3785858154296875,hard,not_easy_top25,not_strong_reference,40.01145362854004,0,True,positive_same_contract_teacher_delta,58d3ffb1c370a9fcf9e05ad56743c226a7a04da29bad114723beb2d828cb8f36,61fff66a9253d2d404d4d27617dc636c8cf64a2c53d1d0ed9fb9dfe9601ee853,d881850d4562d15d6dcd658b15883a70e26192b0cc4907401a83ca0b867946af,57d2a5afb953cfc3bdc5ad37f44adc40dab1df9754c110ab6a20419308312137,False
1036_0.69_1.69,1036_0.69_1.69.png,full_image,39,val_hard,full_image_same_context_a0p5,0.5,30.818397521972656,36.09075164794922,5.2723541259765625,hard,not_easy_top25,not_strong_reference,40.01145362854004,1,True,positive_same_contract_teacher_delta,4d024bf0ed76ead8493e6ff7ad46ccd6c790f4402d3790b39daaa4d2dcd5f18b,61fff66a9253d2d404d4d27617dc636c8cf64a2c53d1d0ed9fb9dfe9601ee853,2020ee117638e6940388c0386ef3a5fc4e5aaf78f2f3f3cc8590a570335f67cc,bccdf84d9f9dd48d92500ec0e2515047671c98082d8d83773e69d92faa6a7f6e,False
