image_id,image_name,fold_id,hardness_bucket,strong_reference_bucket,eligible,mask_reason
1002_0.73_1.47,1002_0.73_1.47.png,0,hard,not_strong_reference,True,positive_same_contract_teacher_delta
1012_0.85_1.28,1012_0.85_1.28.png,1,mid,not_strong_reference,True,positive_same_contract_teacher_delta
1016_0.8_1.72,1016_0.8_1.72.png,2,mid,not_strong_reference,True,positive_same_contract_teacher_delta
101_0.78_1.87,101_0.78_1.87.png,3,hard,not_strong_reference,True,positive_same_contract_teacher_delta
1023_0.5_1.87,1023_0.5_1.87.png,4,mid,not_strong_reference,True,positive_same_contract_teacher_delta
1024_0.69_1.66,1024_0.69_1.66.png,0,mid,not_strong_reference,True,positive_same_contract_teacher_delta
1028_0.97_1.41,1028_0.97_1.41.png,1,mid,not_strong_reference,True,positive_same_contract_teacher_delta
102_0.94_1.18,102_0.94_1.18.png,2,hard,not_strong_reference,True,positive_same_contract_teacher_delta
1031_0.76_0.7,1031_0.76_0.7.png,3,easy,strong_reference,True,positive_same_contract_teacher_delta
1033_0.52_1.2,1033_0.52_1.2.png,4,mid,not_strong_reference,True,positive_same_contract_teacher_delta
1035_0.76_1.14,1035_0.76_1.14.png,0,hard,not_strong_reference,True,positive_same_contract_teacher_delta
1036_0.69_1.69,1036_0.69_1.69.png,1,hard,not_strong_reference,True,positive_same_contract_teacher_delta
1037_0.89_0.54,1037_0.89_0.54.png,2,mid,not_strong_reference,True,positive_same_contract_teacher_delta
1038_0.87_1.29,1038_0.87_1.29.png,3,hard,not_strong_reference,True,positive_same_contract_teacher_delta
1039_0.79_1.79,1039_0.79_1.79.png,4,hard,not_strong_reference,True,positive_same_contract_teacher_delta
1045_0.58_1.58,1045_0.58_1.58.png,0,hard,not_strong_reference,True,positive_same_contract_teacher_delta
1056_0.85_1.39,1056_0.85_1.39.png,1,mid,not_strong_reference,True,positive_same_contract_teacher_delta
105_0.74_1.06,105_0.74_1.06.png,2,mid,not_strong_reference,True,positive_same_contract_teacher_delta
1063_0.51_1.61,1063_0.51_1.61.png,3,mid,not_strong_reference,True,positive_same_contract_teacher_delta
1069_0.66_1.4,1069_0.66_1.4.png,4,mid,not_strong_reference,True,positive_same_contract_teacher_delta
106_0.91_1.85,106_0.91_1.85.png,0,hard,not_strong_reference,True,positive_same_contract_teacher_delta
1074_0.59_1.24,1074_0.59_1.24.png,1,mid,not_strong_reference,True,positive_same_contract_teacher_delta
1075_0.76_1.99,1075_0.76_1.99.png,2,hard,not_strong_reference,True,positive_same_contract_teacher_delta
1076_0.71_1.18,1076_0.71_1.18.png,3,mid,not_strong_reference,True,positive_same_contract_teacher_delta
1080_0.59_1.22,1080_0.59_1.22.png,4,easy,strong_reference,True,positive_same_contract_teacher_delta
1083_0.67_0.81,1083_0.67_0.81.png,0,mid,not_strong_reference,True,positive_same_contract_teacher_delta
1084_0.81_1.75,1084_0.81_1.75.png,1,hard,not_strong_reference,True,positive_same_contract_teacher_delta
1085_0.71_1.3,1085_0.71_1.3.png,2,easy,strong_reference,True,positive_same_contract_teacher_delta
1087_0.68_1.22,1087_0.68_1.22.png,3,easy,strong_reference,True,positive_same_contract_teacher_delta
1092_0.84_1.93,1092_0.84_1.93.png,4,hard,not_strong_reference,True,positive_same_contract_teacher_delta
1094_0.77_1.07,1094_0.77_1.07.png,0,mid,not_strong_reference,True,positive_same_contract_teacher_delta
1096_0.72_0.86,1096_0.72_0.86.png,1,mid,not_strong_reference,True,positive_same_contract_teacher_delta
1098_0.8_0.51,1098_0.8_0.51.png,2,hard,not_strong_reference,True,positive_same_contract_teacher_delta
1100_0.58_1.95,1100_0.58_1.95.png,3,hard,not_strong_reference,True,positive_same_contract_teacher_delta
1101_0.77_1.17,1101_0.77_1.17.png,4,hard,not_strong_reference,True,positive_same_contract_teacher_delta
1102_0.65_0.94,1102_0.65_0.94.png,0,hard,not_strong_reference,True,positive_same_contract_teacher_delta
1103_0.88_1.95,1103_0.88_1.95.png,1,hard,not_strong_reference,True,positive_same_contract_teacher_delta
1108_0.58_1.2,1108_0.58_1.2.png,2,mid,not_strong_reference,True,positive_same_contract_teacher_delta
