field,paired_image_count,pearson_ref_rep
candidate_sse_0p125,32,0.9999988896867386
candidate_sse_0p25,32,0.9999955294815758
candidate_sse_0p5,32,0.999981949695528
candidate_sse_1,32,0.9999275089442399
fixed_psnr_delta,32,0.9970138426545726
