operator_label,fold,gain_0125_to_025_block_count,gain_0125_to_025_beneficial_block_count,gain_0125_to_025_harmful_block_count,gain_0125_to_025_net_sse,gain_0125_to_025_beneficial_sse,gain_0125_to_025_harmful_sse,gain_0125_to_025_harmful_to_beneficial,gain_025_to_05_block_count,gain_025_to_05_beneficial_block_count,gain_025_to_05_harmful_block_count,gain_025_to_05_net_sse,gain_025_to_05_beneficial_sse,gain_025_to_05_harmful_sse,gain_025_to_05_harmful_to_beneficial,gain_05_to_10_block_count,gain_05_to_10_beneficial_block_count,gain_05_to_10_harmful_block_count,gain_05_to_10_net_sse,gain_05_to_10_beneficial_sse,gain_05_to_10_harmful_sse,gain_05_to_10_harmful_to_beneficial
D_ref,0,3750,1530,765,10.909033320378512,15.544350564014167,4.6353172436356544,0.2981994792607554,3750,1470,825,19.19530752976425,29.304534105584025,10.109226575819775,0.34497141430047323,3750,1349,946,27.905308056855574,51.88758497918025,23.982276922324672,0.4621968228420632
D_ref,1,3125,881,1151,-1.738796504578204,3.8288755463290727,5.567672050907277,1.4541271930985775,3125,784,1248,-5.392939628654858,6.875192400068045,12.268132028722903,1.7844056303939193,3125,620,1412,-18.436542595736682,11.098729781573638,29.53527237731032,2.6611398744336894
D_ref,2,4375,2597,910,17.46613530209288,22.847127648768947,5.3809923466760665,0.23552161258073973,4375,2472,1035,30.921768840169534,42.64090594998561,11.719137109816074,0.27483321117899534,4375,2195,1312,45.809451133944094,73.95573322288692,28.146282088942826,0.38058282789403075
D_ref,3,4375,1931,870,9.37333290814422,13.588233087444678,4.214900179300457,0.3101875094558807,4375,1840,961,16.272081807255745,25.472527193371207,9.200445386115462,0.3611909142846934,4375,1674,1127,22.65186098124832,44.61811406351626,21.96625308226794,0.49231693323025283
D_ref,4,4375,2238,1278,13.333085118385497,19.792987674474716,6.459902556089219,0.3263732925181371,4375,2114,1402,22.910638300993014,37.16684005991556,14.256201758922543,0.3835731457379897,4375,1866,1650,30.80655624519568,65.33027859544381,34.523722350248136,0.5284490299518767
D_rep,0,3750,1536,759,10.472101428778842,15.046794173074886,4.574692744296044,0.30403105749144327,3750,1477,818,18.379091881215572,28.351841759635136,9.972749878419563,0.3517496310457647,3750,1341,954,26.503002300392836,50.15437010396272,23.651367803569883,0.4715714254718788
D_rep,1,3125,857,1175,-1.7662511265953071,3.8877883915556595,5.654039518150967,1.4543074233236648,3125,773,1259,-5.415669753347174,7.0131317607010715,12.428801514048246,1.7722184522034126,3125,617,1415,-18.353451427872642,11.418420454021543,29.771871881894185,2.6073546688682843
D_rep,2,4375,2626,881,17.58392396522686,23.049389533000067,5.465465567773208,0.23711975364676102,4375,2506,1001,31.096713239792734,42.98971014772542,11.892996907932684,0.2766475248859509,4375,2240,1267,45.91719040158205,74.44831143412739,28.531121032545343,0.3832339576672597
D_rep,3,4375,1923,878,9.36643325141631,13.534727866062894,4.168294614646584,0.30797033053750605,4375,1829,972,16.24275296763517,25.34744245838374,9.10468949074857,0.35919558770858034,4375,1664,1137,22.530274291988462,44.31651220610365,21.78623791411519,0.4916054271778771
D_rep,4,4375,2231,1285,13.106721496093087,18.691022254992276,5.5843007588991895,0.29876914610208927,4375,2077,1439,22.52939295989927,35.02497380506247,12.495580845163204,0.35676203256309375,4375,1779,1737,30.331112865009345,61.37083847285248,31.03972560784314,0.5057732040205647
