stratum,source_groups,nested_variants,overshoot_group_count,overshoot_group_rate,global_competence_count,global_competence_rate,high_overshoot_fraction_mean,high_overshoot_fraction_median,high_alpha_mean,high_alpha_median,low_alpha_median,high_projected_overshoot_mean,input_psnr_median,output_psnr_median,output_ssim_median
all,492,500,139,0.28252032520325204,492,1.0,0.17867526097423644,0.06521739130434782,1.0073599843740835,0.9961719021696214,0.9743635329017991,0.00619036812279694,15.843169971385649,37.930221602040106,0.9950728118419647
variant_count_1,484,484,138,0.28512396694214875,484,1.0,0.18042218523221099,0.06521739130434782,1.0074342685900954,0.9959806239032902,0.9743635329017991,0.006225423995661671,15.88434001384653,37.916733429221395,0.9950801432132721
variant_count_2,8,16,1,0.125,8,1.0,0.07298634336677814,0.052814938684503904,1.002865789305366,1.001876159794523,0.9747411228486342,0.004069487814480764,13.975425980204944,38.793779544036724,0.9934194982051849
