metric,count,mean,stdev,ci95_half_width,min,max
regular_mean_psnr_delta,3,-1.0590898174709744,0.008219285146700376,0.00930099672430776,-1.0677215321858724,-1.0513568305969239
regular_easy_top25_psnr_delta,3,-1.1412541707356771,0.07831103891626764,0.08861728282169971,-1.2256764729817708,-1.0709845987955728
regular_mean_ssim_delta,3,-0.0012505776352352567,6.303187753771041e-05,7.132728406929228e-05,-0.0013021363814671833,-0.0011803090572357177
regular_worst_count_delta_le_-0p20,3,240.33333333333334,3.0550504633038935,3.457115046457732,237.0,243.0
regular_strong_regression_ratio,3,0.8933333333333333,0.013333333333333308,0.015088087034822192,0.88,0.9066666666666666
hard_mean_psnr_delta,3,-0.6417508082919651,0.034116594684221284,0.03860656124454629,-0.6769741439819336,-0.6088607406616211
hard_hard_bottom25_psnr_delta,3,-0.6730784691704644,0.057120065009308746,0.06463743842213653,-0.739034907023112,-0.6399859873453776
hard_mean_ssim_delta,3,-0.0013738319608900282,7.764753498370112e-05,8.786645744051142e-05,-0.0014367306232452393,-0.0012870476643244426
hard_worst_count_delta_le_-0p20,3,207.66666666666666,4.509249752822894,5.102696454925681,203.0,212.0
hard_strong_regression_ratio,3,0.6933333333333334,0.026666666666666672,0.030176174069644447,0.6666666666666666,0.72
