rank,name,bucket,categories,original_psnr,candidate_psnr,delta_psnr,panel_included,sample_dir
26,169_0.77_1.51.png,hard_bottom_25pct,hard_gain,28.350719451904297,28.38237762451172,0.031658172607421875,0,samples/26_169_0.77_1.51
22,170_0.96_1.28.png,hard_bottom_25pct,hard_gain,28.867084503173828,28.903505325317383,0.03642082214355469,0,samples/22_170_0.96_1.28
24,172_0.86_1.47.png,hard_bottom_25pct,hard_gain,28.271846771240234,28.305322647094727,0.03347587585449219,0,samples/24_172_0.86_1.47
27,177_0.65_1.52.png,hard_bottom_25pct,hard_gain,29.186059951782227,29.21680450439453,0.030744552612304688,0,samples/27_177_0.65_1.52
4,218_0.53_1.18.png,medium_middle_50pct,worst_regression_top10|medium_ordinary_regression,32.64994812011719,32.55211639404297,-0.09783172607421875,1,samples/04_218_0.53_1.18
3,219_0.62_1.27.png,medium_middle_50pct,worst_regression_top10|medium_ordinary_regression,33.99677658081055,33.889984130859375,-0.10679244995117188,1,samples/03_219_0.62_1.27
7,220_0.68_1.35.png,medium_middle_50pct,worst_regression_top10|medium_ordinary_regression,34.235313415527344,34.17576217651367,-0.059551239013671875,1,samples/07_220_0.68_1.35
8,224_0.7_1.92.png,medium_middle_50pct,worst_regression_top10|medium_ordinary_regression,32.940879821777344,32.88279724121094,-0.05808258056640625,1,samples/08_224_0.7_1.92
25,242_0.62_1.18.png,hard_bottom_25pct,hard_gain,27.618785858154297,27.650550842285156,0.031764984130859375,0,samples/25_242_0.62_1.18
28,243_0.7_1.66.png,hard_bottom_25pct,hard_gain,26.531673431396484,26.561954498291016,0.03028106689453125,0,samples/28_243_0.7_1.66
21,244_0.67_1.65.png,hard_bottom_25pct,hard_gain,26.77509307861328,26.81165885925293,0.03656578063964844,0,samples/21_244_0.67_1.65
9,437_0.96_1.74.png,medium_middle_50pct,worst_regression_top10|medium_ordinary_regression,33.48017120361328,33.42903518676758,-0.051136016845703125,1,samples/09_437_0.96_1.74
10,457_0.61_0.57.png,medium_middle_50pct,worst_regression_top10,31.364608764648438,31.314895629882812,-0.049713134765625,1,samples/10_457_0.61_0.57
12,507_0.66_0.7.png,easy_top_25pct,best_gain_top10,40.15583419799805,41.076568603515625,0.9207344055175781,1,samples/12_507_0.66_0.7
11,508_0.72_1.04.png,hard_bottom_25pct,best_gain_top10|hard_gain,27.60898208618164,36.381690979003906,8.772708892822266,1,samples/11_508_0.72_1.04
36,525_0.74_1.31.png,easy_top_25pct,easy_preserved,41.702110290527344,41.70148468017578,-0.0006256103515625,0,samples/36_525_0.74_1.31
34,538_0.61_1.35.png,easy_top_25pct,easy_preserved,39.11675262451172,39.117225646972656,0.0004730224609375,0,samples/34_538_0.61_1.35
16,542_0.78_0.72.png,easy_top_25pct,best_gain_top10,42.88180923461914,42.94541931152344,0.06361007690429688,1,samples/16_542_0.78_0.72
33,591_0.6_1.21.png,easy_top_25pct,easy_preserved,44.799800872802734,44.79937744140625,-0.000423431396484375,0,samples/33_591_0.6_1.21
35,592_0.66_1.53.png,easy_top_25pct,easy_preserved,42.623451232910156,42.624053955078125,0.00060272216796875,0,samples/35_592_0.66_1.53
2,648_0.94_1.95.png,hard_bottom_25pct,worst_regression_top10|hard_regression,26.385908126831055,26.266422271728516,-0.11948585510253906,1,samples/02_648_0.94_1.95
29,693_0.8_1.0.png,easy_top_25pct,easy_preserved,42.01749801635742,42.01744079589844,-5.7220458984375e-05,0,samples/29_693_0.8_1.0
37,704_0.99_1.12.png,easy_top_25pct,easy_preserved,42.87042236328125,42.86968994140625,-0.000732421875,0,samples/37_704_0.99_1.12
1,720_0.96_1.96.png,hard_bottom_25pct,worst_regression_top10|hard_regression,24.57550048828125,24.43783187866211,-0.13766860961914062,1,samples/01_720_0.96_1.96
14,729_0.93_1.82.png,hard_bottom_25pct,best_gain_top10|hard_gain,29.587696075439453,29.663345336914062,0.07564926147460938,1,samples/14_729_0.93_1.82
23,731_0.77_1.95.png,hard_bottom_25pct,hard_gain,29.126251220703125,29.160072326660156,0.03382110595703125,0,samples/23_731_0.77_1.95
15,741_0.56_1.58.png,easy_top_25pct,best_gain_top10,39.86130142211914,39.93553924560547,0.07423782348632812,1,samples/15_741_0.56_1.58
32,747_0.72_0.64.png,easy_top_25pct,easy_preserved,40.08518981933594,40.085594177246094,0.00040435791015625,0,samples/32_747_0.72_0.64
5,757_0.64_1.31.png,medium_middle_50pct,worst_regression_top10|medium_ordinary_regression,33.974082946777344,33.9062614440918,-0.06782150268554688,1,samples/05_757_0.64_1.31
6,758_0.61_0.98.png,medium_middle_50pct,worst_regression_top10|medium_ordinary_regression,36.635711669921875,36.57451629638672,-0.06119537353515625,1,samples/06_758_0.61_0.98
30,843_0.54_1.62.png,easy_top_25pct,easy_preserved,42.358009338378906,42.35837936401367,0.000370025634765625,0,samples/30_843_0.54_1.62
18,851_0.77_1.87.png,medium_middle_50pct,best_gain_top10,37.2901611328125,37.34585189819336,0.055690765380859375,1,samples/18_851_0.77_1.87
