target,threshold,feature_count,count,positive,positive_rate,roc_auc,pr_auc,ece,status,group,target_kind
benefit_label,0.05,7,2400,2266,0.9441666666666667,0.7709093543755187,0.9824303464738552,0.3271267749417233,ok,hazy_runtime,benefit
benefit_label,0.05,35,2400,2266,0.9441666666666667,0.8022388059701493,0.9849164743251124,0.3111114235736163,ok,internal_only,benefit
benefit_label,0.05,42,2400,2266,0.9441666666666667,0.8118981438790163,0.9860006349529551,0.29791995599738197,ok,all_runtime,benefit
benefit_label,0.05,43,2400,2266,0.9441666666666667,0.811809223959637,0.9859823554488765,0.29818079538674713,ok,all_with_leak,benefit
benefit_label,0.1,7,2400,2249,0.9370833333333334,0.7761742525743598,0.9807674647123198,0.3209325571856228,ok,hazy_runtime,benefit
benefit_label,0.1,35,2400,2249,0.9370833333333334,0.8018780974031137,0.9829891854544418,0.3045233949966265,ok,internal_only,benefit
benefit_label,0.1,42,2400,2249,0.9370833333333334,0.812361049355269,0.9844417188086867,0.29209458515288256,ok,all_runtime,benefit
benefit_label,0.1,43,2400,2249,0.9370833333333334,0.8121608131943852,0.9844285795094091,0.2923015360290098,ok,all_with_leak,benefit
benefit_label,0.2,7,2400,2209,0.9204166666666667,0.7766158907278411,0.9759424817458272,0.31094121739683167,ok,hazy_runtime,benefit
benefit_label,0.2,35,2400,2209,0.9204166666666667,0.7898151066910948,0.9773250404335329,0.3007210694292644,ok,internal_only,benefit
benefit_label,0.2,42,2400,2209,0.9204166666666667,0.800637089109521,0.9791391072318686,0.28945322597658424,ok,all_runtime,benefit
benefit_label,0.2,43,2400,2209,0.9204166666666667,0.8007058226816047,0.9791561414771136,0.2892962406178783,ok,all_with_leak,benefit
severe_risk_label,-0.1,7,2400,87,0.03625,0.7889440493760902,0.1418943117659953,0.3305004625146977,ok,hazy_runtime,severe_risk
severe_risk_label,-0.1,35,2400,87,0.03625,0.8172150414200595,0.14983700416088402,0.30247879043091186,ok,internal_only,severe_risk
severe_risk_label,-0.1,42,2400,87,0.03625,0.8219409534316283,0.1552058440244239,0.2918859477569319,ok,all_runtime,severe_risk
severe_risk_label,-0.1,43,2400,87,0.03625,0.8217322380746506,0.15371276171781414,0.2916477205671134,ok,all_with_leak,severe_risk
severe_risk_label,-0.2,7,2400,67,0.027916666666666666,0.798088426278381,0.14962142947450247,0.32951341770813214,ok,hazy_runtime,severe_risk
severe_risk_label,-0.2,35,2400,67,0.027916666666666666,0.8196160219050482,0.13246212274441635,0.29621141796806244,ok,internal_only,severe_risk
severe_risk_label,-0.2,42,2400,67,0.027916666666666666,0.8262374369046325,0.13534836559274255,0.2852954917097021,ok,all_runtime,severe_risk
severe_risk_label,-0.2,43,2400,67,0.027916666666666666,0.8248939613974704,0.1357430246327711,0.28510401027620474,ok,all_with_leak,severe_risk
severe_risk_label,-0.3,7,2400,53,0.022083333333333333,0.8165301348168276,0.19207433029600512,0.31974607589755,ok,hazy_runtime,severe_risk
severe_risk_label,-0.3,35,2400,53,0.022083333333333333,0.847087007902501,0.1432205181956534,0.2727548449190357,ok,internal_only,severe_risk
severe_risk_label,-0.3,42,2400,53,0.022083333333333333,0.8531967746862715,0.15102879122722396,0.26313992568952216,ok,all_runtime,severe_risk
severe_risk_label,-0.3,43,2400,53,0.022083333333333333,0.8514201188188856,0.15029588328194082,0.2630879136216584,ok,all_with_leak,severe_risk
