target,threshold,feature_count,count,positive,positive_rate,roc_auc,pr_auc,ece,status,group
benefit_label,0.05,7,2400,2266,0.9441666666666667,0.7709093543755187,0.9824303464738552,0.3271267749417233,ok,hazy_runtime
benefit_label,0.05,7,2400,2266,0.9441666666666667,0.7213644926295267,0.9759770800461356,0.3856996023297171,ok,internal_final
benefit_label,0.05,14,2400,2266,0.9441666666666667,0.7750424839614812,0.9827005514903325,0.33836622294796215,ok,internal_res
benefit_label,0.05,14,2400,2266,0.9441666666666667,0.7420235538986445,0.9799227710852949,0.3531928400444796,ok,internal_scm
benefit_label,0.05,35,2400,2266,0.9441666666666667,0.8022388059701493,0.9849164743251124,0.3111114235736163,ok,internal_only
benefit_label,0.05,42,2400,2266,0.9441666666666667,0.8118981438790163,0.9860006349529551,0.29791995599738197,ok,all_runtime
severe_risk_label,-0.2,7,2400,67,0.027916666666666666,0.798088426278381,0.14962142947450247,0.32951341770813214,ok,hazy_runtime
severe_risk_label,-0.2,7,2400,67,0.027916666666666666,0.737670413470581,0.06640127359697047,0.38914503221015395,ok,internal_final
severe_risk_label,-0.2,14,2400,67,0.027916666666666666,0.793283901964673,0.13217764644485064,0.33913574762561083,ok,internal_res
severe_risk_label,-0.2,14,2400,67,0.027916666666666666,0.7603367645271286,0.10510670835235103,0.3504368740017686,ok,internal_scm
severe_risk_label,-0.2,35,2400,67,0.027916666666666666,0.8196160219050482,0.13246212274441635,0.29621141796806244,ok,internal_only
severe_risk_label,-0.2,42,2400,67,0.027916666666666666,0.8262374369046325,0.13534836559274255,0.2852954917097021,ok,all_runtime
