mapper,K,scale,split,gate_pass,primary_feature,primary_direction,primary_threshold,secondary_feature,secondary_direction,secondary_threshold,count,open_count,keep_count,open_keep_count,coverage,initial_weighted_delta_l1,projection_weighted_delta_l1,weighted_delta_l1_drop,mean_gain,mean_oracle_gain,oracle_recovery,hard_bottom25_gain,hard_bottom25_oracle_gain,easy_top25_gain,strong_reference_cut_psnr,strong_regressions,severe_regressions,strong_rate
spatial_priors_ridge_10,16,1.0,oof,False,weighted_residual_norm,high,0.009209620478734751,nn_distance,low,11.12091464996338,3000,1324,263,263,0.08766666666666667,0.01268015515423027,0.01089821373016986,0.1405299385052027,0.07915817133585612,0.45287682723999023,0.17478962617336197,0.2527054189046224,1.1043257853190105,0.0,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,1.0,oof,False,weighted_residual_norm,high,0.009209620478734751,confidence_proxy,high,0.08250202940591377,3000,1324,263,263,0.08766666666666667,0.01268015515423027,0.01089821373016986,0.1405299385052027,0.07915817133585612,0.45287682723999023,0.17478962617336197,0.2527054189046224,1.1043257853190105,0.0,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,1.0,oof,False,nn_distance,low,11.12091464996338,weighted_residual_norm,high,0.009209620478734751,3000,1324,263,263,0.08766666666666667,0.01268015515423027,0.01089821373016986,0.1405299385052027,0.07915817133585612,0.45287682723999023,0.17478962617336197,0.2527054189046224,1.1043257853190105,0.0,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,1.0,oof,False,pred_abs_mean,high,0.00955150630325079,nn_distance,low,11.12091464996338,3000,1324,236,236,0.07866666666666666,0.01268015515423027,0.010960948607828074,0.13558245348667086,0.07588561948140463,0.45287682723999023,0.1675634850735938,0.24280942026774088,1.1043257853190105,0.0,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,1.0,oof,False,pred_abs_mean,high,0.00955150630325079,confidence_proxy,high,0.08250202940591377,3000,1324,236,236,0.07866666666666666,0.01268015515423027,0.010960948607828074,0.13558245348667086,0.07588561948140463,0.45287682723999023,0.1675634850735938,0.24280942026774088,1.1043257853190105,0.0,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,1.0,oof,False,nn_distance,low,11.12091464996338,pred_abs_mean,high,0.00955150630325079,3000,1324,236,236,0.07866666666666666,0.01268015515423027,0.010960948607828074,0.13558245348667086,0.07588561948140463,0.45287682723999023,0.1675634850735938,0.24280942026774088,1.1043257853190105,0.0,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,1.0,oof,False,pred_low_energy,high,0.00012765395804308356,nn_distance,low,11.12091464996338,3000,1324,234,234,0.078,0.01268015515423027,0.010983165321383423,0.1338303681781613,0.07393078358968098,0.45287682723999023,0.16324700038251969,0.24217554219563803,1.1043257853190105,0.0,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,1.0,oof,False,pred_low_energy,high,0.00012765395804308356,confidence_proxy,high,0.08250202940591377,3000,1324,234,234,0.078,0.01268015515423027,0.010983165321383423,0.1338303681781613,0.07393078358968098,0.45287682723999023,0.16324700038251969,0.24217554219563803,1.1043257853190105,0.0,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,1.0,oof,False,nn_distance,low,11.12091464996338,pred_low_energy,high,0.00012765395804308356,3000,1324,234,234,0.078,0.01268015515423027,0.010983165321383423,0.1338303681781613,0.07393078358968098,0.45287682723999023,0.16324700038251969,0.24217554219563803,1.1043257853190105,0.0,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,0.75,oof,False,pred_low_energy,high,6.302919427980669e-05,proxy_score,low,0.9999998807907104,3000,1324,1391,537,0.46366666666666667,0.01268015515423027,0.011067845708373237,0.12715218593513383,0.069591828028361,0.45287682723999023,0.15366612695218038,0.19743909454345704,1.1043257853190105,0.000626495361328125,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,1.0,oof,False,weighted_residual_norm,high,0.009209620478734751,nn_distance,low,7.370157051086426,3000,1324,188,188,0.06266666666666666,0.01268015515423027,0.01128199590383099,0.11026357591001829,0.06133854230244955,0.45287682723999023,0.13544199794074424,0.19695796457926432,1.1043257853190105,0.0,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,1.0,oof,False,weighted_residual_norm,high,0.009209620478734751,confidence_proxy,high,0.11947209678543882,3000,1324,188,188,0.06266666666666666,0.01268015515423027,0.01128199590383099,0.11026357591001829,0.06133854230244955,0.45287682723999023,0.13544199794074424,0.19695796457926432,1.1043257853190105,0.0,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,1.0,oof,False,nn_distance,low,7.370157051086426,weighted_residual_norm,high,0.009209620478734751,3000,1324,188,188,0.06266666666666666,0.01268015515423027,0.01128199590383099,0.11026357591001829,0.06133854230244955,0.45287682723999023,0.13544199794074424,0.19695796457926432,1.1043257853190105,0.0,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,0.75,oof,False,pred_abs_mean,high,0.00654232781380415,proxy_score,low,0.9999998807907104,3000,1324,1394,536,0.4646666666666667,0.01268015515423027,0.011065521286542201,0.12733549771663516,0.06822013155619304,0.45287682723999023,0.15063727586141554,0.19585965220133464,1.1043257853190105,0.000626495361328125,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,0.75,oof,False,weighted_residual_norm,high,0.0050531714778044735,proxy_score,low,0.9999998807907104,3000,1324,498,498,0.166,0.01268015515423027,0.01109767756716229,0.12479954447087693,0.06627278772989909,0.45287682723999023,0.14633733444431582,0.19105075073242186,1.1043257853190105,0.000626495361328125,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,1.0,oof,False,pred_abs_mean,high,0.00955150630325079,nn_distance,low,7.370157051086426,3000,1324,171,171,0.057,0.01268015515423027,0.011333028986370204,0.10623893410410247,0.059061714172363285,0.45287682723999023,0.130414520284265,0.1895647989908854,1.1043257853190105,0.0,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,1.0,oof,False,pred_abs_mean,high,0.00955150630325079,confidence_proxy,high,0.11947209678543882,3000,1324,171,171,0.057,0.01268015515423027,0.011333028986370204,0.10623893410410247,0.059061714172363285,0.45287682723999023,0.130414520284265,0.1895647989908854,1.1043257853190105,0.0,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,1.0,oof,False,nn_distance,low,7.370157051086426,pred_abs_mean,high,0.00955150630325079,3000,1324,171,171,0.057,0.01268015515423027,0.011333028986370204,0.10623893410410247,0.059061714172363285,0.45287682723999023,0.130414520284265,0.1895647989908854,1.1043257853190105,0.0,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,0.75,oof,False,weighted_residual_norm,high,0.0069072153590510645,nn_distance,low,11.12091464996338,3000,1324,263,263,0.08766666666666667,0.01268015515423027,0.011059253640271294,0.12782978553840652,0.05963917795817057,0.45287682723999023,0.13168962148413557,0.18857511393229168,1.1043257853190105,0.0,42.756771087646484,0,0,0.0
