mapper,K,scale,split,gate_pass,primary_feature,primary_direction,primary_threshold,secondary_feature,secondary_direction,secondary_threshold,count,open_count,keep_count,open_keep_count,coverage,initial_weighted_delta_l1,projection_weighted_delta_l1,weighted_delta_l1_drop,mean_gain,mean_oracle_gain,oracle_recovery,hard_bottom25_gain,hard_bottom25_oracle_gain,easy_top25_gain,strong_reference_cut_psnr,strong_regressions,severe_regressions,strong_rate
spatial_priors_ridge_10,16,1.0,oof,False,weighted_residual_norm,high,0.009209620478734751,nn_distance,low,11.12091464996338,3000,1324,263,263,0.08766666666666667,0.01268015515423027,0.01089821373016986,0.1405299385052027,0.07915817133585612,0.45287682723999023,0.17478962617336197,0.2527054189046224,1.1043257853190105,0.0,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,0.75,oof,False,pred_low_energy,high,6.302919427980669e-05,proxy_score,low,0.9999998807907104,3000,1324,1391,537,0.46366666666666667,0.01268015515423027,0.011067845708373237,0.12715218593513383,0.069591828028361,0.45287682723999023,0.15366612695218038,0.19743909454345704,1.1043257853190105,0.000626495361328125,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,0.5,oof,False,pred_low_energy,high,6.302919427980669e-05,proxy_score,low,0.9999998807907104,3000,1324,1391,537,0.46366666666666667,0.01268015515423027,0.011419055717793987,0.09945457457715438,0.046553012847900394,0.45287682723999023,0.10279398292823412,0.13097816975911458,1.1043257853190105,0.0004417572021484375,42.756771087646484,0,0,0.0
spatial_priors_ridge_10,16,0.25,oof,False,pred_abs_mean,high,0.002574877217411995,weighted_residual_norm,high,0.001684390492601491,3000,1324,600,600,0.2,0.01268015515423027,0.011725552938314602,0.07528316525347876,0.02958838208516439,0.45287682723999023,0.06533428143252028,0.08738873036702474,1.1043257853190105,0.00023247782389322917,42.756771087646484,0,0,0.0
global_mean_coeff,16,0.75,oof,False,pred_abs_mean,high,0.00493799801915884,proxy_score,low,0.9999991655349731,3000,1324,2701,1025,0.9003333333333333,0.01268015515423027,0.012226220473578624,0.035798826996230174,0.022541770935058592,0.45287682723999023,0.04977461768674945,0.046961771647135414,1.1043257853190105,0.0011968536376953125,42.756771087646484,1,0,0.0003333333333333333
global_mean_coeff,16,0.5,oof,False,pred_abs_mean,high,0.00493799801915884,nn_distance,high,3.196115255355835,3000,1324,2400,724,0.8,0.01268015515423027,0.012329800970048254,0.027630118079835397,0.012402189254760743,0.45287682723999023,0.027385347425136694,0.031964113871256514,1.1043257853190105,0.00034079488118489583,42.756771087646484,0,0,0.0
global_mean_coeff,16,0.25,oof,False,pred_abs_mean,high,0.00493799801915884,,,,3000,1324,3000,1324,1.0,0.01268015515423027,0.012273205333660263,0.032093441730028226,0.013004590352376302,0.45287682723999023,0.028715512850660516,0.031569371541341144,1.1043257853190105,0.0004392140706380208,42.756771087646484,1,0,0.0003333333333333333
global_mean_coeff,16,1.0,oof,False,nn_distance,low,1.3706193387508394,proxy_score,high,0.9979919195175171,3000,1324,143,143,0.04766666666666667,0.01268015515423027,0.012519685048774222,0.012655216241775465,0.007919925689697266,0.45287682723999023,0.017488034744379422,0.018206634521484376,1.1043257853190105,0.0002133026123046875,42.756771087646484,0,0,0.0
