split,score_key,bin,order,count,coverage_start_frac,coverage_end_frac,score_min,score_max,bad_rate,mean_gain,hard_bottom25_frac,easy_top25_frac
oof,pred_abs_mean,1,descending_confidence,2400,0.0,0.1,0.009552362374961376,0.02651587314903736,0.008333333333333333,0.2538674672444661,0.3616666666666667,0.32166666666666666
oof,pred_abs_mean,2,descending_confidence,2400,0.1,0.2,0.007267954293638468,0.009551292285323143,0.020833333333333332,0.08371253887812297,0.275,0.27
oof,pred_abs_mean,3,descending_confidence,2400,0.2,0.3,0.005910458508878946,0.007267533801496029,0.025416666666666667,0.0589830748240153,0.2783333333333333,0.19166666666666668
oof,pred_abs_mean,4,descending_confidence,2400,0.3,0.4,0.005155551712960005,0.005908892955631018,0.017083333333333332,0.03442968448003133,0.155,0.285
oof,pred_abs_mean,5,descending_confidence,2400,0.4,0.5,0.00505960825830698,0.005155551712960005,0.05875,0.03512001355489095,0.27,0.195
oof,pred_abs_mean,6,descending_confidence,2400,0.5,0.6,0.004986525047570467,0.00505960825830698,0.043333333333333335,0.033750605583190915,0.26,0.24333333333333335
oof,pred_abs_mean,7,descending_confidence,2400,0.6,0.7,0.00498329708352685,0.004986525047570467,0.04041666666666666,0.02918842315673828,0.24833333333333332,0.27666666666666667
oof,pred_abs_mean,8,descending_confidence,2400,0.7,0.8,0.004939673002809286,0.00498329708352685,0.04666666666666667,0.030230366388956705,0.24166666666666667,0.24666666666666667
oof,pred_abs_mean,9,descending_confidence,2400,0.8,0.9,0.004668107256293297,0.004939673002809286,0.03916666666666667,0.041167739232381186,0.28,0.21
oof,pred_abs_mean,10,descending_confidence,2400,0.9,1.0,0.0016336991684511304,0.004666261840611696,0.008333333333333333,0.027676628430684407,0.13,0.26
