name,bucket,original_psnr,candidate_psnr,delta_psnr,original_ssim,candidate_ssim,delta_ssim,gamma_mean,gamma_abs_mean,gamma_std,gamma_min,gamma_max,gamma_abs_gt_0.05,gamma_abs_gt_0.10,gamma_abs_gt_0.09,beta_present,beta_mean,beta_abs_mean,beta_std,beta_min,beta_max,beta_abs_gt_0.02,beta_abs_gt_0.05,beta_abs_gt_0.1
1000_0.73_1.8.png,medium_middle_50pct,24.101058959960938,18.241355895996094,-5.859703063964844,0.9698402881622314,0.9283789992332458,-0.041461288928985596,-0.004642690997570753,0.024681666865944862,0.03173253312706947,-0.09955224394798279,0.09992063790559769,0.1333707720041275,0.0,0.005700073204934597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_0.5_1.76.png,hard_bottom_25pct,16.474328994750977,16.072681427001953,-0.40164756774902344,0.9139453172683716,0.9315704703330994,0.017625153064727783,-0.004640209022909403,0.02279907651245594,0.02830519713461399,-0.0996326133608818,0.09985996037721634,0.08008173853158951,0.0,0.002024272456765175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_0.83_1.44.png,hard_bottom_25pct,17.447486877441406,19.912654876708984,2.465167999267578,0.9196130037307739,0.9586203098297119,0.03900730609893799,-0.005041935946792364,0.024263624101877213,0.03034214675426483,-0.09896492958068848,0.09984787553548813,0.08996148407459259,0.0,0.00470873573794961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_0.67_1.36.png,hard_bottom_25pct,17.962190628051758,19.78186798095703,1.8196773529052734,0.9280794858932495,0.9594612121582031,0.03138172626495361,-0.00504912156611681,0.02512790821492672,0.031092891469597816,-0.09894552081823349,0.09984000772237778,0.09654930979013443,0.0,0.004155808128416538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0.94_0.98.png,hard_bottom_25pct,18.05660057067871,19.79265594482422,1.7360553741455078,0.9312795400619507,0.9623593688011169,0.03107982873916626,-0.005072975065559149,0.026400838047266006,0.03242294862866402,-0.09907900542020798,0.09985693544149399,0.1232314258813858,0.0,0.004142445046454668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0.91_1.41.png,hard_bottom_25pct,17.501113891601562,19.84334373474121,2.3422298431396484,0.917473316192627,0.9571564197540283,0.03968310356140137,-0.005050217732787132,0.024228012189269066,0.030335068702697754,-0.0989403948187828,0.09985329955816269,0.0914718359708786,0.0,0.004818888381123543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105_0.84_0.8.png,medium_middle_50pct,23.104873657226562,20.67304801940918,-2.431825637817383,0.9712384939193726,0.9468796253204346,-0.02435886859893799,-0.004577767103910446,0.03002588264644146,0.03572918474674225,-0.09953540563583374,0.09986545890569687,0.17524312436580658,0.0,0.003338153474032879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106_0.59_1.07.png,medium_middle_50pct,24.745882034301758,20.008319854736328,-4.73756217956543,0.9822303056716919,0.9505391120910645,-0.03169119358062744,-0.004619756247848272,0.027223356068134308,0.0325772650539875,-0.09960079938173294,0.09986833482980728,0.12401694059371948,0.0,0.0026797684840857983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_0.89_1.5.png,hard_bottom_25pct,20.71445083618164,21.038516998291016,0.324066162109375,0.9614100456237793,0.9447106719017029,-0.016699373722076416,-0.004991502035409212,0.026314321905374527,0.03261304646730423,-0.09854396432638168,0.09967323392629623,0.13532721996307373,0.0,0.002404929604381323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108_0.73_1.27.png,medium_middle_50pct,24.073863983154297,20.407726287841797,-3.6661376953125,0.971202552318573,0.9369909167289734,-0.03421163558959961,-0.004699984565377235,0.02785389870405197,0.033592578023672104,-0.099124476313591,0.09968589246273041,0.1418236792087555,0.0,0.002172707114368677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
