rhfd2_delta_abs_mean,rhfd2_delta_abs_max,rhfd2_delta_std,rhfd2_delta_norm,rhfd2_feature_norm,rhfd2_delta_norm_ratio,rhfd1_delta_abs_mean,rhfd1_delta_abs_max,rhfd1_delta_std,rhfd1_delta_norm,rhfd1_feature_norm,rhfd1_delta_norm_ratio,name,model,bucket,categories,original_psnr,candidate_psnr,delta_psnr
0.0014334756415337324,0.011793144047260284,0.0017664595507085323,2.962536096572876,773.8614501953125,0.0038282512920435182,0.0007658710237592459,0.004166275728493929,0.00098367128521204,1.1583845615386963,262.6003723144531,0.004411206851419001,102_0.67_1.36.png,b1,hard_bottom_25pct,hard_regression,24.90088653564453,22.93707847595215,-1.9638080596923828
0.001429696916602552,0.010605938732624054,0.0017645503394305706,2.958739995956421,769.078125,0.003847125408691634,0.000765017350204289,0.00413238350301981,0.0009825488086789846,1.1568996906280518,262.8310546875,0.00440168568361748,103_0.94_0.98.png,b1,hard_bottom_25pct,hard_regression,26.8599796295166,25.119905471801758,-1.7400741577148438
0.0014296789886429906,0.01373505312949419,0.0017563941655680537,2.9467475414276123,741.3982543945312,0.003974581170054274,0.0007670063059777021,0.004090858157724142,0.000985170598141849,1.1603786945343018,283.1843566894531,0.0040976087383485,109_0.74_1.74.png,b1,medium_middle_50pct,best_gain_top10,30.75299072265625,34.20174789428711,3.4487571716308594
0.0014494118513539433,0.015622264705598354,0.0018033154774457216,3.022625207901001,860.7962036132812,0.0035114295290955264,0.0007682418217882514,0.004046845715492964,0.000985705410130322,1.1602836847305298,308.7638854980469,0.0037578348350518777,111_0.98_0.89.png,b1,medium_middle_50pct,best_gain_top10,30.243694305419922,34.713096618652344,4.469402313232422
0.0014309088001027703,0.017294105142354965,0.0018024874152615666,3.017075538635254,973.345458984375,0.0030996965268460627,0.0007729523931629956,0.0040422044694423676,0.0009891631780192256,1.164505958557129,294.508544921875,0.00395406509806376,115_0.52_0.82.png,b1,medium_middle_50pct,worst_regression_top10,35.861305236816406,31.284276962280273,-4.577028274536133
0.0014135654782876372,0.021587543189525604,0.0017855766927823424,2.993438243865967,991.7777709960938,0.0030182550278975316,0.0008581518777646124,0.0047463648952543736,0.001089524826966226,1.2850569486618042,302.2013854980469,0.004252319844741776,121_0.86_1.21.png,b1,hard_bottom_25pct,hard_gain,27.988075256347656,31.374380111694336,3.3863048553466797
0.0013839560560882092,0.01854551210999489,0.0017222133465111256,2.8908817768096924,872.2875366210938,0.003314138578670808,0.0008576289983466268,0.004678219556808472,0.0010912270518019795,1.2880724668502808,320.5426940917969,0.004018411558247536,122_0.94_1.72.png,b1,hard_bottom_25pct,best_gain_top10|hard_gain,27.078401565551758,31.7515869140625,4.673185348510742
0.0013817972503602505,0.012736084870994091,0.001726346556097269,2.8928720951080322,1028.826416015625,0.0028118174748188985,0.0007673078798688948,0.004081446211785078,0.000980693963356316,1.15583074092865,276.24981689453125,0.004184005455359023,13_0.52_1.9.png,b1,hard_bottom_25pct,hard_regression,27.705127716064453,25.509479522705078,-2.195648193359375
0.0015128138475120068,0.022900313138961792,0.001974148442968726,3.2930641174316406,901.8616333007812,0.003651407262308237,0.0007941885851323605,0.0039509679190814495,0.001012518536299467,1.1925605535507202,307.64495849609375,0.0038764183212378644,167_0.53_1.34.png,b1,hard_bottom_25pct,best_gain_top10|hard_gain,28.321744918823242,31.89830780029297,3.5765628814697266
0.0014466175343841314,0.016394255682826042,0.0017830535070970654,2.9963490962982178,719.1467895507812,0.004166533369591906,0.0007819466409273446,0.005007071886211634,0.0010021388297900558,1.1805188655853271,275.4676818847656,0.004285507677373075,184_0.83_0.77.png,b1,hard_bottom_25pct,hard_regression,29.028221130371094,27.16373634338379,-1.8644847869873047
0.001401382265612483,0.013794955797493458,0.0017208467470481992,2.8878748416900635,759.7548828125,0.00380106124622665,0.0007794591365382075,0.004425716120749712,0.0009972397238016129,1.174037218093872,280.8988342285156,0.004179573123962396,211_0.94_0.77.png,b1,medium_middle_50pct,medium_ordinary_regression,32.88129425048828,32.69180679321289,-0.18948745727539062
0.0014142935397103429,0.012679137289524078,0.0017543385038152337,2.936511278152466,867.9843139648438,0.003383138647677686,0.0007822038605809212,0.003953209612518549,0.0010027828393504024,1.180543303489685,291.93804931640625,0.004043814453970667,235_0.9_0.72.png,b1,hard_bottom_25pct,hard_regression,27.16800308227539,24.717830657958984,-2.4501724243164062
0.001452270313166082,0.01689336448907852,0.001793895149603486,3.0130722522735596,936.9674072265625,0.0032157706116932054,0.0007998421206139028,0.004444344900548458,0.0010227346792817116,1.2060822248458862,314.9461669921875,0.0038294869131580956,269_0.97_1.84.png,b1,hard_bottom_25pct,best_gain_top10|hard_gain,24.652040481567383,28.47599220275879,3.8239517211914062
0.0014532997738569975,0.0168712567538023,0.0017923250561580062,3.0105695724487305,924.023681640625,0.003258108674339813,0.0007997925858944654,0.004482828080654144,0.001023303484544158,1.206895112991333,316.144775390625,0.0038175393267217738,271_0.97_1.97.png,b1,hard_bottom_25pct,hard_gain,24.14520263671875,27.521347045898438,3.3761444091796875
0.0014154011150822043,0.011171025224030018,0.0017519148532301188,2.938068151473999,698.3903198242188,0.004206914196940037,0.0007845380459912121,0.004508871119469404,0.0010039160260930657,1.1833858489990234,285.3214416503906,0.0041475531672416225,298_0.63_1.85.png,b1,medium_middle_50pct,medium_ordinary_regression,31.82674217224121,31.622838973999023,-0.2039031982421875
0.0016350493533536792,0.02188251167535782,0.002206953475251794,3.6878018379211426,1557.283447265625,0.002368099297784494,0.0008641371969133615,0.004786178469657898,0.0010940675856545568,1.2896462678909302,368.29229736328125,0.0035016922078574754,342_0.96_1.08.png,b1,hard_bottom_25pct,best_gain_top10|hard_gain,23.854503631591797,28.929636001586914,5.075132369995117
0.0015727343270555139,0.021460041403770447,0.002093834336847067,3.5000762939453125,1411.70947265625,0.002479317707884771,0.0008515404188074172,0.004450940527021885,0.001079835114069283,1.2741632461547852,345.6855163574219,0.00368590289689014,344_0.82_1.51.png,b1,hard_bottom_25pct,hard_gain,23.21965980529785,26.634292602539062,3.414632797241211
0.0013774704420939088,0.014125613495707512,0.0017274857964366674,2.8926403522491455,960.2094116210938,0.0030125098934050067,0.0007494877791032195,0.0041658915579319,0.0009620121563784778,1.132372498512268,278.4820251464844,0.004066231915387101,390_0.55_1.07.png,b1,hard_bottom_25pct,hard_regression,26.725513458251953,24.796560287475586,-1.9289531707763672
0.0015247679548338056,0.015262455679476261,0.0019265130395069718,3.2255032062530518,1075.7313232421875,0.0029984282660205385,0.000754708715248853,0.0043471455574035645,0.0009717170614749193,1.1434745788574219,296.4612731933594,0.0038570790934693835,427_0.69_0.58.png,b1,medium_middle_50pct,worst_regression_top10,35.15858459472656,31.31234359741211,-3.846240997314453
0.0014004538534209132,0.014778531156480312,0.0017107554012909532,2.874037742614746,694.7190551757812,0.00413697842487931,0.0007629348547197878,0.004908160772174597,0.0009789022151380777,1.1518522500991821,306.5355224609375,0.003757646881678991,429_0.52_1.11.png,b1,hard_bottom_25pct,hard_regression,24.42568588256836,22.851484298706055,-1.5742015838623047
0.0013582840329036117,0.015276092104613781,0.001696644350886345,2.8409578800201416,660.126708984375,0.004303655406385604,0.0007690105703659356,0.0042274692095816135,0.0009835863020271063,1.1589373350143433,252.32598876953125,0.004593016124363194,474_0.6_1.43.png,b1,medium_middle_50pct,medium_ordinary_regression,29.286039352416992,29.079681396484375,-0.2063579559326172
0.0013845657231286168,0.01914631761610508,0.0017085277941077948,2.8630197048187256,683.0081176757812,0.004191779908211544,0.0007768107461743057,0.00393349165096879,0.0009990136604756117,1.1769310235977173,275.6468811035156,0.004269705569988786,486_0.96_1.3.png,b1,hard_bottom_25pct,hard_gain,28.038249969482422,31.0997314453125,3.061481475830078
0.001386430230922997,0.018182450905442238,0.0017073453636839986,2.8611490726470947,700.8798217773438,0.004082224917520921,0.0007782946922816336,0.004108873195946217,0.0010009683901444077,1.1794474124908447,280.7970886230469,0.004200354847959915,488_0.99_1.47.png,b1,hard_bottom_25pct,best_gain_top10|hard_gain,28.019329071044922,31.494548797607422,3.4752197265625
0.00156647979747504,0.020992575213313103,0.002014754805713892,4.495138168334961,1450.4105224609375,0.003099217841241237,0.0007681380375288427,0.005324497353285551,0.000987705891020596,1.5487067699432373,429.822265625,0.0036031329547139192,507_0.66_0.7.png,b1,easy_top_25pct,worst_regression_top10|easy_regression,42.304874420166016,37.59941101074219,-4.705463409423828
