rank,name,bucket,categories,original_psnr,candidate_psnr,delta_psnr,panel_included,sample_dir
44,733_0.65_1.63.png,easy_top_25pct,easy_regression,39.1134147644043,35.906036376953125,-3.207378387451172,0,samples/44_733_0.65_1.63
14,78_1.0_0.78.png,hard_bottom_25pct,best_gain_top10|hard_gain,27.958251953125,32.385658264160156,4.427406311035156,1,samples/14_78_1.0_0.78
36,843_0.54_1.62.png,easy_top_25pct,easy_preserved,42.29471206665039,42.27939224243164,-0.01531982421875,0,samples/36_843_0.54_1.62
47,850_0.52_0.65.png,easy_top_25pct,easy_regression,39.398948669433594,36.73411178588867,-2.664836883544922,0,samples/47_850_0.52_0.65
9,858_0.8_1.72.png,medium_middle_50pct,worst_regression_top10,35.944175720214844,31.661731719970703,-4.282444000244141,1,samples/09_858_0.8_1.72
33,85_0.81_1.32.png,hard_bottom_25pct,hard_regression,27.238563537597656,25.66147232055664,-1.5770912170410156,0,samples/33_85_0.81_1.32
18,869_0.55_0.51.png,easy_top_25pct,best_gain_top10,39.000064849853516,42.5275764465332,3.5275115966796875,1,samples/18_869_0.55_0.51
43,885_0.82_0.54.png,easy_top_25pct,easy_regression,41.696441650390625,37.92639923095703,-3.7700424194335938,0,samples/43_885_0.82_0.54
53,888_0.85_1.91.png,medium_middle_50pct,medium_ordinary_regression,35.20216369628906,34.99407196044922,-0.20809173583984375,0,samples/53_888_0.85_1.91
37,890_0.8_0.6.png,easy_top_25pct,easy_preserved,39.71193313598633,39.733245849609375,0.021312713623046875,0,samples/37_890_0.8_0.6
35,908_0.68_1.49.png,easy_top_25pct,easy_preserved,39.04566955566406,39.05182647705078,0.00615692138671875,0,samples/35_908_0.68_1.49
45,923_1.0_0.51.png,easy_top_25pct,easy_regression,40.964813232421875,38.06953048706055,-2.895282745361328,0,samples/45_923_1.0_0.51
42,935_0.58_0.55.png,easy_top_25pct,easy_regression,48.002933502197266,44.18571090698242,-3.8172225952148438,0,samples/42_935_0.58_0.55
8,936_0.99_0.55.png,easy_top_25pct,worst_regression_top10|easy_regression,46.003746032714844,41.465816497802734,-4.537929534912109,1,samples/08_936_0.99_0.55
5,993_0.73_0.6.png,easy_top_25pct,worst_regression_top10|easy_regression,39.839759826660156,34.1108512878418,-5.728908538818359,1,samples/05_993_0.73_0.6
15,998_0.7_0.93.png,medium_middle_50pct,best_gain_top10,34.58762741088867,38.580718994140625,3.993091583251953,1,samples/15_998_0.7_0.93
