name,index,crop_x,crop_y,crop_h,crop_w,cached_patch_anchor_max_abs_diff,cached_patch_m_safe_max_abs_diff,cached_patch_low_target_max_abs_diff
1000_0.74_1.6.png,0,0,0,400,400,0.0,0.0,0.0
1001_0.89_1.66.png,1,0,0,400,400,0.0,0.0,0.0
1002_0.73_1.47.png,2,0,0,400,400,0.0,0.0,0.0
1003_0.9_1.06.png,3,0,0,400,400,0.0,0.0,0.0
1004_0.91_1.17.png,4,0,0,400,400,0.0,0.0,0.0
1005_0.74_1.81.png,5,0,0,400,400,0.0,0.0,0.0
1006_0.89_1.55.png,6,0,0,400,400,0.0,0.0,0.0
1007_0.68_1.25.png,7,0,0,400,400,0.0,0.0,0.0
1008_0.52_1.98.png,8,0,0,400,400,0.0,0.0,0.0
1009_0.84_0.56.png,9,0,0,400,400,0.0,0.0,0.0
100_0.65_1.43.png,10,0,0,400,400,0.0,0.0,0.0
1010_0.91_1.13.png,11,0,0,400,400,0.0,0.0,0.0
1011_0.79_0.66.png,12,0,0,400,400,0.0,0.0,0.0
1012_0.85_1.28.png,13,0,0,400,400,0.0,0.0,0.0
1013_0.63_1.83.png,14,0,0,400,400,0.0,0.0,0.0
1014_0.74_1.61.png,15,0,0,400,400,0.0,0.0,0.0
1015_0.7_1.92.png,16,0,0,400,400,0.0,0.0,0.0
1016_0.8_1.72.png,17,0,0,400,400,0.0,0.0,0.0
1017_0.91_1.44.png,18,0,0,400,400,0.0,0.0,0.0
1018_0.88_0.54.png,19,0,0,400,400,0.0,0.0,0.0
1019_0.82_1.87.png,20,0,0,400,400,0.0,0.0,0.0
101_0.78_1.87.png,21,0,0,400,400,0.0,0.0,0.0
1020_0.5_0.98.png,22,0,0,400,400,0.0,0.0,0.0
1021_0.73_0.84.png,23,0,0,400,400,0.0,0.0,0.0
1022_0.66_1.05.png,24,0,0,400,400,0.0,0.0,0.0
1023_0.5_1.87.png,25,0,0,400,400,0.0,0.0,0.0
1024_0.69_1.66.png,26,0,0,400,400,0.0,0.0,0.0
1025_0.95_1.79.png,27,0,0,400,400,0.0,0.0,0.0
1026_0.77_0.89.png,28,0,0,400,400,0.0,0.0,0.0
1027_0.57_1.77.png,29,0,0,400,400,0.0,0.0,0.0
1028_0.97_1.41.png,30,0,0,400,400,0.0,0.0,0.0
1029_0.71_0.56.png,31,0,0,400,400,0.0,0.0,0.0
