step,weighted_delta_l1,pred_target_corr,mean_output_gain
0,0.011254005832220432,,0.0
50,0.0045577238476957075,0.9023085717971508,0.4446195363998413
100,0.0023378797654781142,0.9682726286924802,0.6243752241134644
150,0.00217819725230277,0.9706083581997798,0.6724389791488647
200,0.0024106052286873418,0.9692707566114572,0.6940943002700806
250,0.002608730704622438,0.969508537879357,0.7109864950180054
300,0.0026182337612772116,0.969767309152163,0.7224609851837158
350,0.002507104414767798,0.9690087460554563,0.7273026704788208
400,0.0023739093292300395,0.9673687059145707,0.7301030158996582
450,0.002288421257125471,0.966601360302705,0.7331075668334961
500,0.0022782253451568723,0.965573822076504,0.7360014915466309
550,0.0022791816966222737,0.96410510631708,0.7377243041992188
600,0.0023389525200950617,0.9642269955231593,0.7363495826721191
650,0.0024551148176784284,0.9640152523150811,0.7315263748168945
700,0.002485203061544459,0.9661240761096661,0.7279790639877319
750,0.00249183729635647,0.968674171429414,0.7257397174835205
800,0.0024679882490977836,0.9712271919617286,0.7244139909744263
