step,weighted_delta_l1,pred_target_corr,mean_output_gain
0,0.011254005832220432,,0.0
50,0.010920355109495043,0.2852653219149663,0.015320837497711182
100,0.01073975743411625,0.322593856173066,0.025904417037963867
150,0.010676299631726996,0.334155498788907,0.03166705369949341
200,0.0106457797293675,0.328993698886524,0.035380005836486816
250,0.010563596619002252,0.3359686185677464,0.04206627607345581
300,0.01049080919438491,0.3470117390299073,0.050087690353393555
350,0.010573803152439897,0.32158977552675283,0.045408666133880615
400,0.011119063900211744,0.2676282866786306,0.02699589729309082
450,0.010498521229896023,0.32045698223205715,0.05248993635177612
500,0.010480845873853124,0.32426922123592633,0.05487668514251709
550,0.010463692414900213,0.33211561435690296,0.057355403900146484
600,0.0104658899519073,0.3401533903983923,0.05888938903808594
650,0.010458078139833136,0.35356831192397153,0.061348795890808105
700,0.010416222571258784,0.3644900263215487,0.06561583280563354
750,0.01038306198329345,0.3726040441542864,0.06982678174972534
800,0.010363318104342375,0.38129266150868857,0.07296973466873169
