fold,train_policy_id,train_screen_proxy_pass,train_strong_proxy_pass,train_score,train_count,heldout_count,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,selected_precision,selected_nonnegative_ratio,selected_severe_count,screen_proxy_pass,strong_proxy_pass,score,patch_action_count_a0,patch_action_count_a0p125,patch_action_count_a0p25,patch_action_count_a0p375,patch_action_count_a0p5,patch_action_count_a0p75,patch_action_fraction_a0,patch_action_fraction_a0p125,patch_action_fraction_a0p25,patch_action_fraction_a0p375,patch_action_fraction_a0p5,patch_action_fraction_a0p75
0,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043022355|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0062836547,True,True,0.9985502544051423,464,136,136,136,1.0,0.4127716061743949,0.478344203096169,0.5897744654539592,0.8014705882352942,0.8014705882352942,13,57.35294117647059,20,88.23529411764706,0.8014705882352942,0.8014705882352942,13,False,False,0.98814500343202,492,0,1507,0,373,0,0.20741989881956155,0.0,0.6353288364249579,0.0,0.1572512647554806,0.0
1,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044661514|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.00023860703,True,True,0.9918905781926146,485,115,115,115,1.0,0.3810573093577366,0.3838186059544819,0.33194683033426237,0.7739130434782608,0.7739130434782608,9,46.95652173913044,18,93.91304347826087,0.7739130434782608,0.7739130434782608,9,True,True,0.9756547032417049,350,0,631,1007,0,0,0.176056338028169,0.0,0.31740442655935613,0.5065392354124748,0.0,0.0
2,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.006066419|high_alpha=0.375|high_cond=diff_signed_mean_le_0.00080477528,True,True,0.9522293706786225,484,116,116,116,1.0,0.451556611134667,0.4851681660485699,0.5209037649792932,0.8103448275862069,0.8103448275862069,12,62.06896551724138,18,93.10344827586208,0.8103448275862069,0.8103448275862069,12,False,False,0.9634711756438659,317,0,509,1194,0,0,0.15693069306930693,0.0,0.251980198019802,0.5910891089108911,0.0,0.0
3,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.011323119,True,True,1.0172840341846112,489,111,111,111,1.0,0.29532189937469916,0.42677787800482564,0.4522279874612562,0.8108108108108109,0.8108108108108109,9,48.64864864864865,16,86.48648648648648,0.8108108108108109,0.8108108108108109,9,False,False,0.9417507843084689,362,0,1467,0,0,111,0.1865979381443299,0.0,0.7561855670103093,0.0,0.0,0.05721649484536082
4,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0042075863|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0082347921,True,True,1.0419272943110796,478,122,122,121,0.9918032786885246,0.33234747165540973,0.20016556492591597,0.47454358982938794,0.7704918032786885,0.7704918032786885,7,34.42622950819672,17,83.60655737704917,0.7768595041322314,0.7768595041322314,7,False,False,0.6181342648899296,473,0,1384,0,199,0,0.23005836575875485,0.0,0.6731517509727627,0.0,0.0967898832684825,0.0
