dimension,bin,count,selected_vote_count,selected_negative_vote_count,selected_severe_vote_count,false_negative_any_alpha_count,current_mean_dPSNR,best_alpha_oracle_mean_dPSNR,mean_selected_seed_fraction
split,val_hard,300,733,151,61,24,0.28779927359686963,0.9980086263020833,0.8144444444444445
split,val_regular,300,779,137,50,18,0.37331195407443574,0.8435468610127766,0.8655555555555554
airlight_q4,q1,150,376,113,53,9,0.272410888671875,0.9212847264607747,0.8355555555555556
airlight_q4,q2,150,363,62,26,17,0.332486203511556,1.0145807393391928,0.8066666666666666
airlight_q4,q3,150,400,62,11,4,0.37086108313666455,0.8971061452229818,0.8888888888888887
airlight_q4,q4,150,373,51,21,12,0.34646428002251517,0.8501393636067708,0.8288888888888889
beta_haze_q4,q1,150,421,67,24,2,0.4394491280449762,1.083177973429362,0.9355555555555556
beta_haze_q4,q2,150,385,62,26,16,0.31600346459282763,0.9846740849812825,0.8555555555555556
beta_haze_q4,q3,150,381,72,30,8,0.33750978257921005,0.9258238347371419,0.8466666666666668
beta_haze_q4,q4,150,325,87,31,16,0.22926008012559682,0.6894350814819336,0.7222222222222222
depth_mean_q4,q1,150,370,71,29,13,0.3039823998345269,0.9029851277669271,0.8222222222222221
depth_mean_q4,q2,150,385,82,30,8,0.31266121334499786,0.851969362894694,0.8555555555555556
depth_mean_q4,q3,150,381,67,26,7,0.38665955013699,1.0266619364420573,0.8466666666666667
depth_mean_q4,q4,150,376,68,26,14,0.31891929202609587,0.9014945475260416,0.8355555555555555
low_texture_input_grad_q4,q1,150,352,101,50,9,0.2852345233493381,0.7794664255777994,0.7822222222222222
low_texture_input_grad_q4,q2,150,385,48,12,10,0.39548373328314884,1.0365064748128254,0.8555555555555556
low_texture_input_grad_q4,q3,150,392,67,18,9,0.33689814249674477,0.8796754582722982,0.8711111111111113
low_texture_input_grad_q4,q4,150,383,72,31,14,0.3046060562133789,0.9874626159667969,0.851111111111111
input_dark_q4,q1,150,414,86,32,6,0.41305051591661246,1.0485211563110353,0.92
input_dark_q4,q2,150,406,74,41,8,0.3724141354031033,1.0281925837198893,0.9022222222222221
input_dark_q4,q3,150,371,64,23,10,0.2933120006985135,0.8442341995239258,0.8244444444444444
input_dark_q4,q4,150,321,64,15,18,0.2434458033243815,0.7621630350748698,0.7133333333333334
diff_abs_q4,q1,150,437,76,22,1,0.3674200778537326,0.7354598617553711,0.9711111111111113
diff_abs_q4,q2,150,399,78,29,8,0.26264657762315535,0.677274424235026,0.8866666666666667
diff_abs_q4,q3,150,364,92,33,13,0.2854335488213433,0.9628594589233398,0.808888888888889
diff_abs_q4,q4,150,312,42,27,20,0.4067222510443793,1.3075172297159832,0.6933333333333334
a0_psnr_q4,q1,150,351,70,27,14,0.2563885964287652,1.1508888117472331,0.78
a0_psnr_q4,q2,150,359,69,15,16,0.267786865234375,0.8379903920491536,0.7977777777777778
a0_psnr_q4,q3,150,379,86,45,8,0.32504226684570314,0.8688435618082683,0.8422222222222223
a0_psnr_q4,q4,150,423,63,24,4,0.4730047268337674,0.8253882090250652,0.94
