name,split,A0_PSNR,A0_SSIM,patch_variant,patch_size,patch_PSNR,patch_SSIM,dPSNR,dSSIM,patch_count,selected_patch_count,selected_patch_fraction,mean_patch_mse_improve,patch_count_a0,patch_fraction_a0,patch_count_a0p125,patch_fraction_a0p125,patch_count_a0p25,patch_fraction_a0p25,patch_count_a0p375,patch_fraction_a0p375,patch_count_a0p5,patch_fraction_a0p5,patch_count_a0p75,patch_fraction_a0p75
1080_0.59_1.22.png,val_regular,40.876853942871094,0.9971413612365723,oracle_max,128,41.562294006347656,0.9973386526107788,0.6854400634765625,0.00019729137420654297,16,6,0.375,1.9134312879032223e-05,10,0.625,0,0.0,1,0.0625,0,0.0,2,0.125,3,0.1875
1080_0.59_1.22.png,val_regular,40.876853942871094,0.9971413612365723,oracle_riskcap0p5,128,41.418479919433594,0.9973127245903015,0.5416259765625,0.00017136335372924805,16,6,0.375,1.5110738559087622e-05,10,0.625,0,0.0,1,0.0625,0,0.0,5,0.3125,,
1085_0.71_1.3.png,val_regular,40.47186279296875,0.9976682066917419,oracle_max,128,41.822853088378906,0.9980549216270447,1.3509902954101562,0.0003867149353027344,16,9,0.5625,6.62323350297811e-05,7,0.4375,0,0.0,1,0.0625,3,0.1875,1,0.0625,4,0.25
1085_0.71_1.3.png,val_regular,40.47186279296875,0.9976682066917419,oracle_riskcap0p5,128,41.68550491333008,0.9980888366699219,1.2136421203613281,0.00042062997817993164,16,9,0.5625,5.612489462691883e-05,7,0.4375,0,0.0,1,0.0625,3,0.1875,5,0.3125,,
1087_0.68_1.22.png,val_regular,41.458438873291016,0.9981305599212646,oracle_max,128,42.68808364868164,0.9983839988708496,1.229644775390625,0.00025343894958496094,16,9,0.5625,4.408345216688758e-05,7,0.4375,0,0.0,2,0.125,1,0.0625,3,0.1875,3,0.1875
1087_0.68_1.22.png,val_regular,41.458438873291016,0.9981305599212646,oracle_riskcap0p5,128,42.584144592285156,0.9984312057495117,1.1257057189941406,0.0003006458282470703,16,9,0.5625,3.881767679558834e-05,7,0.4375,0,0.0,2,0.125,1,0.0625,6,0.375,,
1100_0.58_1.95.png,val_regular,31.112850189208984,0.9931526184082031,oracle_max,128,32.041656494140625,0.9933509826660156,0.9288063049316406,0.0001983642578125,16,14,0.875,0.0001511382788521587,2,0.125,0,0.0,0,0.0,0,0.0,1,0.0625,13,0.8125
1100_0.58_1.95.png,val_regular,31.112850189208984,0.9931526184082031,oracle_riskcap0p5,128,31.779939651489258,0.9933544993400574,0.6670894622802734,0.00020188093185424805,16,14,0.875,0.0001116941389227577,2,0.125,0,0.0,0,0.0,0,0.0,14,0.875,,
1102_0.65_0.94.png,val_regular,29.722129821777344,0.9940282702445984,oracle_max,128,31.150554656982422,0.9947103261947632,1.4284248352050781,0.0006820559501647949,16,14,0.875,0.00025561593702150276,2,0.125,0,0.0,1,0.0625,0,0.0,1,0.0625,12,0.75
1102_0.65_0.94.png,val_regular,29.722129821777344,0.9940282702445984,oracle_riskcap0p5,128,30.675153732299805,0.9945275783538818,0.9530239105224609,0.0004993081092834473,16,14,0.875,0.00017982118970394367,2,0.125,0,0.0,1,0.0625,0,0.0,13,0.8125,,
