chosen_profile,dimension,heldout_bin,train_count,train_coverage,train_dSSIM,train_easy_top25_dPSNR,train_hard_bottom25_dPSNR,train_mean_dPSNR,train_nonnegative_ratio,train_positive_ratio,train_score,train_selected_count,train_selected_nonnegative_ratio,train_selected_precision,train_selected_severe_count,train_severe_loss_count,train_severe_loss_per_600,train_strong_gate_pass,train_strong_loss_count,train_strong_loss_per_600
riskcap42_no075,split,val_hard,300,1.0,0.00023828168710072836,0.46810078938802085,0.35834205627441407,0.3770960299173991,0.81,0.81,0.9870797538757327,300,0.81,0.81,22,22,44.0,True,42,84.00000000000001
riskcap42_no075,split,val_regular,300,0.9933333333333333,0.00025965253512064617,0.4135376993815104,0.31193456013997395,0.3325011189778646,0.7766666666666666,0.77,0.8859025370279947,298,0.7751677852348994,0.7751677852348994,21,21,42.00000000000001,True,44,88.0
riskcap48_no075,airlight_q4,q1,450,1.0,0.00030218733681572807,0.4610722405569894,0.36464716706957134,0.39486971113416885,0.8088888888888889,0.8088888888888889,1.016694668845525,450,0.8088888888888889,0.8088888888888889,30,30,40.0,True,60,80.0
riskcap48_no075,airlight_q4,q2,450,0.9977777777777778,0.0002712421947055393,0.48083611897059847,0.321332471711295,0.37914389292399087,0.8,0.7977777777777778,0.8726268155234198,449,0.799554565701559,0.799554565701559,40,40,53.333333333333336,False,65,86.66666666666666
riskcap42_no075,airlight_q4,q3,450,0.9955555555555555,0.00022834022839864096,0.500605549131121,0.31311127117701937,0.34752881368001304,0.7866666666666666,0.7822222222222223,0.9067450522014076,448,0.7857142857142857,0.7857142857142857,35,35,46.666666666666664,True,67,89.33333333333333
riskcap42_no075,airlight_q4,q4,450,0.9955555555555555,0.00022522807121276854,0.4708388192313058,0.3627723625728062,0.35483984205457897,0.78,0.7755555555555556,0.9531416140359544,448,0.7790178571428571,0.7790178571428571,33,33,44.0,True,72,96.0
riskcap48_no075,beta_haze_q4,q1,450,0.9977777777777778,0.0002968169583214654,0.34375899178641184,0.34946911675589426,0.3484263949924045,0.7888888888888889,0.7866666666666666,0.923044254242428,449,0.7884187082405345,0.7884187082405345,35,35,46.666666666666664,True,67,89.33333333333333
riskcap48_allow075,beta_haze_q4,q2,450,1.0,0.0002590416537390815,0.5300608021872384,0.32479614870888845,0.38735225677490237,0.7777777777777778,0.7777777777777778,0.8795285892940703,450,0.7777777777777778,0.7777777777777778,40,40,53.333333333333336,False,72,96.0
riskcap42_no075,beta_haze_q4,q3,450,0.9955555555555555,0.0002233804596794976,0.43931504658290316,0.34673757212502615,0.34876238928900827,0.7955555555555556,0.7911111111111111,0.9327506183139862,448,0.7946428571428571,0.7946428571428571,35,35,46.666666666666664,True,63,84.00000000000001
riskcap48_no075,beta_haze_q4,q4,450,0.9977777777777778,0.0002508462799919976,0.4759930201939174,0.4217238255909511,0.414194221496582,0.82,0.8177777777777778,1.0711725839887345,449,0.8195991091314031,0.8195991091314031,36,36,48.0,True,62,82.66666666666667
riskcap42_no075,depth_mean_q4,q1,450,0.9955555555555555,0.0002686707178751628,0.5233030319213867,0.32173400265829905,0.35460210588243274,0.8022222222222222,0.7977777777777778,0.9379862778678772,448,0.8013392857142857,0.8013392857142857,32,32,42.666666666666664,True,63,84.00000000000001
