seed,fold,train_policy_id,train_threshold,train_strict_gate_pass,train_count,heldout_count,heldout_selected_count
3407,0,alpha_a0p25__diff_signed_mean_le_0.0022295762,0.0022295762319117785,True,486,114,93
3407,1,alpha_a0p25__diff_signed_mean_le_0.0029799419,0.0029799418756738306,True,468,132,116
3407,2,alpha_a0p25__diff_signed_mean_le_0.002651756,0.002651755989063531,True,476,124,99
3407,3,alpha_a0p25__diff_signed_mean_le_0.002847538,0.002847537957131862,True,488,112,96
3407,4,alpha_a0p25__diff_signed_mean_le_0.0028756753,0.0028756753192283177,True,482,118,102
3411,0,alpha_a0p25__diff_signed_mean_le_0.0030030464,0.0030030463822185993,True,476,124,110
3411,1,alpha_a0p25__diff_signed_mean_le_0.0026834323,0.0026834323420189313,True,458,142,115
3411,2,alpha_a0p25__diff_signed_mean_le_0.0021470748,0.0021470747888088252,True,475,125,99
3411,3,alpha_a0p25__diff_signed_mean_le_0.0022082922,0.002208292204886676,True,489,111,90
3411,4,alpha_a0p25__diff_signed_mean_le_0.0027400178,0.0027400178136304013,True,502,98,80
2026,0,alpha_a0p25__diff_signed_mean_le_0.0030541495,0.0030541494837962066,True,490,110,99
2026,1,alpha_a0p25__diff_signed_mean_le_0.0027912248,0.0027912247693166145,True,474,126,107
2026,2,alpha_a0p25__diff_signed_mean_le_0.0030621614,0.003062161430716512,True,485,115,103
2026,3,alpha_a0p25__diff_signed_mean_le_0.0027201664,0.002720166416838765,True,473,127,103
2026,4,alpha_a0p25__diff_signed_mean_le_0.0027327708,0.002732770820148289,True,478,122,100
