bin_safety_pass,count,coverage,dSSIM,dimension,easy_top25_dPSNR,fixed_profile,hard_bottom25_dPSNR,heldout_bin,mean_dPSNR,nonnegative_ratio,positive_ratio,score,selected_count,selected_nonnegative_ratio,selected_precision,selected_severe_count,severe_loss_count,severe_loss_per_600,strong_gate_pass,strong_loss_count,strong_loss_per_600
True,300,0.9933333333333333,0.00025136470794677733,split,0.3897185770670573,riskcap36_no075,0.299976069132487,val_hard,0.3154772504170736,0.7666666666666667,0.76,0.856382101694743,298,0.7651006711409396,0.7651006711409396,20,20,40.0,False,44,88.0
True,300,1.0,0.00023345768451690674,split,0.45986841837565107,riskcap36_no075,0.3364344024658203,val_regular,0.36758330663045247,0.8133333333333334,0.8133333333333334,0.9807176704406737,300,0.8133333333333334,0.8133333333333334,17,17,34.0,True,42,84.00000000000001
True,150,0.9933333333333333,0.00013933857282002766,airlight_q4,0.374795862146326,riskcap36_no075,0.29143091150232264,q1,0.30615641276041666,0.72,0.7133333333333334,0.6726425511815528,149,0.7181208053691275,0.7181208053691275,14,14,56.0,False,32,128.0
True,150,0.9933333333333333,0.0002215874195098877,airlight_q4,0.47407408018369934,riskcap36_no075,0.4307447381921717,q2,0.3545402654012044,0.7933333333333333,0.7866666666666666,1.0445434639733118,149,0.7919463087248322,0.7919463087248322,7,7,28.0,True,21,84.00000000000001
True,150,1.0,0.00029622912406921385,airlight_q4,0.46520573384053,riskcap36_no075,0.29712068712389145,q3,0.3556833140055339,0.8133333333333334,0.8133333333333334,0.9521418113364828,150,0.8133333333333334,0.8133333333333334,6,6,24.0,False,19,76.0
True,150,1.0,0.00031248966852823895,airlight_q4,0.47375127431508657,riskcap36_no075,0.22272104830355258,q4,0.34974112192789714,0.8333333333333334,0.8333333333333334,0.7157351846093529,150,0.8333333333333334,0.8333333333333334,10,10,40.0,False,14,56.0
True,150,1.0,0.00014518022537231444,beta_haze_q4,0.5556447828138197,riskcap36_no075,0.28554096737423457,q1,0.42360042572021483,0.8333333333333334,0.8333333333333334,0.9576796126494537,150,0.8333333333333334,0.8333333333333334,12,12,48.0,False,21,84.00000000000001
True,150,0.9933333333333333,0.00023579080899556478,beta_haze_q4,0.28369852014490077,riskcap36_no075,0.46210680781184016,q2,0.31660035451253254,0.8266666666666667,0.82,1.0116556527764948,149,0.825503355704698,0.825503355704698,9,9,36.0,True,18,72.0
True,150,1.0,0.0003100903828938802,beta_haze_q4,0.47502868239944046,riskcap36_no075,0.2564174033500053,q3,0.35938714345296224,0.7866666666666666,0.7866666666666666,0.8228587410729211,150,0.7866666666666666,0.7866666666666666,7,7,28.0,False,20,80.0
True,150,0.9933333333333333,0.00027858336766560873,beta_haze_q4,0.37103807603990707,riskcap36_no075,0.1837538126352671,q4,0.2665331904093424,0.7133333333333334,0.7066666666666667,0.4641476733920809,149,0.7114093959731543,0.7114093959731543,9,9,36.0,False,27,108.0
True,150,1.0,0.00018011887868245443,depth_mean_q4,0.30743738122888514,riskcap36_no075,0.2953731949264939,q1,0.3384286880493164,0.7866666666666666,0.7866666666666666,0.8782173719663879,150,0.7866666666666666,0.7866666666666666,9,9,36.0,False,23,92.0
True,150,0.9933333333333333,0.00022571444511413575,depth_mean_q4,0.5369488484150654,riskcap36_no075,0.19990369435903188,q2,0.34574069976806643,0.8,0.7933333333333333,0.6681659288148623,149,0.7986577181208053,0.7986577181208053,6,6,24.0,False,17,68.0
True,150,0.9933333333333333,0.00027053634325663247,depth_mean_q4,0.5847576244457348,riskcap36_no075,0.4579985850566142,q3,0.38908395131429035,0.7933333333333333,0.7866666666666666,1.1199585818041553,149,0.7919463087248322,0.7919463087248322,6,6,24.0,True,22,88.0
True,150,1.0,0.0002932751178741455,depth_mean_q4,0.36258924329603043,riskcap36_no075,0.30456640913679794,q4,0.2928677749633789,0.78,0.78,0.6037798266024204,150,0.78,0.78,16,16,64.0,False,24,96.0
True,150,0.9866666666666667,0.0002536733945210775,low_texture_input_grad_q4,0.2828324807656778,riskcap36_no075,0.26635927767366974,q1,0.3031779988606771,0.7466666666666667,0.7333333333333333,0.7112672244235202,148,0.7432432432432432,0.7432432432432432,12,12,48.0,False,28,112.0
True,150,1.0,0.00033381024996439616,low_texture_input_grad_q4,0.44324988287848394,riskcap36_no075,0.4731490676467483,q2,0.4249170176188151,0.8133333333333334,0.8133333333333334,1.1737612600240621,150,0.8133333333333334,0.8133333333333334,5,5,20.0,True,14,56.0
True,150,1.0,0.0001775999863942464,low_texture_input_grad_q4,0.5388720744364971,riskcap36_no075,0.39324595477129964,q3,0.33676006317138674,0.7933333333333333,0.7933333333333333,1.014244034432076,150,0.7933333333333333,0.7933333333333333,6,6,24.0,True,20,80.0
True,150,1.0,0.00020456115404764811,low_texture_input_grad_q4,0.4408729140822952,riskcap36_no075,0.2392603384481894,q4,0.30126603444417316,0.8066666666666666,0.8066666666666666,0.5702822735073331,150,0.8066666666666666,0.8066666666666666,14,14,56.0,False,24,96.0
True,150,1.0,0.0002633778254191081,input_dark_q4,0.5226719830487225,riskcap36_no075,0.3676187669908678,q1,0.4303479766845703,0.8466666666666667,0.8466666666666667,1.0777101885821367,150,0.8466666666666667,0.8466666666666667,10,10,40.0,True,21,84.00000000000001
True,150,1.0,0.000232011079788208,input_dark_q4,0.5167992050583298,riskcap36_no075,0.36436106707598714,q2,0.39074080149332685,0.8,0.8,0.8299095756599495,150,0.8,0.8,15,15,60.0,False,23,92.0
