policy_id,complexity,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,selected_precision,selected_nonnegative_ratio,selected_severe_count,screen_proxy_pass,strong_proxy_pass,score,patch_action_count_a0,patch_action_count_a0p125,patch_action_count_a0p25,patch_action_count_a0p375,patch_action_count_a0p5,patch_action_count_a0p75,patch_action_fraction_a0,patch_action_fraction_a0p125,patch_action_fraction_a0p25,patch_action_fraction_a0p375,patch_action_fraction_a0p5,patch_action_fraction_a0p75
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.006111065|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0082143224,2,600,599,0.9983333333333333,0.3878556237626367,0.38429721035253467,0.45255750692940483,0.7916666666666666,0.7916666666666666,48,48.0,94,94.0,0.7929883138564274,0.7929883138564274,48,True,True,1.0007991427376048,1557,0,7781,0,1038,0,0.15005782575173476,0.0,0.7499036237471087,0.0,0.10003855050115651,0.0
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043352349|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0082143224,2,600,599,0.9983333333333333,0.37780239887849404,0.3809564520693691,0.4341345558940539,0.795,0.795,45,45.0,86,86.0,0.7963272120200334,0.7963272120200334,45,True,True,0.9937310161233949,2075,0,7263,0,1038,0,0.19998072474942175,0.0,0.6999807247494217,0.0,0.10003855050115651,0.0
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043352349|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.011445235,2,600,599,0.9983333333333333,0.3625550188263307,0.41544467127054396,0.36488983102605765,0.7833333333333333,0.7833333333333333,47,47.0,93,93.0,0.7846410684474123,0.7846410684474123,47,True,True,0.9898997389453718,2075,0,7782,0,0,519,0.19998072474942175,0.0,0.75,0.0,0.0,0.050019275250578255
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0032066162|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0082143224,2,600,597,0.995,0.37158704948625687,0.3782074109903442,0.4182606183009378,0.7966666666666666,0.7966666666666666,44,44.0,79,78.99999999999999,0.8006700167504187,0.8006700167504187,44,True,True,0.9864790401086262,2594,0,6744,0,1038,0,0.25,0.0,0.6499614494988435,0.0,0.10003855050115651,0.0
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043352349|high_alpha=0.375|high_cond=diff_signed_mean_le_0.00082785328,2,600,599,0.9983333333333333,0.39279329734340146,0.34363577278903196,0.5257968501490242,0.7983333333333333,0.7983333333333333,47,47.0,91,91.0,0.7996661101836394,0.7996661101836394,47,True,True,0.9855316005895297,2075,0,2075,6226,0,0,0.19998072474942175,0.0,0.19998072474942175,0.6000385505011565,0.0,0.0
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043352349|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.00025154754,2,600,599,0.9983333333333333,0.388818204344377,0.34398004533682935,0.5141404060107312,0.8,0.8,46,46.0,90,90.0,0.8013355592654424,0.8013355592654424,46,True,True,0.9834162812149135,2075,0,3113,5188,0,0,0.19998072474942175,0.0,0.30001927525057825,0.5,0.0,0.0
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0032066162|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.011445235,2,600,597,0.995,0.3562044964077385,0.41239261611893474,0.34891876797637617,0.7916666666666666,0.7916666666666666,47,47.0,85,85.0,0.7956448911222781,0.7956448911222781,47,True,True,0.9832604661005239,2594,0,7263,0,0,519,0.25,0.0,0.6999807247494217,0.0,0.0,0.050019275250578255
single|alpha=0.375|cond=diff_signed_mean_le_0.0032066162,1,600,597,0.995,0.39071757080284514,0.34226153822335914,0.5214833189022549,0.79,0.79,47,47.0,91,91.0,0.7939698492462312,0.7939698492462312,47,True,True,0.9781751332717578,2594,0,0,7782,0,0,0.25,0.0,0.0,0.75,0.0,0.0
tier|low_alpha=0.375|low_cond=diff_signed_mean_le_0.0032066162|high_alpha=0.375|high_cond=diff_signed_mean_le_0.00082785328,2,600,597,0.995,0.39071757080284514,0.34226153822335914,0.5214833189022549,0.79,0.79,47,47.0,91,91.0,0.7939698492462312,0.7939698492462312,47,True,True,0.9781751332717578,2594,0,0,7782,0,0,0.25,0.0,0.0,0.75,0.0,0.0
tier|low_alpha=0.375|low_cond=diff_signed_mean_le_0.0032066162|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.00025154754,2,600,597,0.995,0.39071757080284514,0.34226153822335914,0.5214833189022549,0.79,0.79,47,47.0,91,91.0,0.7939698492462312,0.7939698492462312,47,True,True,0.9781751332717578,2594,0,0,7782,0,0,0.25,0.0,0.0,0.75,0.0,0.0
tier|low_alpha=0.375|low_cond=diff_signed_mean_le_0.0032066162|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0013591703,2,600,597,0.995,0.39071757080284514,0.34226153822335914,0.5214833189022549,0.79,0.79,47,47.0,91,91.0,0.7939698492462312,0.7939698492462312,47,True,True,0.9781751332717578,2594,0,0,7782,0,0,0.25,0.0,0.0,0.75,0.0,0.0
tier|low_alpha=0.375|low_cond=diff_signed_mean_le_0.0032066162|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0023406036,2,600,597,0.995,0.39071757080284514,0.34226153822335914,0.5214833189022549,0.79,0.79,47,47.0,91,91.0,0.7939698492462312,0.7939698492462312,47,True,True,0.9781751332717578,2594,0,0,7782,0,0,0.25,0.0,0.0,0.75,0.0,0.0
tier|low_alpha=0.375|low_cond=diff_signed_mean_le_0.0032066162|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0037339681,2,600,597,0.995,0.39071757080284514,0.34226153822335914,0.5214833189022549,0.79,0.79,47,47.0,91,91.0,0.7939698492462312,0.7939698492462312,47,True,True,0.9781751332717578,2594,0,0,7782,0,0,0.25,0.0,0.0,0.75,0.0,0.0
tier|low_alpha=0.375|low_cond=diff_signed_mean_le_0.0032066162|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0049152132,2,600,597,0.995,0.39071757080284514,0.34226153822335914,0.5214833189022549,0.79,0.79,47,47.0,91,91.0,0.7939698492462312,0.7939698492462312,47,True,True,0.9781751332717578,2594,0,0,7782,0,0,0.25,0.0,0.0,0.75,0.0,0.0
tier|low_alpha=0.375|low_cond=diff_signed_mean_le_0.0032066162|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063386206,2,600,597,0.995,0.39071757080284514,0.34226153822335914,0.5214833189022549,0.79,0.79,47,47.0,91,91.0,0.7939698492462312,0.7939698492462312,47,True,True,0.9781751332717578,2594,0,0,7782,0,0,0.25,0.0,0.0,0.75,0.0,0.0
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0032066162|high_alpha=0.375|high_cond=diff_signed_mean_le_0.00082785328,2,600,597,0.995,0.3866023336711183,0.3409862629214236,0.5098587629713054,0.8033333333333333,0.8033333333333333,48,48.0,87,87.0,0.8073701842546064,0.8073701842546064,48,True,True,0.9758772203053877,2594,0,1556,6226,0,0,0.25,0.0,0.1499614494988435,0.6000385505011565,0.0,0.0
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043352349|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0013591703,2,600,599,0.9983333333333333,0.38256465794938965,0.34211341308372945,0.4963933667491411,0.795,0.795,46,46.0,90,90.0,0.7963272120200334,0.7963272120200334,46,True,True,0.9716447250912875,2075,0,4150,4151,0,0,0.19998072474942175,0.0,0.3999614494988435,0.40005782575173476,0.0,0.0
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0032066162|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.00025154754,2,600,597,0.995,0.3826506817102011,0.34133572394435957,0.49828642562593034,0.8016666666666666,0.8016666666666666,48,48.0,85,85.0,0.8056951423785594,0.8056951423785594,48,True,True,0.970297903428282,2594,0,2594,5188,0,0,0.25,0.0,0.25,0.5,0.0,0.0
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043352349|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0023406036,2,600,599,0.9983333333333333,0.3763655515188652,0.33892460845384154,0.4833470366478703,0.795,0.795,46,46.0,89,89.0,0.7963272120200334,0.7963272120200334,46,True,True,0.9615899419467254,2075,0,4877,3424,0,0,0.19998072474942175,0.0,0.47002698535080956,0.3299922898997687,0.0,0.0
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0032066162|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0013591703,2,600,597,0.995,0.37644024976814144,0.3394679886375011,0.48071309707736903,0.7966666666666666,0.7966666666666666,48,48.0,84,84.00000000000001,0.8006700167504187,0.8006700167504187,48,True,True,0.9585859503858795,2594,0,3631,4151,0,0,0.25,0.0,0.34994217424826524,0.40005782575173476,0.0,0.0
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0017488843|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0082143224,2,600,595,0.9916666666666667,0.3568350421633336,0.3721271291585332,0.38182209697775876,0.7983333333333333,0.7983333333333333,47,47.0,80,80.0,0.8033613445378152,0.8033613445378152,47,True,True,0.9579689551879361,3424,0,5914,0,1038,0,0.3299922898997687,0.0,0.5699691595990748,0.0,0.10003855050115651,0.0
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0032066162|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0023406036,2,600,597,0.995,0.37025514118462655,0.3362806557586951,0.4677161758314743,0.7983333333333333,0.7983333333333333,48,48.0,82,82.0,0.8023450586264657,0.8023450586264657,48,True,True,0.9493012833747302,2594,0,4358,3424,0,0,0.25,0.0,0.4200077101002313,0.3299922898997687,0.0,0.0
