===== v21_c10_formal_start 2026-06-15T10:13:53+08:00 =====
c10_policy seed=3407 fold=0 candidates=900
c10_policy seed=3407 fold=1 candidates=900
c10_policy seed=3407 fold=2 candidates=900
c10_policy seed=3407 fold=3 candidates=900
c10_policy seed=3407 fold=4 candidates=900
c10_policy seed=3411 fold=0 candidates=900
c10_policy seed=3411 fold=1 candidates=900
c10_policy seed=3411 fold=2 candidates=900
c10_policy seed=3411 fold=3 candidates=900
c10_policy seed=3411 fold=4 candidates=900
c10_policy seed=2026 fold=0 candidates=900
c10_policy seed=2026 fold=1 candidates=900
c10_policy seed=2026 fold=2 candidates=900
c10_policy seed=2026 fold=3 candidates=900
c10_policy seed=2026 fold=4 candidates=900
c10_actual val_regular 50/300 rows=150
c10_actual val_regular 100/300 rows=300
c10_actual val_regular 150/300 rows=450
c10_actual val_regular 200/300 rows=600
c10_actual val_regular 250/300 rows=750
c10_actual val_regular 300/300 rows=900
c10_actual val_hard 50/300 rows=1050
c10_actual val_hard 100/300 rows=1200
c10_actual val_hard 150/300 rows=1350
c10_actual val_hard 200/300 rows=1500
c10_actual val_hard 250/300 rows=1650
c10_actual val_hard 300/300 rows=1800
V21_C10_FORMAL_OK decision=C10_FORMAL_5X3_STRONG_PASS_AUTHORIZE_LOCKED_ONE_SHOT out=/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-v21-segmix-multialpha-local/experience_docx/experiment_logs/haze4k_v2_1_segmix_multialpha_local_20260615
