A0_PSNR,A0_SSIM,dPSNR,dSSIM,fold,locked_PSNR,locked_SSIM,name,patch_action_fraction_a0,patch_action_fraction_a0p125,patch_action_fraction_a0p25,patch_action_fraction_a0p375,patch_action_fraction_a0p5,patch_action_fraction_a0p75,patch_count,policy_id,seed,split
28.291839599609375,0.9913634061813354,0.05063438415527344,0.00017625093460083008,3,28.34247398376465,0.9915396571159363,1000_0.73_1.8.png,0.6,0.0,0.4,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031155606|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0064665747,3407,locked_test
28.291839599609375,0.9913634061813354,0.008150100708007812,0.000202178955078125,1,28.299989700317383,0.9915655851364136,1000_0.73_1.8.png,0.4,0.0,0.6,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043128548|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0064543385,3411,locked_test
28.291839599609375,0.9913634061813354,0.023607254028320312,7.43865966796875e-05,2,28.315446853637695,0.9914377927780151,1000_0.73_1.8.png,0.7,0.3,0.0,0.0,0.0,0.0,20,tier|low_alpha=0.125|low_cond=diff_signed_mean_le_0.0018173444|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0081151067,2026,locked_test
29.538448333740234,0.9880714416503906,0.07133674621582031,0.0005800724029541016,3,29.609785079956055,0.9886515140533447,100_0.5_1.76.png,0.625,0.0,0.375,0.0,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031155606|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0064665747,3407,locked_test
29.538448333740234,0.9880714416503906,0.10449790954589844,0.0006483793258666992,4,29.642946243286133,0.9887198209762573,100_0.5_1.76.png,0.5,0.0,0.5,0.0,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043572003|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063677324,3411,locked_test
29.538448333740234,0.9880714416503906,0.016050338745117188,0.00015991926193237305,2,29.55449867248535,0.988231360912323,100_0.5_1.76.png,0.8125,0.1875,0.0,0.0,0.0,0.0,16,tier|low_alpha=0.125|low_cond=diff_signed_mean_le_0.0018173444|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0081151067,2026,locked_test
24.600601196289062,0.970925509929657,0.08379173278808594,0.0007150769233703613,4,24.68439292907715,0.9716405868530273,101_0.83_1.44.png,0.25,0.0,0.75,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0061560628,3407,locked_test
24.600601196289062,0.970925509929657,0.08813858032226562,0.0006151795387268066,2,24.688739776611328,0.9715406894683838,101_0.83_1.44.png,0.375,0.0,0.5,0.125,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0042649357|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0062255123,3411,locked_test
24.600601196289062,0.970925509929657,0.08813858032226562,0.0006151795387268066,4,24.688739776611328,0.9715406894683838,101_0.83_1.44.png,0.375,0.0,0.5,0.125,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0042057727|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0066262875,2026,locked_test
24.417251586914062,0.9709128141403198,0.0936126708984375,0.0008654594421386719,1,24.5108642578125,0.9717782735824585,102_0.67_1.36.png,0.375,0.0,0.4375,0.1875,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043521117|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063860903,3407,locked_test
24.417251586914062,0.9709128141403198,0.0936126708984375,0.0008654594421386719,1,24.5108642578125,0.9717782735824585,102_0.67_1.36.png,0.375,0.0,0.4375,0.1875,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043128548|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0064543385,3411,locked_test
24.417251586914062,0.9709128141403198,0.10678863525390625,0.0009676218032836914,3,24.52404022216797,0.9718804359436035,102_0.67_1.36.png,0.375,0.0,0.3125,0.3125,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0042836964|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0047808094,2026,locked_test
26.67780113220215,0.9782147407531738,0.18266868591308594,0.0009672045707702637,4,26.860469818115234,0.9791819453239441,103_0.94_0.98.png,0.1875,0.0,0.8125,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0061560628,3407,locked_test
