name,split,A0_PSNR,selected_seed_count,selected_negative_seed_count,current_mean_dPSNR,best_alpha,best_alpha_dPSNR,best_alpha_dSSIM,safe_high_alpha_exists,dPSNR_a0p25,dSSIM_a0p25,dPSNR_a0p5,dSSIM_a0p5,dPSNR_a0p75,dSSIM_a0p75,dPSNR_a1p0,dSSIM_a1p0
1035_0.76_1.14.png,val_regular,33.747764587402344,3,0,0.5612869262695312,1.0,2.0869102478027344,0.0015167593955993652,True,0.5612869262695312,0.0007781982421875,1.10833740234375,0.001322925090789795,1.624176025390625,0.001589655876159668,2.0869102478027344,0.0015167593955993652
1039_0.79_1.79.png,val_regular,32.14398956298828,3,3,-0.0040283203125,0.0,0.0,0.0,False,-0.0040283203125,6.788969039916992e-05,-0.04095458984375,3.8623809814453125e-05,-0.10994720458984375,-8.779764175415039e-05,-0.20950698852539062,-0.00031256675720214844
1100_0.58_1.95.png,val_regular,31.112850189208984,3,0,0.3497314453125,1.0,1.1048927307128906,0.00010150671005249023,True,0.3497314453125,0.0001245737075805664,0.6580467224121094,0.00018352270126342773,0.9134635925292969,0.00017595291137695312,1.1048927307128906,0.00010150671005249023
1102_0.65_0.94.png,val_regular,29.722129821777344,3,0,0.46910858154296875,1.0,1.7993011474609375,0.0005083680152893066,True,0.46910858154296875,0.00024062395095825195,0.9315299987792969,0.00040435791015625,1.3786048889160156,0.0004928112030029297,1.7993011474609375,0.0005083680152893066
1133_0.68_1.41.png,val_regular,32.86006164550781,0,0,0.0,1.0,3.1665878295898438,0.0010447502136230469,True,0.7861900329589844,0.0005466938018798828,1.5930557250976562,0.0008982419967651367,2.3989715576171875,0.001062154769897461,3.1665878295898438,0.0010447502136230469
1134_0.69_1.2.png,val_regular,32.35954666137695,0,0,0.0,1.0,2.6039886474609375,0.0009776949882507324,True,0.6406593322753906,0.0004903674125671387,1.2961463928222656,0.000812828540802002,1.95611572265625,0.0009734630584716797,2.6039886474609375,0.0009776949882507324
1200_0.97_0.52.png,val_regular,31.8935546875,3,0,0.5589218139648438,1.0,2.3142318725585938,0.0005156397819519043,True,0.5589218139648438,0.0001925826072692871,1.1343040466308594,0.00034302473068237305,1.7217941284179688,0.0004506707191467285,2.3142318725585938,0.0005156397819519043
1212_0.8_1.74.png,val_regular,30.249650955200195,0,0,0.0,0.0,0.0,0.0,False,-0.5796451568603516,-0.0005476474761962891,-1.1840782165527344,-0.0013090968132019043,-1.79534912109375,-0.0022860169410705566,-2.401275634765625,-0.003481566905975342
1246_0.62_2.0.png,val_regular,33.35686111450195,3,3,-0.16745758056640625,0.0,0.0,0.0,False,-0.16745758056640625,0.0001289844512939453,-0.3970756530761719,0.00015616416931152344,-0.6792030334472656,8.082389831542969e-05,-1.0035209655761719,-9.79304313659668e-05
126_0.75_1.47.png,val_regular,28.263137817382812,3,0,0.7537918090820312,1.0,3.163442611694336,0.003734767436981201,True,0.7537918090820312,0.0013024210929870605,1.5407905578613281,0.0023573637008666992,2.3507766723632812,0.0031665563583374023,3.163442611694336,0.003734767436981201
1282_0.62_0.6.png,val_regular,32.4411506652832,3,0,1.0238990783691406,1.0,4.438201904296875,0.0005583763122558594,True,1.0238990783691406,0.00023615360260009766,2.1234474182128906,0.0004086494445800781,3.2797813415527344,0.0005161762237548828,4.438201904296875,0.0005583763122558594
1290_0.95_1.76.png,val_regular,32.739837646484375,0,0,0.0,0.0,0.0,0.0,False,-0.5770149230957031,2.7358531951904297e-05,-1.1647071838378906,-7.37905502319336e-05,-1.7507209777832031,-0.00030732154846191406,-2.326862335205078,-0.0006721615791320801
1317_0.53_1.87.png,val_regular,29.311134338378906,0,0,0.0,1.0,4.707633972167969,0.0036673545837402344,True,1.050088882446289,0.0015413165092468262,2.194416046142578,0.002657771110534668,3.4261474609375,0.003361940383911133,4.707633972167969,0.0036673545837402344
1333_0.79_1.62.png,val_regular,33.56541442871094,2,0,0.1671727498372396,1.0,0.5219497680664062,-0.0004297494888305664,True,0.2507591247558594,0.00020951032638549805,0.42717742919921875,0.0002090930938720703,0.5194168090820312,-3.337860107421875e-06,0.5219497680664062,-0.0004297494888305664
1432_0.91_1.29.png,val_regular,32.592288970947266,3,0,0.24375534057617188,1.0,0.847503662109375,0.0003826618194580078,True,0.24375534057617188,0.00020378828048706055,0.4687957763671875,0.0003345012664794922,0.6713218688964844,0.00039452314376831055,0.847503662109375,0.0003826618194580078
1474_0.92_0.89.png,val_regular,30.84564971923828,3,0,0.3718070983886719,1.0,1.283294677734375,0.00016456842422485352,True,0.3718070983886719,0.00017642974853515625,0.7162380218505859,0.0002525448799133301,1.0235424041748047,0.00024694204330444336,1.283294677734375,0.00016456842422485352
