count,coverage,easy_top25_dPSNR,fixed_profile,fold,hard_bottom25_dPSNR,heldout_count,mean_dPSNR,nonnegative_ratio,patch_action_count_a0,patch_action_count_a0p125,patch_action_count_a0p25,patch_action_count_a0p375,patch_action_count_a0p5,patch_action_count_a0p75,patch_action_fraction_a0,patch_action_fraction_a0p125,patch_action_fraction_a0p25,patch_action_fraction_a0p375,patch_action_fraction_a0p5,patch_action_fraction_a0p75,policy_id,positive_ratio,seed,selected_count,selected_nonnegative_ratio,selected_precision,selected_severe_count,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,train_proxy_hard,train_proxy_positive,train_proxy_severe
114,1.0,0.14214016928951395,riskcap36_no075,0,0.4564665849950442,114,0.2551638168812804,0.7807017543859649,200,1503,0,0,265,0,0.1016260162601626,0.7637195121951219,0.0,0.0,0.13465447154471544,0.0,tier|low_alpha=0.125|low_cond=diff_signed_mean_le_0.0084887714|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0079295431,0.7807017543859649,3407,114,0.7807017543859649,0.7807017543859649,14,14,73.68421052631578,20,105.26315789473684,0.32584012005350454,0.7839506172839507,30.8641975308642
132,0.9924242424242424,0.49950066522497677,riskcap36_no075,1,0.31775131112950433,132,0.3506810990624257,0.8257575757575758,451,0,1514,327,0,0,0.1967713787085515,0.0,0.6605584642233857,0.14267015706806283,0.0,0.0,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043521117|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063860903,0.8257575757575758,3407,131,0.8320610687022901,0.8320610687022901,6,6,27.272727272727273,14,63.63636363636364,0.3194514331492133,0.7863247863247863,41.02564102564103
124,1.0,0.4836560947135368,riskcap36_no075,2,0.5133903547106657,124,0.38554462534166883,0.782258064516129,546,0,1378,0,208,0,0.25609756097560976,0.0,0.6463414634146342,0.0,0.0975609756097561,0.0,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031846323|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0082323548,0.782258064516129,3407,124,0.782258064516129,0.782258064516129,11,11,53.225806451612904,20,96.77419354838709,0.34040434220573956,0.8025210084033614,41.596638655462186
112,1.0,0.3627744481051839,riskcap36_no075,3,0.24851364956670757,112,0.3485668473096985,0.8392857142857143,529,0,1173,246,0,0,0.2715605749486653,0.0,0.6021560574948666,0.12628336755646818,0.0,0.0,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031155606|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0064665747,0.8392857142857143,3407,112,0.8392857142857143,0.8392857142857143,5,5,26.785714285714285,10,53.57142857142857,0.3283752202278566,0.7848360655737705,39.34426229508197
118,1.0,0.5116855461016298,riskcap36_no075,4,0.15265729207827822,118,0.3135149521475292,0.788135593220339,291,0,1745,0,0,0,0.14292730844793713,0.0,0.8570726915520629,0.0,0.0,0.0,single|alpha=0.25|cond=diff_signed_mean_le_0.0061560628,0.788135593220339,3407,118,0.788135593220339,0.788135593220339,7,7,35.59322033898305,19,96.61016949152541,0.2593803070241294,0.8195020746887967,31.120331950207472
124,1.0,0.46150102382602787,riskcap36_no075,0,0.19095584439192845,124,0.30351996451500624,0.7741935483870968,286,0,1866,0,0,0,0.13289962825278812,0.0,0.8671003717472119,0.0,0.0,0.0,single|alpha=0.25|cond=diff_signed_mean_le_0.0062344847,0.7741935483870968,3411,124,0.7741935483870968,0.7741935483870968,8,8,38.70967741935484,17,82.25806451612902,0.2560537844921771,0.8214285714285714,30.252100840336134
142,0.9929577464788732,0.5251518902469903,riskcap36_no075,1,0.3148211997344749,142,0.37737715370740843,0.7816901408450704,503,0,1632,329,0,0,0.2041396103896104,0.0,0.6623376623376623,0.13352272727272727,0.0,0.0,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043128548|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0064543385,0.7816901408450704,3411,141,0.7872340425531915,0.7872340425531915,13,13,54.929577464788736,21,88.73239436619718,0.3265873265349378,0.7947598253275109,32.75109170305677
125,1.0,0.3972780711699972,riskcap36_no075,2,0.355686792906429,125,0.3366674390426711,0.808,469,0,1328,359,0,0,0.21753246753246752,0.0,0.6159554730983302,0.16651205936920221,0.0,0.0,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0042649357|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0062255123,0.808,3411,125,0.808,0.808,6,6,28.8,18,86.39999999999999,0.3083791525066514,0.7873684210526316,40.421052631578945
111,1.0,0.48949543261909567,riskcap36_no075,3,0.2989958144655897,111,0.33659861037857125,0.8198198198198198,489,0,1277,150,0,0,0.25521920668058456,0.0,0.6664926931106472,0.07828810020876827,0.0,0.0,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031934751|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0084159346,0.8198198198198198,3411,111,0.8198198198198198,0.8198198198198198,3,3,16.216216216216218,13,70.27027027027027,0.3124871570899024,0.8016359918200409,35.58282208588957
98,1.0,0.4852229465923698,riskcap36_no075,4,0.3950817202770036,98,0.3266556880020061,0.7959183673469388,326,0,1119,243,0,0,0.19312796208530805,0.0,0.6629146919431279,0.14395734597156398,0.0,0.0,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043572003|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063677324,0.7959183673469388,3411,98,0.7959183673469388,0.7959183673469388,7,7,42.857142857142854,12,73.46938775510203,0.308003950547729,0.7928286852589641,37.05179282868526
110,1.0,0.21231058977468292,riskcap36_no075,0,0.2532400426991667,110,0.2776656551061027,0.7545454545454545,411,0,1330,0,167,0,0.21540880503144655,0.0,0.6970649895178197,0.0,0.08752620545073375,0.0,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0033319948|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0083134607,0.7545454545454545,2026,110,0.7545454545454545,0.7545454545454545,15,15,81.81818181818181,20,109.0909090909091,0.40312701118520516,0.8020408163265306,35.51020408163265
