A0_PSNR,A0_SSIM,dPSNR,dSSIM,dimension,fixed_profile,fold,heldout_bin,local_alpha_PSNR,local_alpha_SSIM,name,patch_action_count_a0,patch_action_count_a0p125,patch_action_count_a0p25,patch_action_count_a0p375,patch_action_count_a0p5,patch_action_count_a0p75,patch_action_fraction_a0,patch_action_fraction_a0p125,patch_action_fraction_a0p25,patch_action_fraction_a0p375,patch_action_fraction_a0p5,patch_action_fraction_a0p75,patch_count,policy_id,profile,split
34.382545471191406,0.9979127645492554,0.38838958740234375,4.8279762268066406e-05,split,riskcap36_no075,0,val_hard,34.77093505859375,0.9979610443115234,1074_0.59_1.24.png,7,0,9,0,0,0,0.4375,0.0,0.5625,0.0,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031651112|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0081151606,riskcap36_no075,val_hard
29.513813018798828,0.9932088851928711,0.25385093688964844,-4.673004150390625e-05,split,riskcap36_no075,4,val_hard,29.767663955688477,0.9931621551513672,1075_0.76_1.99.png,4,0,12,0,0,0,0.25,0.0,0.75,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
36.44873809814453,0.9975614547729492,0.1553802490234375,7.790327072143555e-05,split,riskcap36_no075,1,val_hard,36.60411834716797,0.9976393580436707,1083_0.67_0.81.png,0,0,15,1,0,0,0.0,0.0,0.9375,0.0625,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0033162105|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063877611,riskcap36_no075,val_hard
29.947710037231445,0.9895719289779663,0.10134315490722656,0.00011259317398071289,split,riskcap36_no075,0,val_hard,30.049053192138672,0.989684522151947,1084_0.81_1.75.png,2,0,14,0,0,0,0.125,0.0,0.875,0.0,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031651112|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0081151606,riskcap36_no075,val_hard
33.319366455078125,0.9896768927574158,0.08044052124023438,0.000340878963470459,split,riskcap36_no075,4,val_hard,33.39980697631836,0.9900177717208862,1092_0.84_1.93.png,4,0,12,0,0,0,0.25,0.0,0.75,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
35.43501663208008,0.9972715377807617,0.07880783081054688,0.00012302398681640625,split,riskcap36_no075,4,val_hard,35.513824462890625,0.9973945617675781,1094_0.77_1.07.png,3,0,13,0,0,0,0.1875,0.0,0.8125,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
35.75572204589844,0.9981672167778015,0.13820266723632812,0.00010538101196289062,split,riskcap36_no075,2,val_hard,35.893924713134766,0.9982725977897644,1096_0.72_0.86.png,3,0,13,0,0,0,0.1875,0.0,0.8125,0.0,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043432396|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063224571,riskcap36_no075,val_hard
33.103145599365234,0.9975003600120544,0.46419525146484375,0.00010848045349121094,split,riskcap36_no075,3,val_hard,33.56734085083008,0.9976088404655457,1098_0.8_0.51.png,0,0,14,2,0,0,0.0,0.0,0.875,0.125,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063337156,riskcap36_no075,val_hard
27.404401779174805,0.991023063659668,0.18292808532714844,0.00025576353073120117,split,riskcap36_no075,1,val_hard,27.587329864501953,0.9912788271903992,1101_0.77_1.17.png,3,0,11,2,0,0,0.1875,0.0,0.6875,0.125,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0033162105|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063877611,riskcap36_no075,val_hard
24.205032348632812,0.9820016622543335,-0.00341796875,1.3649463653564453e-05,split,riskcap36_no075,1,val_hard,24.201614379882812,0.9820153117179871,1103_0.88_1.95.png,14,0,2,0,0,0,0.875,0.0,0.125,0.0,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0033162105|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063877611,riskcap36_no075,val_hard
