policy_id,complexity,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,selected_precision,selected_nonnegative_ratio,selected_severe_count,screen_gate_pass,formal_candidate_gate_pass,score,action_count_a0,action_fraction_a0,action_count_a0p125,action_fraction_a0p125,action_count_a0p25,action_fraction_a0p25,action_count_a0p375,action_fraction_a0p375,action_count_a0p5,action_fraction_a0p5,action_count_a0p75,action_fraction_a0p75
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0027975643|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.0045283467,2,600,510,0.85,0.44969295501708983,0.5204439798990885,0.42092918395996093,0.0002802250782648722,0.6833333333333333,0.8333333333333334,46,46.0,85,85.0,0.803921568627451,0.803921568627451,46,False,False,1.1643371357637295,90,0.15,0,0.0,420,0.7,0,0.0,0,0.0,90,0.15
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0027975643|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.0031482906,2,600,510,0.85,0.4779305140177409,0.564187749226888,0.37942899068196617,0.000290604829788208,0.67,0.82,51,51.00000000000001,92,92.0,0.788235294117647,0.788235294117647,51,False,False,1.1566353771733304,90,0.15,0,0.0,360,0.6,0,0.0,0,0.0,150,0.25
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0027975643|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.0037999609,2,600,510,0.85,0.46477925618489585,0.5572675069173177,0.3777636973063151,0.0002861139178276062,0.6733333333333333,0.8233333333333334,50,50.0,90,90.0,0.792156862745098,0.792156862745098,50,False,False,1.1564774745866364,90,0.15,0,0.0,390,0.65,0,0.0,0,0.0,120,0.2
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0038882691|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.0045283467,2,600,540,0.9,0.45143807093302407,0.5189490254720052,0.41938756306966146,0.0002877729137738546,0.7116666666666667,0.8116666666666666,52,52.0,96,96.0,0.7907407407407407,0.7907407407407407,52,False,False,1.1513230846546312,60,0.1,0,0.0,450,0.75,0,0.0,0,0.0,90,0.15
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0038882691|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.0031482906,2,600,540,0.9,0.47967562993367513,0.5626927947998047,0.37788736979166665,0.00029815266529719037,0.6983333333333334,0.7983333333333333,57,57.0,103,103.0,0.7759259259259259,0.7759259259259259,57,False,False,1.1411648990489818,60,0.1,0,0.0,390,0.65,0,0.0,0,0.0,150,0.25
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0038882691|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.0037999609,2,600,540,0.9,0.4665243721008301,0.5557725524902344,0.3762220764160156,0.00029366175333658855,0.7016666666666667,0.8016666666666666,56,56.0,101,101.0,0.7796296296296297,0.7796296296296297,56,False,False,1.1384961032161003,60,0.1,0,0.0,420,0.7,0,0.0,0,0.0,120,0.2
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0038882691|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.0053803557,2,600,540,0.9,0.4309329319000244,0.4879875564575195,0.44827598571777344,0.0002788992722829183,0.7116666666666667,0.8116666666666666,50,50.0,96,96.0,0.7907407407407407,0.7907407407407407,50,False,False,1.1329376126748543,60,0.1,0,0.0,480,0.8,0,0.0,0,0.0,60,0.1
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0027975643|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.0053803557,2,600,510,0.85,0.42918781598409017,0.4894825108846029,0.4498176066080729,0.00027135143677393595,0.6833333333333333,0.8333333333333334,44,44.0,85,85.0,0.803921568627451,0.803921568627451,44,False,False,1.1259516637839526,90,0.15,0,0.0,450,0.75,0,0.0,0,0.0,60,0.1
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0021860948|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.0031482906,2,600,480,0.8,0.4687207476298014,0.5627003987630208,0.35851155598958334,0.000281581978003184,0.6383333333333333,0.8383333333333334,45,45.0,83,83.0,0.7979166666666667,0.7979166666666667,45,False,False,1.1233780555725095,120,0.2,0,0.0,330,0.55,0,0.0,0,0.0,150,0.25
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0021860948|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.0037999609,2,600,480,0.8,0.4555694897969564,0.5557801564534505,0.3568462626139323,0.0002770910660425822,0.6416666666666667,0.8416666666666667,44,44.0,81,81.0,0.8020833333333334,0.8020833333333334,44,False,False,1.1132324078877767,120,0.2,0,0.0,360,0.6,0,0.0,0,0.0,120,0.2
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0021860948|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.0045283467,2,600,480,0.8,0.44048318862915037,0.5189566294352214,0.4000117492675781,0.00027120222647984823,0.6516666666666666,0.8516666666666667,40,40.0,76,76.0,0.8145833333333333,0.8145833333333333,40,False,False,1.101128833770752,120,0.2,0,0.0,390,0.65,0,0.0,0,0.0,90,0.15
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0021860948|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.0053803557,2,600,480,0.8,0.4199780495961507,0.48799516042073565,0.42890017191569013,0.00026232858498891195,0.6516666666666666,0.8516666666666667,38,38.0,76,76.0,0.8145833333333333,0.8145833333333333,38,False,False,1.0627433617909747,120,0.2,0,0.0,420,0.7,0,0.0,0,0.0,60,0.1
tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0027975643|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0031482906,2,600,510,0.85,0.43355215072631836,0.4209869639078776,0.471160888671875,0.00028727243343989057,0.6816666666666666,0.8316666666666667,49,49.0,85,85.0,0.8019607843137255,0.8019607843137255,49,False,False,1.0543058499354945,90,0.15,0,0.0,360,0.6,0,0.0,150,0.25,0,0.0
