A0_PSNR,A0_SSIM,dPSNR,dSSIM,fold,formal_PSNR,formal_SSIM,name,patch_action_fraction_a0,patch_action_fraction_a0p125,patch_action_fraction_a0p25,patch_action_fraction_a0p375,patch_action_fraction_a0p5,patch_action_fraction_a0p75,patch_count,policy_id,seed,split
38.416282653808594,0.9647232890129089,0.5391616821289062,0.0029268860816955566,0,38.9554443359375,0.9676501750946045,1012_0.85_1.28.png,0.0625,0.8125,0.0,0.0,0.125,0.0,16,tier|low_alpha=0.125|low_cond=diff_signed_mean_le_0.0084887714|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0079295431,3407,val_regular
38.416282653808594,0.9647232890129089,0.8889923095703125,0.006411135196685791,2,39.305274963378906,0.9711344242095947,1012_0.85_1.28.png,0.3125,0.0,0.4375,0.25,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0042649357|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0062255123,3411,val_regular
38.416282653808594,0.9647232890129089,0.9212989807128906,0.0068936944007873535,3,39.337581634521484,0.9716169834136963,1012_0.85_1.28.png,0.3125,0.0,0.3125,0.375,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0042836964|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0047808094,2026,val_regular
39.61763381958008,0.9955521821975708,-0.2044830322265625,-0.00010532140731811523,2,39.413150787353516,0.9954468607902527,1016_0.8_1.72.png,0.5,0.0,0.375,0.0,0.125,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031846323|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0082323548,3407,val_regular
39.61763381958008,0.9955521821975708,-0.19916152954101562,-5.549192428588867e-05,2,39.41847229003906,0.9954966902732849,1016_0.8_1.72.png,0.4375,0.0,0.4375,0.125,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0042649357|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0062255123,3411,val_regular
39.61763381958008,0.9955521821975708,-0.23920440673828125,-0.00013744831085205078,2,39.3784294128418,0.9954147338867188,1016_0.8_1.72.png,0.5625,0.3125,0.0,0.0,0.125,0.0,16,tier|low_alpha=0.125|low_cond=diff_signed_mean_le_0.0018173444|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0081151067,2026,val_regular
37.465614318847656,0.9968034625053406,-1.8614463806152344,-0.0002415776252746582,0,35.60416793823242,0.9965618848800659,1023_0.5_1.87.png,0.3125,0.4375,0.0,0.0,0.25,0.0,16,tier|low_alpha=0.125|low_cond=diff_signed_mean_le_0.0084887714|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0079295431,3407,val_regular
37.465614318847656,0.9968034625053406,-1.3863296508789062,-9.912252426147461e-05,2,36.07928466796875,0.9967043399810791,1023_0.5_1.87.png,0.5625,0.0,0.1875,0.25,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0042649357|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0062255123,3411,val_regular
37.465614318847656,0.9968034625053406,-1.3863296508789062,-9.912252426147461e-05,4,36.07928466796875,0.9967043399810791,1023_0.5_1.87.png,0.5625,0.0,0.1875,0.25,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0042057727|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0066262875,2026,val_regular
42.84375762939453,0.9985350370407104,0.08803176879882812,6.443262100219727e-05,3,42.93178939819336,0.9985994696617126,1031_0.76_0.7.png,0.5625,0.0,0.4375,0.0,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031155606|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0064665747,3407,val_regular
