A0_PSNR,A0_SSIM,dPSNR,dSSIM,fold,local_alpha_PSNR,local_alpha_SSIM,name,patch_action_count_a0,patch_action_count_a0p125,patch_action_count_a0p25,patch_action_count_a0p375,patch_action_count_a0p5,patch_action_count_a0p75,patch_action_fraction_a0,patch_action_fraction_a0p125,patch_action_fraction_a0p25,patch_action_fraction_a0p375,patch_action_fraction_a0p5,patch_action_fraction_a0p75,patch_count,policy_id,profile,split
42.78815841674805,0.9979864954948425,0.6464996337890625,0.0001646876335144043,1,43.43465805053711,0.9981511831283569,1642_0.91_0.72.png,3,0,9,8,0,0,0.15,0.0,0.45,0.4,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044661514|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.00023860703,riskcap48_allow075,val_regular
36.692848205566406,0.9980541467666626,1.6605567932128906,0.0002828240394592285,1,38.3534049987793,0.9983369708061218,164_0.84_0.62.png,0,0,4,12,0,0,0.0,0.0,0.25,0.75,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044661514|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.00023860703,riskcap48_no075,val_regular
36.692848205566406,0.9980541467666626,1.5395431518554688,0.00026035308837890625,1,38.232391357421875,0.9983144998550415,164_0.84_0.62.png,0,0,10,6,0,0,0.0,0.0,0.625,0.375,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044661514|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063877611,riskcap42_no075,val_regular
36.692848205566406,0.9980541467666626,1.5395431518554688,0.00026035308837890625,1,38.232391357421875,0.9983144998550415,164_0.84_0.62.png,0,0,10,6,0,0,0.0,0.0,0.625,0.375,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0033162105|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063877611,riskcap36_no075,val_regular
36.692848205566406,0.9980541467666626,1.6605567932128906,0.0002828240394592285,1,38.3534049987793,0.9983369708061218,164_0.84_0.62.png,0,0,4,12,0,0,0.0,0.0,0.25,0.75,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044661514|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.00023860703,riskcap48_allow075,val_regular
38.072059631347656,0.9967471957206726,1.3393440246582031,0.000314176082611084,3,39.41140365600586,0.9970613718032837,165_0.71_1.57.png,0,0,9,0,7,0,0.0,0.0,0.5625,0.0,0.4375,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0081691616,riskcap48_no075,val_regular
38.072059631347656,0.9967471957206726,1.1149063110351562,0.0003032684326171875,3,39.18696594238281,0.9970504641532898,165_0.71_1.57.png,0,0,7,9,0,0,0.0,0.0,0.4375,0.5625,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.004919854,riskcap42_no075,val_regular
38.072059631347656,0.9967471957206726,1.1247329711914062,0.0003116726875305176,3,39.19679260253906,0.9970588684082031,165_0.71_1.57.png,0,0,8,8,0,0,0.0,0.0,0.5,0.5,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063337156,riskcap36_no075,val_regular
38.072059631347656,0.9967471957206726,1.1841964721679688,0.00029474496841430664,3,39.256256103515625,0.9970419406890869,165_0.71_1.57.png,0,0,12,0,0,4,0.0,0.0,0.75,0.0,0.0,0.25,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.75|high_cond=diff_signed_mean_le_-0.011323119,riskcap48_allow075,val_regular
39.843040466308594,0.9955949783325195,0.3535499572753906,0.0003241300582885742,2,40.196590423583984,0.9959191083908081,1664_0.8_2.0.png,5,0,9,6,0,0,0.25,0.0,0.45,0.3,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.006066419|high_alpha=0.375|high_cond=diff_signed_mean_le_0.00080477528,riskcap48_no075,val_regular
39.843040466308594,0.9955949783325195,0.2942466735839844,0.00030732154846191406,2,40.13728713989258,0.9959022998809814,1664_0.8_2.0.png,5,0,15,0,0,0,0.25,0.0,0.75,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.006066419|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063224571,riskcap42_no075,val_regular
39.843040466308594,0.9955949783325195,0.2516365051269531,0.0002657175064086914,2,40.09467697143555,0.9958606958389282,1664_0.8_2.0.png,8,0,12,0,0,0,0.4,0.0,0.6,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043432396|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063224571,riskcap36_no075,val_regular
39.843040466308594,0.9955949783325195,0.3535499572753906,0.0003241300582885742,2,40.196590423583984,0.9959191083908081,1664_0.8_2.0.png,5,0,9,6,0,0,0.25,0.0,0.45,0.3,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.006066419|high_alpha=0.375|high_cond=diff_signed_mean_le_0.00080477528,riskcap48_allow075,val_regular
41.21522903442383,0.9973911046981812,0.5357131958007812,0.00026023387908935547,0,41.75094223022461,0.9976513385772705,1674_0.9_1.32.png,0,0,20,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043022355|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0062836547,riskcap48_no075,val_regular
41.21522903442383,0.9973911046981812,0.5357131958007812,0.00026023387908935547,0,41.75094223022461,0.9976513385772705,1674_0.9_1.32.png,0,0,20,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031651112|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0062836547,riskcap42_no075,val_regular
41.21522903442383,0.9973911046981812,0.5357131958007812,0.00026023387908935547,0,41.75094223022461,0.9976513385772705,1674_0.9_1.32.png,0,0,20,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031651112|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0081151606,riskcap36_no075,val_regular
41.21522903442383,0.9973911046981812,0.5357131958007812,0.00026023387908935547,0,41.75094223022461,0.9976513385772705,1674_0.9_1.32.png,0,0,20,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,20,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043022355|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0062836547,riskcap48_allow075,val_regular
