count,coverage,easy_top25_dPSNR,fold,hard_bottom25_dPSNR,heldout_count,mean_dPSNR,nonnegative_ratio,patch_action_count_a0,patch_action_count_a0p125,patch_action_count_a0p25,patch_action_count_a0p375,patch_action_count_a0p5,patch_action_count_a0p75,patch_action_fraction_a0,patch_action_fraction_a0p125,patch_action_fraction_a0p25,patch_action_fraction_a0p375,patch_action_fraction_a0p5,patch_action_fraction_a0p75,positive_ratio,profile,profile_feasible_count,selected_count,selected_nonnegative_ratio,selected_precision,selected_severe_count,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,train_policy_id,train_proxy_hard,train_proxy_positive,train_proxy_severe,train_score
136,1.0,0.5897744654539592,0,0.478344203096169,136,0.4127716061743949,0.8014705882352942,492,0,1507,0,373,0,0.20741989881956155,0.0,0.6353288364249579,0.0,0.1572512647554806,0.0,0.8014705882352942,riskcap48_no075,58,136,0.8014705882352942,0.8014705882352942,13,13,57.35294117647059,20,88.23529411764706,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043022355|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0062836547,0.40071078477670224,0.7780172413793104,47.844827586206904,0.9985502544051423
136,0.9926470588235294,0.565853596115061,0,0.38885961762612486,136,0.37047520829497804,0.7867647058823529,615,0,1384,373,0,0,0.25927487352445194,0.0,0.5834738617200674,0.1572512647554806,0.0,0.0,0.7867647058823529,riskcap42_no075,16,135,0.7925925925925926,0.7925925925925926,10,10,44.11764705882353,19,83.82352941176471,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031651112|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0062836547,0.31557532310249375,0.8038793103448276,36.20689655172414,0.92234965410945
136,0.9926470588235294,0.5614579641313526,0,0.3817341215716257,136,0.36567257391305835,0.7941176470588235,615,0,1495,262,0,0,0.25927487352445194,0.0,0.6302698145025295,0.11045531197301856,0.0,0.0,0.7941176470588235,riskcap36_no075,3,135,0.8,0.8,8,8,35.294117647058826,19,83.82352941176471,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031651112|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0081151606,0.3040590641053966,0.8103448275862069,32.32758620689655,0.9144979686070445
136,1.0,0.5897744654539592,0,0.478344203096169,136,0.4127716061743949,0.8014705882352942,492,0,1507,0,373,0,0.20741989881956155,0.0,0.6353288364249579,0.0,0.1572512647554806,0.0,0.8014705882352942,riskcap48_allow075,54,136,0.8014705882352942,0.8014705882352942,13,13,57.35294117647059,20,88.23529411764706,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043022355|high_alpha=0.5|high_cond=diff_signed_mean_le_-0.0062836547,0.40071078477670224,0.7780172413793104,47.844827586206904,0.9985502544051423
115,1.0,0.33194683033426237,1,0.3838186059544819,115,0.3810573093577366,0.7739130434782608,350,0,631,1007,0,0,0.176056338028169,0.0,0.31740442655935613,0.5065392354124748,0.0,0.0,0.7739130434782608,riskcap48_no075,81,115,0.7739130434782608,0.7739130434782608,9,9,46.95652173913044,18,93.91304347826087,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044661514|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.00023860703,0.3441405383119443,0.8061855670103093,47.01030927835051,0.9918905781926146
115,1.0,0.3191983132886837,1,0.3570719681518875,115,0.3553213656354925,0.7652173913043478,350,0,1357,281,0,0,0.176056338028169,0.0,0.6825955734406438,0.14134808853118713,0.0,0.0,0.7652173913043478,riskcap42_no075,6,115,0.7652173913043478,0.7652173913043478,7,7,36.52173913043478,17,88.69565217391305,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044661514|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063877611,0.32041722243224996,0.8020618556701031,39.58762886597938,0.94015002347149
115,1.0,0.31757590016643966,1,0.35564981667527845,115,0.3517492221272992,0.7478260869565218,439,0,1268,281,0,0,0.22082494969818914,0.0,0.6378269617706237,0.14134808853118713,0.0,0.0,0.7478260869565218,riskcap36_no075,0,115,0.7478260869565218,0.7478260869565218,7,7,36.52173913043478,17,88.69565217391305,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0033162105|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063877611,0.31839504630492355,0.8041237113402062,38.350515463917525,0.9348142182011223
115,1.0,0.33194683033426237,1,0.3838186059544819,115,0.3810573093577366,0.7739130434782608,350,0,631,1007,0,0,0.176056338028169,0.0,0.31740442655935613,0.5065392354124748,0.0,0.0,0.7739130434782608,riskcap48_allow075,83,115,0.7739130434782608,0.7739130434782608,9,9,46.95652173913044,18,93.91304347826087,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044661514|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.00023860703,0.3441405383119443,0.8061855670103093,47.01030927835051,0.9918905781926146
116,1.0,0.5209037649792932,2,0.4851681660485699,116,0.451556611134667,0.8103448275862069,317,0,509,1194,0,0,0.15693069306930693,0.0,0.251980198019802,0.5910891089108911,0.0,0.0,0.8103448275862069,riskcap48_no075,47,116,0.8103448275862069,0.8103448275862069,12,12,62.06896551724138,18,93.10344827586208,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.006066419|high_alpha=0.375|high_cond=diff_signed_mean_le_0.00080477528,0.3052473774924971,0.7913223140495868,47.107438016528924,0.9522293706786225
116,1.0,0.47286636738503185,2,0.46353366139367813,116,0.4163010057357146,0.8017241379310345,317,0,1391,312,0,0,0.15693069306930693,0.0,0.6886138613861386,0.15445544554455445,0.0,0.0,0.8017241379310345,riskcap42_no075,2,116,0.8017241379310345,0.8017241379310345,12,12,62.06896551724138,20,103.44827586206897,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.006066419|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063224571,0.2849508496957963,0.7851239669421488,38.4297520661157,0.8721602095438526
