variant,outer_fold,inner_calibration_fold,feature,direction,threshold,calibration_objective,calibration_coverage,coverage,selected_mean,selected_hard,selected_dssim,selected_positive_ratio,all_image_positive_ratio,worst,true_vs_zero,true_vs_shuffle,true_vs_normal
l0_a0_sanity,0,1,input_brightness_mean,>=,0.3886166587471962,0.0038,0.95,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
l0_a0_sanity,1,0,input_brightness_mean,>=,0.4040232613682747,0.0038,0.95,0.9366666666666666,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
l1_fdf_lite_s004_g025_bm2,0,1,depth_mean,<=,1.390814733505249,0.03576442222595215,0.2,0.2,0.020427395502726237,0.04972164154052734,5.113383134206136e-06,0.6791666666666667,0.13583333333333333,35,0.021916693051656087,0.015896310806274416,0.017788178126017254
l1_fdf_lite_s004_g025_bm2,1,0,dta_final_feature_gate_mean,<=,0.025983747839927674,0.004965333350499472,0.2,0.0525,0.005599632263183594,0.016085230509440104,3.7962198257446288e-06,0.746031746031746,0.03916666666666667,0,0.004125383694966634,0.0031577030817667644,0.00321069876352946
l2_fdf_lite_s002_g025_bm2,0,1,depth_mean,<=,1.390814733505249,0.03334485774040222,0.2,0.2,0.01708243211110433,0.04286502202351888,5.934784809748331e-06,0.6833333333333333,0.13666666666666666,25,0.014495957692464192,0.0100094207127889,0.011315704981486003
l2_fdf_lite_s002_g025_bm2,1,0,dta_final_feature_gate_mean,<=,0.02582046389579773,0.013261904605229694,0.2,0.03916666666666667,0.0032703526814778644,0.009196154276529948,2.747476100921631e-06,0.7659574468085106,0.03,0,0.001845691998799642,0.0013122479120890298,0.0013608328501383464
l3_fdf_lite_s004_g015_bm2,0,1,depth_mean,<=,1.390814733505249,0.039395965862274174,0.2,0.2,0.019188726743062337,0.04741153081258138,5.954951047897339e-06,0.6791666666666667,0.13583333333333333,28,0.01806398550669352,0.01282387097676595,0.014409826596577963
l3_fdf_lite_s004_g015_bm2,1,0,dta_final_feature_gate_mean,<=,0.01680801510810852,0.008964445161819455,0.2,0.03166666666666667,0.0029024298985799155,0.009189523061116537,2.6684006055196125e-06,0.7631578947368421,0.024166666666666666,0,0.0020416863759358723,0.001571331024169922,0.001538082758585612
l4_fdf_lite_tail_s004_g025_bm2,0,1,depth_mean,<=,1.390814733505249,0.03543268876075745,0.2,0.2,0.019848979314168295,0.04859887440999349,5.254844824473063e-06,0.6791666666666667,0.13583333333333333,32,0.019281851450602214,0.013895591100056967,0.015588682492574056
l4_fdf_lite_tail_s004_g025_bm2,1,0,dta_t_uncertainty_std,>=,0.08076624423265458,0.004170126644770299,0.2,0.22166666666666668,0.019587233861287436,0.04308893839518229,3.773520390192668e-06,0.6616541353383458,0.14666666666666667,31,0.01619673728942871,0.013123218218485515,0.014359375635782878
l5_res010_tail_s004_g025_bm2,0,1,depth_mean,<=,1.390814733505249,0.036574071613947545,0.2,0.2,0.0198970365524292,0.048911457061767576,5.588779846827189e-06,0.6791666666666667,0.13583333333333333,30,0.01766206741333008,0.012700772285461426,0.014252233505249023
l5_res010_tail_s004_g025_bm2,1,0,dta_final_feature_gate_mean,<=,0.024671710655093194,0.005763699738184611,0.2,0.06,0.005942924817403158,0.018198134104410808,4.2506555716196695e-06,0.7083333333333334,0.0425,0,0.003462233543395996,0.002714705467224121,0.0028072293599446614
l5_res015_tail_s004_g025_bm2,0,1,depth_mean,<=,1.390814733505249,0.03657350608507792,0.2,0.2,0.019894382158915203,0.04890279769897461,5.5884818236033125e-06,0.6791666666666667,0.13583333333333333,30,0.017666858037312827,0.012704698244730632,0.014258979161580403
l5_res015_tail_s004_g025_bm2,1,0,dta_final_feature_gate_mean,<=,0.024660241976380348,0.005757329988479613,0.2,0.06,0.005940737724304199,0.018194700876871747,4.2421619097391764e-06,0.7083333333333334,0.0425,0,0.0034608936309814455,0.002714192072550456,0.002808715502421061
